id,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,raisedhands,VisITedResources,AnnouncementsView,Discussion,class
0,F,Palestine,SaudiArabia,MiddleSchool,G-06,A,Geology,F,Mum,No,Good,Above-7,80,77,64,66,0
1,M,Iran,Syria,lowerlevel,G-10,A,Geology,S,Father,No,Good,Under-7,69,39,82,31,1
2,M,Palestine,Iraq,HighSchool,G-11,C,Chemistry,S,Mum,Yes,Bad,Under-7,51,70,63,62,1
3,F,Iran,Morocco,MiddleSchool,G-10,B,Science,F,Mum,No,Bad,Above-7,45,20,13,94,1
4,M,Morocco,Egypt,lowerlevel,G-06,B,English,S,Father,No,Good,Above-7,61,52,20,68,1
5,F,venzuela,Morocco,lowerlevel,G-09,B,History,F,Mum,No,Good,Under-7,41,97,0,76,1
6,M,KW,Iraq,MiddleSchool,G-10,C,Quran,F,Father,Yes,Bad,Under-7,27,97,30,27,1
7,F,Iraq,SaudiArabia,lowerlevel,G-10,B,Math,S,Father,Yes,Good,Under-7,8,50,14,9,1
8,M,SaudiArabia,venzuela,MiddleSchool,G-12,C,Science,S,Mum,No,Good,Under-7,0,76,1,43,1
9,F,Jordan,lebanon,MiddleSchool,G-10,C,History,F,Mum,Yes,Bad,Under-7,89,3,72,21,0
10,M,Egypt,lebanon,MiddleSchool,G-07,A,French,S,Father,No,Good,Above-7,78,75,16,79,1
11,M,Jordan,lebanon,MiddleSchool,G-09,C,IT,S,Father,Yes,Bad,Under-7,84,62,70,31,0
12,M,Syria,venzuela,lowerlevel,G-10,C,Science,S,Father,No,Good,Above-7,29,87,49,94,1
13,F,Iran,USA,HighSchool,G-10,A,English,F,Father,No,Bad,Under-7,65,97,93,55,0
14,F,Iran,Tunis,HighSchool,G-10,C,Biology,S,Father,Yes,Good,Above-7,14,90,11,17,1
15,M,Iran,Iraq,lowerlevel,G-12,B,Biology,S,Mum,Yes,Good,Above-7,61,72,64,69,1
16,M,Morocco,Palestine,lowerlevel,G-09,B,Biology,F,Mum,No,Bad,Under-7,42,29,66,73,1
17,M,SaudiArabia,Iraq,HighSchool,G-05,A,Chemistry,F,Father,No,Bad,Under-7,36,28,32,25,1
18,F,Jordan,Jordan,lowerlevel,G-12,A,History,S,Mum,Yes,Bad,Under-7,17,42,28,63,1
19,F,Iran,lebanon,HighSchool,G-08,B,IT,F,Mum,Yes,Bad,Above-7,67,3,1,66,1
20,F,venzuela,Morocco,HighSchool,G-07,B,Chemistry,F,Father,No,Good,Under-7,41,69,83,15,1
21,M,KW,USA,HighSchool,G-12,C,Math,F,Father,No,Good,Above-7,11,79,50,8,1
22,M,Lybia,venzuela,lowerlevel,G-06,A,Chemistry,S,Mum,No,Good,Above-7,100,92,72,15,0
23,F,Iraq,KuwaIT,HighSchool,G-07,B,Quran,S,Mum,Yes,Bad,Above-7,12,18,89,62,1
24,M,venzuela,Jordan,HighSchool,G-08,C,Spanish,F,Mum,Yes,Good,Under-7,24,41,20,85,1
25,M,USA,Iran,HighSchool,G-02,A,Math,F,Mum,Yes,Bad,Above-7,70,83,63,22,1
26,M,Syria,USA,MiddleSchool,G-02,C,Spanish,S,Mum,No,Bad,Above-7,33,95,66,35,1
27,F,Iran,Palestine,HighSchool,G-08,C,Geology,S,Father,No,Good,Under-7,30,33,25,57,1
28,M,Iraq,Tunis,MiddleSchool,G-11,C,Chemistry,S,Father,Yes,Good,Under-7,52,20,16,40,1
29,M,Palestine,Syria,HighSchool,G-02,A,History,F,Father,Yes,Bad,Under-7,3,62,70,51,1
30,M,Palestine,Tunis,MiddleSchool,G-11,A,Quran,S,Mum,No,Good,Above-7,85,31,15,28,1
31,M,venzuela,Jordan,MiddleSchool,G-07,B,Geology,S,Mum,Yes,Bad,Above-7,35,29,98,65,1
32,M,Jordan,SaudiArabia,lowerlevel,G-05,C,Quran,F,Father,No,Bad,Above-7,100,88,54,80,0
33,F,Lybia,Egypt,MiddleSchool,G-04,C,Chemistry,S,Mum,Yes,Good,Above-7,2,70,83,28,1
34,F,SaudiArabia,venzuela,HighSchool,G-02,B,Science,F,Father,No,Bad,Under-7,89,76,11,16,0
35,M,Iran,Syria,lowerlevel,G-06,C,Spanish,F,Mum,Yes,Good,Under-7,97,97,51,9,0
36,F,Palestine,Iran,HighSchool,G-02,B,Biology,S,Father,No,Bad,Above-7,2,10,25,1,1
37,M,venzuela,Jordan,lowerlevel,G-07,A,French,S,Father,No,Good,Above-7,42,86,1,79,1
38,F,Palestine,venzuela,HighSchool,G-12,C,Geology,F,Mum,Yes,Bad,Above-7,82,69,10,11,0
39,F,Syria,Egypt,MiddleSchool,G-11,C,History,S,Father,No,Good,Under-7,10,15,62,91,1
