id,AnnouncementsView,Discussion,Relation,Semester,StageID,StudentAbsenceDays,VisITedResources,gender,raisedhands,class
0,0,74,Father,S,HighSchool,Under-7,83,F,0,1
1,21,79,Father,F,MiddleSchool,Under-7,29,F,14,1
2,7,64,Father,F,HighSchool,Above-7,65,F,17,0
3,35,33,Mum,S,MiddleSchool,Above-7,90,F,16,1
4,75,17,Father,S,HighSchool,Under-7,34,M,85,1
5,79,96,Mum,F,HighSchool,Under-7,14,F,84,1
6,75,33,Father,F,MiddleSchool,Under-7,13,F,28,1
7,39,2,Father,S,HighSchool,Under-7,15,F,1,0
8,9,21,Father,F,MiddleSchool,Above-7,41,F,75,1
9,31,51,Father,F,HighSchool,Under-7,54,F,65,1
10,46,23,Mum,F,MiddleSchool,Under-7,63,F,13,1
11,35,37,Father,F,lowerlevel,Under-7,48,F,83,1
12,51,75,Mum,S,MiddleSchool,Under-7,80,F,45,1
13,8,44,Father,S,MiddleSchool,Under-7,43,F,69,1
14,28,57,Father,F,MiddleSchool,Under-7,35,F,97,1
15,24,48,Mum,F,MiddleSchool,Under-7,55,F,20,1
16,19,69,Mum,F,MiddleSchool,Above-7,80,F,74,1
17,10,85,Father,S,lowerlevel,Above-7,48,F,21,0
18,79,2,Mum,F,MiddleSchool,Above-7,33,F,22,1
19,89,58,Father,F,lowerlevel,Under-7,16,M,97,1
20,10,79,Father,S,MiddleSchool,Under-7,51,F,51,1
21,66,6,Father,S,HighSchool,Above-7,44,M,53,1
22,50,30,Mum,F,lowerlevel,Under-7,90,M,83,1
23,55,3,Mum,F,HighSchool,Under-7,94,F,86,1
24,51,79,Father,F,lowerlevel,Under-7,91,M,66,1
25,26,97,Mum,F,MiddleSchool,Above-7,83,M,19,1
26,32,68,Father,F,HighSchool,Above-7,51,M,13,1
27,80,39,Father,F,lowerlevel,Above-7,68,M,95,1
28,33,88,Mum,F,MiddleSchool,Under-7,54,M,20,1
29,42,51,Mum,S,lowerlevel,Above-7,6,M,2,0
30,20,71,Mum,F,MiddleSchool,Above-7,83,M,28,1
31,30,58,Father,F,lowerlevel,Above-7,20,F,95,1
32,88,76,Mum,S,MiddleSchool,Above-7,4,F,90,1
33,2,99,Mum,S,MiddleSchool,Under-7,44,F,89,1
34,22,35,Father,F,MiddleSchool,Above-7,71,F,100,1
35,65,36,Father,F,MiddleSchool,Above-7,42,F,92,1
36,72,40,Father,S,HighSchool,Under-7,71,F,67,1
37,30,77,Mum,F,MiddleSchool,Above-7,1,F,52,1
38,64,74,Mum,F,HighSchool,Under-7,82,M,49,1
39,65,62,Mum,S,MiddleSchool,Under-7,11,F,89,1
40,25,24,Father,S,HighSchool,Above-7,75,M,29,1
41,33,32,Mum,F,HighSchool,Under-7,86,M,1,1
42,26,44,Mum,F,MiddleSchool,Above-7,85,F,33,1
43,98,96,Mum,F,lowerlevel,Under-7,52,F,61,1
44,58,25,Mum,S,lowerlevel,Above-7,83,F,61,1
45,19,99,Father,S,MiddleSchool,Under-7,40,M,30,1
