,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
1018,"['Relation=Mum', 'SectionID=A', 'Discussion=50<x<74']",gender=F,class=L,0.4,0.6333333333333333,0.6315789473684211,6.0,19.0
1006,"['ParentAnsweringSurvey=Yes', 'Relation=Mum', 'Discussion=50<x<74']",gender=F,class=L,0.3333333333333333,0.5,0.6666666666666666,5.0,15.0
140,"['Relation=Mum', 'Semester=F', 'VisITedResources=49<x<74']",gender=F,class=L,0.35714285714285715,0.5357142857142857,0.6666666666666667,5.0,15.0
1017,"['ParentAnsweringSurvey=Yes', 'SectionID=A', 'Discussion=50<x<74']",gender=F,class=L,0.4166666666666667,0.625,0.6666666666666667,5.0,15.0
1007,"['ParentschoolSatisfaction=Good', 'Relation=Mum', 'Discussion=50<x<74']",gender=F,class=L,0.4166666666666667,0.5833333333333334,0.7142857142857143,5.0,14.0
1005,"['Relation=Mum', 'Discussion=50<x<74']",gender=F,class=L,0.48148148148148145,0.6481481481481481,0.7428571428571428,13.0,35.0
245,"['Relation=Mum', 'StageID=HighSchool', 'SectionID=A']",gender=F,class=L,0.5454545454545454,0.7272727272727273,0.7499999999999999,6.0,16.0
940,"['Relation=Mum', 'SectionID=A', 'raisedhands=0<x<25']",gender=F,class=L,0.6153846153846154,0.8076923076923077,0.761904761904762,8.0,21.0
628,"['ParentAnsweringSurvey=Yes', 'Relation=Mum', 'VisITedResources=24<x<49']",gender=F,class=L,0.5333333333333333,0.7,0.761904761904762,8.0,21.0
1022,"['Semester=F', 'SectionID=A', 'Discussion=50<x<74']",gender=F,class=L,0.45454545454545453,0.5909090909090909,0.7692307692307692,5.0,13.0
835,"['Relation=Mum', 'SectionID=B', 'StageID=lowerlevel']",gender=F,class=L,0.5555555555555556,0.7222222222222222,0.7692307692307693,5.0,13.0
873,"['Relation=Mum', 'GradeID=G-04']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
689,"['Relation=Mum', 'PlaceofBirth=Iraq']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
438,"['Discussion=50<x<74', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.5555555555555556,0.7222222222222222,0.7692307692307693,5.0,13.0
684,"['Semester=F', 'PlaceofBirth=Iraq']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
941,"['ParentAnsweringSurvey=Yes', 'Relation=Mum', 'SectionID=A', 'raisedhands=0<x<25']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
943,"['Semester=F', 'SectionID=A', 'raisedhands=0<x<25']",gender=F,class=L,0.625,0.8125,0.7692307692307693,5.0,13.0
430,"['Relation=Mum', 'StageID=HighSchool', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.5555555555555556,0.7222222222222222,0.7692307692307693,5.0,13.0
1045,"['Relation=Mum', 'StageID=lowerlevel', 'Discussion=50<x<74']",gender=F,class=L,0.5555555555555556,0.7222222222222222,0.7692307692307693,5.0,13.0
635,"['Discussion=50<x<74', 'VisITedResources=24<x<49']",gender=F,class=L,0.6363636363636364,0.8181818181818182,0.7777777777777777,7.0,18.0
682,"['StageID=HighSchool', 'PlaceofBirth=Iraq']",gender=F,class=L,0.6666666666666666,0.8333333333333334,0.7999999999999999,6.0,15.0
634,"['SectionID=A', 'VisITedResources=24<x<49']",gender=F,class=L,0.6666666666666666,0.8333333333333334,0.7999999999999999,8.0,20.0
112,"['Semester=F', 'SectionID=B', 'VisITedResources=49<x<74']",gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,15.0
110,"['Relation=Mum', 'SectionID=B', 'VisITedResources=49<x<74']",gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,15.0
146,"['Relation=Mum', 'StageID=HighSchool', 'VisITedResources=49<x<74']",gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,15.0
1120,"['Relation=Mum', 'NationalITy=Morocco']",gender=F,class=L,0.6666666666666666,0.8333333333333334,0.7999999999999999,6.0,15.0
1020,"['ParentschoolSatisfaction=Good', 'SectionID=A', 'Discussion=50<x<74']",gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,15.0
1034,"['ParentschoolSatisfaction=Good', 'AnnouncementsView=24<x<49', 'Discussion=50<x<74']",gender=F,class=L,0.6666666666666666,0.8333333333333334,0.7999999999999999,6.0,15.0
990,"['Semester=F', 'Topic=Biology']",gender=F,class=L,0.5,0.625,0.8,6.0,15.0
601,"['Relation=Mum', 'Semester=F', 'StageID=HighSchool']",gender=F,class=L,0.5,0.625,0.8,10.0,25.0
1016,"['SectionID=A', 'Discussion=50<x<74']",gender=F,class=L,0.5833333333333334,0.7291666666666666,0.8,14.0,35.0
1025,"['ParentAnsweringSurvey=Yes', 'ParentschoolSatisfaction=Good', 'Discussion=50<x<74']",gender=F,class=L,0.5,0.625,0.8,8.0,20.0
828,"['ParentschoolSatisfaction=Good', 'Relation=Mum', 'StageID=lowerlevel']",gender=F,class=L,0.5454545454545454,0.6818181818181818,0.8,6.0,15.0
1003,"['ParentAnsweringSurvey=Yes', 'Discussion=50<x<74']",gender=F,class=L,0.52,0.64,0.8125,13.0,32.0
1009,"['StageID=HighSchool', 'Discussion=50<x<74']",gender=F,class=L,0.6470588235294118,0.7941176470588235,0.8148148148148149,11.0,27.0
79,"['Relation=Mum', 'SectionID=B', 'Discussion=x>74']",gender=F,class=L,0.5833333333333334,0.7083333333333334,0.8235294117647058,7.0,17.0
556,"['Relation=Mum', 'GradeID=G-12']",gender=F,class=L,0.5833333333333334,0.7083333333333334,0.8235294117647058,7.0,17.0
1012,"['Semester=F', 'StageID=HighSchool', 'Discussion=50<x<74']",gender=F,class=L,0.6363636363636364,0.7727272727272727,0.8235294117647058,7.0,17.0
439,"['raisedhands=0<x<25', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.7,0.85,0.8235294117647058,7.0,17.0
935,"['Relation=Mum', 'StageID=HighSchool', 'raisedhands=0<x<25']",gender=F,class=L,0.7,0.85,0.8235294117647058,7.0,17.0
939,"['ParentAnsweringSurvey=Yes', 'SectionID=A', 'raisedhands=0<x<25']",gender=F,class=L,0.7,0.85,0.8235294117647058,7.0,17.0
293,"['Relation=Mum', 'StageID=MiddleSchool', 'AnnouncementsView=x>73']",gender=F,class=L,0.6363636363636364,0.7727272727272727,0.8235294117647058,7.0,17.0
434,"['Relation=Mum', 'SectionID=A', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.6363636363636364,0.7727272727272727,0.8235294117647058,7.0,17.0
123,"['Relation=Mum', 'Discussion=x<1', 'VisITedResources=49<x<74']",gender=F,class=L,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
144,"['ParentschoolSatisfaction=Good', 'Semester=F', 'StageID=HighSchool', 'VisITedResources=49<x<74']",gender=F,class=L,0.625,0.75,0.8333333333333334,5.0,12.0
400,"['ParentschoolSatisfaction=Good', 'Discussion=x>74', 'VisITedResources=0<x<24']",gender=F,class=L,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
592,"['ParentAnsweringSurvey=Yes', 'ParentschoolSatisfaction=Good', 'Relation=Mum', 'StageID=HighSchool']",gender=F,class=L,0.5,0.6,0.8333333333333334,5.0,12.0
578,"['SectionID=B', 'PlaceofBirth=Egypt']",gender=F,class=L,0.5555555555555556,0.6666666666666666,0.8333333333333334,5.0,12.0
563,"['raisedhands=0<x<25', 'GradeID=G-12']",gender=F,class=L,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
246,"['ParentschoolSatisfaction=Good', 'Relation=Mum', 'StageID=HighSchool', 'SectionID=A']",gender=F,class=L,0.625,0.75,0.8333333333333334,5.0,12.0
557,"['ParentAnsweringSurvey=Yes', 'Relation=Mum', 'GradeID=G-12']",gender=F,class=L,0.5555555555555556,0.6666666666666666,0.8333333333333334,5.0,12.0
524,"['Semester=F', 'SectionID=B', 'raisedhands=50<x<75']",gender=F,class=L,0.5555555555555556,0.6666666666666666,0.8333333333333334,5.0,12.0
178,"['Relation=Mum', 'AnnouncementsView=x>73', 'raisedhands=x<0']",gender=F,class=L,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
483,"['SectionID=B', 'NationalITy=Egypt']",gender=F,class=L,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
435,"['ParentAnsweringSurvey=Yes', 'Relation=Mum', 'SectionID=A', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.625,0.75,0.8333333333333334,5.0,12.0
350,"['Relation=Mum', 'NationalITy=Iraq']",gender=F,class=L,0.625,0.75,0.8333333333333334,5.0,12.0
618,"['Relation=Mum', 'StageID=HighSchool', 'VisITedResources=24<x<49']",gender=F,class=L,0.5555555555555556,0.6666666666666666,0.8333333333333334,5.0,12.0
558,"['VisITedResources=24<x<49', 'GradeID=G-12']",gender=F,class=L,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
608,"['Relation=Mum', 'Semester=F', 'SectionID=B', 'StageID=HighSchool']",gender=F,class=L,0.5,0.6,0.8333333333333334,5.0,12.0
