id,AnnouncementsView,Discussion,Relation,Semester,StageID,StudentAbsenceDays,VisITedResources,gender,raisedhands,class
0,9,93,Mum,F,lowerlevel,Under-7,30,M,22,1
1,15,9,Father,S,HighSchool,Above-7,84,F,21,1
2,54,31,Mum,F,MiddleSchool,Under-7,51,F,49,1
3,49,21,Mum,F,MiddleSchool,Above-7,51,F,55,1
4,40,57,Father,S,MiddleSchool,Under-7,18,M,2,1
5,59,51,Mum,S,HighSchool,Under-7,8,F,100,1
6,69,40,Father,S,MiddleSchool,Above-7,96,F,81,1
7,7,11,Father,S,MiddleSchool,Above-7,58,F,23,0
8,72,29,Father,S,HighSchool,Above-7,84,M,82,1
9,21,27,Father,F,MiddleSchool,Above-7,30,M,45,0
10,33,3,Father,S,HighSchool,Above-7,20,M,42,1
11,19,39,Mum,F,lowerlevel,Above-7,20,F,5,0
12,43,19,Mum,F,HighSchool,Under-7,13,F,22,1
13,53,31,Father,S,HighSchool,Above-7,29,F,67,1
14,80,71,Father,S,HighSchool,Under-7,22,F,84,1
15,44,28,Mum,S,lowerlevel,Above-7,26,M,36,1
16,76,89,Father,S,HighSchool,Above-7,36,M,15,0
17,18,62,Mum,F,lowerlevel,Under-7,89,M,74,1
18,69,8,Mum,S,MiddleSchool,Under-7,2,F,57,1
19,43,46,Father,S,MiddleSchool,Above-7,0,M,80,0
20,36,44,Father,S,HighSchool,Above-7,98,M,9,1
21,48,71,Mum,F,MiddleSchool,Above-7,14,F,88,1
22,88,25,Mum,S,MiddleSchool,Under-7,27,M,97,1
23,14,3,Father,S,HighSchool,Above-7,83,M,19,1
24,59,62,Mum,F,MiddleSchool,Under-7,76,M,71,1
25,55,61,Father,F,lowerlevel,Under-7,89,F,76,1
26,64,43,Mum,F,HighSchool,Under-7,57,F,77,1
27,28,15,Father,S,MiddleSchool,Above-7,86,F,0,1
28,20,3,Mum,F,MiddleSchool,Under-7,35,F,40,1
29,1,39,Father,S,MiddleSchool,Under-7,6,F,35,1
30,83,70,Mum,F,MiddleSchool,Above-7,36,F,77,1
31,62,86,Mum,F,lowerlevel,Above-7,66,M,62,1
32,31,70,Father,F,lowerlevel,Above-7,92,M,73,1
33,79,12,Father,F,MiddleSchool,Under-7,57,M,66,1
34,26,46,Father,S,HighSchool,Above-7,34,F,7,0
35,67,11,Father,F,MiddleSchool,Under-7,20,M,12,1
36,53,62,Father,F,HighSchool,Above-7,3,M,24,0
37,39,79,Mum,F,MiddleSchool,Above-7,71,M,36,1
38,78,9,Mum,F,MiddleSchool,Above-7,84,M,95,1
39,48,3,Father,S,MiddleSchool,Above-7,21,F,9,0
40,62,15,Father,F,MiddleSchool,Under-7,30,M,49,1
41,26,92,Mum,S,lowerlevel,Under-7,15,F,33,1
42,44,62,Father,S,HighSchool,Above-7,22,F,69,1
43,8,51,Father,F,HighSchool,Under-7,76,F,7,0
44,50,15,Mum,S,lowerlevel,Under-7,1,F,35,1
45,54,37,Mum,S,lowerlevel,Under-7,87,F,80,1
46,85,84,Father,S,lowerlevel,Under-7,72,F,83,1
47,3,35,Father,S,MiddleSchool,Under-7,25,M,9,0
48,75,41,Father,F,MiddleSchool,Above-7,62,F,78,1
49,70,66,Mum,S,MiddleSchool,Under-7,41,M,59,1
50,29,10,Mum,S,MiddleSchool,Above-7,52,F,61,1
51,73,15,Father,S,MiddleSchool,Under-7,25,F,97,1
52,56,43,Mum,F,MiddleSchool,Under-7,98,F,4,1
53,56,92,Mum,S,HighSchool,Under-7,96,F,70,1
54,93,19,Father,F,lowerlevel,Above-7,40,M,67,1
55,48,46,Mum,S,MiddleSchool,Under-7,52,M,21,1
56,2,95,Mum,S,lowerlevel,Above-7,8,F,52,0
57,72,96,Father,F,lowerlevel,Above-7,64,F,6,1
58,20,13,Father,S,HighSchool,Above-7,57,F,4,0
59,59,30,Mum,S,MiddleSchool,Above-7,58,F,61,1
60,58,99,Father,F,HighSchool,Above-7,50,M,15,1
61,1,1,Mum,F,HighSchool,Under-7,11,F,11,1
62,31,89,Mum,F,lowerlevel,Above-7,13,F,14,0
63,26,86,Mum,S,HighSchool,Under-7,98,M,52,1
64,51,6,Mum,F,lowerlevel,Above-7,92,F,3,1
65,80,63,Mum,S,lowerlevel,Under-7,51,F,17,1
66,57,62,Mum,S,lowerlevel,Under-7,78,F,75,1
67,11,31,Father,S,lowerlevel,Under-7,64,M,82,1
68,64,22,Mum,F,MiddleSchool,Under-7,60,M,89,1
69,86,91,Father,F,MiddleSchool,Under-7,13,M,90,1
70,33,26,Mum,F,lowerlevel,Under-7,30,M,23,1
71,95,46,Mum,F,lowerlevel,Above-7,99,M,17,1
72,1,88,Father,S,HighSchool,Above-7,42,M,57,0
73,26,95,Mum,F,MiddleSchool,Under-7,99,F,21,1
74,71,99,Mum,S,HighSchool,Under-7,42,F,51,1
75,20,32,Father,S,lowerlevel,Under-7,69,F,4,1
76,51,33,Father,F,HighSchool,Above-7,13,F,51,1
77,3,91,Mum,S,lowerlevel,Above-7,61,M,15,0
78,28,17,Mum,S,HighSchool,Under-7,26,M,13,1
79,75,43,Father,F,MiddleSchool,Above-7,31,F,33,1
80,73,80,Mum,S,MiddleSchool,Under-7,18,F,74,1
81,13,8,Father,F,MiddleSchool,Under-7,98,F,33,1
82,1,64,Father,F,MiddleSchool,Under-7,19,F,57,1
83,10,11,Mum,S,lowerlevel,Above-7,99,M,98,1
84,91,40,Father,S,HighSchool,Above-7,63,M,96,1
85,38,12,Father,S,lowerlevel,Under-7,12,F,78,1
86,85,48,Mum,F,MiddleSchool,Under-7,79,M,76,1
87,1,24,Father,F,MiddleSchool,Under-7,3,F,4,0
88,91,22,Father,S,HighSchool,Under-7,26,M,65,1
89,37,76,Mum,F,lowerlevel,Under-7,6,M,6,1
90,41,97,Mum,S,lowerlevel,Above-7,48,F,59,1
91,44,37,Father,S,HighSchool,Above-7,55,M,83,1
92,58,31,Father,F,HighSchool,Above-7,26,F,65,1
93,50,97,Father,F,lowerlevel,Under-7,75,F,25,1
94,7,30,Mum,F,MiddleSchool,Above-7,99,F,30,1
95,83,81,Father,F,lowerlevel,Under-7,60,F,8,1
96,83,89,Father,F,MiddleSchool,Above-7,40,F,9,1
97,38,30,Father,S,MiddleSchool,Above-7,88,F,69,1
98,89,21,Father,F,MiddleSchool,Above-7,16,M,75,1
99,44,15,Mum,S,HighSchool,Above-7,6,F,41,0
100,64,64,Father,F,lowerlevel,Above-7,60,F,62,1
101,14,1,Father,F,HighSchool,Above-7,29,F,51,0
102,13,76,Mum,S,lowerlevel,Under-7,61,F,74,1
103,29,63,Father,F,HighSchool,Above-7,75,M,35,1
104,88,12,Father,F,HighSchool,Under-7,31,M,10,1
105,20,96,Mum,S,lowerlevel,Under-7,99,F,33,1
106,7,23,Mum,F,lowerlevel,Above-7,44,M,15,0
107,6,64,Mum,F,HighSchool,Above-7,17,F,77,0
108,28,53,Mum,S,MiddleSchool,Above-7,43,M,77,1
109,30,29,Father,S,MiddleSchool,Above-7,95,M,90,1
110,75,10,Mum,S,lowerlevel,Above-7,80,F,79,1
111,98,55,Father,S,MiddleSchool,Above-7,92,M,3,1
112,3,91,Mum,S,HighSchool,Above-7,3,F,20,0
113,52,70,Mum,F,lowerlevel,Above-7,33,M,13,0
114,49,92,Mum,F,MiddleSchool,Above-7,19,M,8,0
115,51,80,Mum,F,MiddleSchool,Above-7,1,F,4,0
116,67,82,Mum,F,HighSchool,Under-7,60,M,98,1
117,49,90,Mum,S,HighSchool,Under-7,86,F,13,1
118,4,53,Mum,S,MiddleSchool,Under-7,27,M,72,1
119,9,34,Father,S,lowerlevel,Above-7,91,M,22,1
120,28,9,Father,F,lowerlevel,Above-7,30,M,49,1
121,19,69,Mum,S,MiddleSchool,Under-7,74,M,95,1
122,32,40,Mum,S,lowerlevel,Under-7,52,M,35,1
123,57,51,Father,S,lowerlevel,Under-7,91,F,53,1
124,21,68,Father,S,HighSchool,Above-7,80,F,7,1
125,59,49,Father,S,lowerlevel,Above-7,36,M,8,0
126,17,31,Father,S,lowerlevel,Under-7,82,F,95,1
127,37,85,Father,F,MiddleSchool,Above-7,2,M,20,0
128,46,43,Mum,F,HighSchool,Above-7,16,M,90,1
129,63,57,Father,S,lowerlevel,Under-7,64,F,3,1
130,12,35,Mum,F,MiddleSchool,Above-7,72,F,27,1
131,65,3,Mum,F,HighSchool,Above-7,0,F,50,0
132,75,6,Mum,S,MiddleSchool,Above-7,85,M,40,1
133,29,50,Father,S,HighSchool,Above-7,57,M,76,1
134,1,20,Mum,F,lowerlevel,Under-7,30,F,86,1
135,95,20,Father,F,MiddleSchool,Under-7,38,F,77,1
136,74,45,Mum,S,MiddleSchool,Above-7,85,F,51,1
