id,age,country,educational-num,fnlwgt,gender,hours-per-week,race,relationship,workclass,class
0,36,US,7,121832,Female,31,Other,Own-child,Federal-gov,0
1,48,US,16,135606,Male,2,Black,Other-relative,Local-gov,0
2,42,US,2,338320,Male,75,Other,Other-relative,Local-gov,0
3,72,non-US,12,117595,Female,12,Black,Not-in-family,State-gov,0
4,49,US,5,108098,Male,57,Black,Own-child,State-gov,0
5,68,non-US,10,177114,Female,4,White,Husband,Never-worked,0
6,90,US,4,48520,Male,37,Asian-Pac-Islander,Not-in-family,Federal-gov,0
7,52,non-US,3,263128,Male,69,Asian-Pac-Islander,Not-in-family,Self-emp-not-inc,0
8,75,non-US,1,201682,Female,45,Asian-Pac-Islander,Own-child,Local-gov,0
9,30,US,7,171538,Female,90,Amer-Indian-Eskimo,Own-child,Without-pay,0
10,17,non-US,12,235826,Female,50,Asian-Pac-Islander,Other-relative,Never-worked,0
11,72,non-US,2,148431,Male,27,Black,Other-relative,Private,0
12,39,US,15,205068,Male,20,White,Husband,Self-emp-inc,1
13,61,non-US,11,165510,Male,54,Asian-Pac-Islander,Wife,Without-pay,0
14,84,US,16,206362,Male,11,Other,Wife,Self-emp-inc,0
15,38,US,4,179707,Male,82,Asian-Pac-Islander,Wife,Local-gov,0
16,51,US,16,68577,Male,96,Amer-Indian-Eskimo,Own-child,State-gov,0
17,67,non-US,13,106517,Female,22,Other,Unmarried,State-gov,0
18,82,non-US,7,248941,Male,23,Asian-Pac-Islander,Own-child,Federal-gov,0
19,26,US,13,498267,Female,56,Amer-Indian-Eskimo,Other-relative,Federal-gov,0
20,70,non-US,6,371299,Male,89,White,Own-child,Self-emp-inc,0
21,81,non-US,4,175006,Male,12,Other,Other-relative,Self-emp-not-inc,0
22,35,non-US,4,542610,Female,45,Other,Other-relative,Without-pay,0
23,27,US,5,103432,Female,81,Amer-Indian-Eskimo,Husband,Federal-gov,0
24,66,US,13,49154,Female,67,White,Other-relative,Never-worked,0
