id,age,country,educational-num,fnlwgt,hours-per-week,race,relationship,sex,workclass,class
0,88,non-US,11,349368,47,White,Own-child,Male,Never-worked,1
1,71,non-US,15,100961,41,Other,Husband,Male,Federal-gov,1
2,47,non-US,13,31588,41,Other,Other-relative,Female,Never-worked,0
3,83,non-US,5,264453,6,Other,Unmarried,Female,State-gov,0
4,19,US,10,214546,75,Amer-Indian-Eskimo,Own-child,Female,Never-worked,0
5,34,US,3,68452,75,Asian-Pac-Islander,Not-in-family,Female,Private,0
6,31,non-US,6,97411,16,Black,Own-child,Male,Local-gov,0
7,49,non-US,6,109854,8,White,Own-child,Female,Private,0
8,52,US,10,269605,79,Other,Wife,Female,Without-pay,0
9,21,US,9,323155,72,Asian-Pac-Islander,Wife,Male,Private,0
10,20,non-US,10,135293,9,Amer-Indian-Eskimo,Other-relative,Female,Without-pay,0
11,73,non-US,3,46814,12,Other,Unmarried,Male,Local-gov,0
12,33,US,15,104440,17,Amer-Indian-Eskimo,Own-child,Female,Without-pay,0
13,65,US,11,144238,66,Black,Other-relative,Female,State-gov,0
14,17,US,1,75541,79,Black,Other-relative,Male,Never-worked,0
15,36,US,9,178897,88,White,Other-relative,Male,State-gov,0
16,37,US,16,99127,18,Other,Unmarried,Male,Local-gov,1
17,35,non-US,14,516701,64,White,Other-relative,Female,Local-gov,1
18,51,non-US,12,351802,80,Other,Own-child,Female,Self-emp-inc,0
19,27,non-US,8,208908,44,White,Wife,Male,Never-worked,0
20,88,US,9,181528,7,White,Not-in-family,Male,State-gov,0
21,28,non-US,1,746786,8,Amer-Indian-Eskimo,Unmarried,Female,Never-worked,0
22,82,non-US,15,289716,72,Amer-Indian-Eskimo,Wife,Female,Without-pay,1
23,48,non-US,16,122000,46,White,Unmarried,Male,Without-pay,1
24,61,non-US,11,1117718,64,Asian-Pac-Islander,Own-child,Male,State-gov,0
25,41,US,5,240755,21,Asian-Pac-Islander,Own-child,Male,Never-worked,0
26,35,non-US,11,331552,29,Other,Unmarried,Male,State-gov,0
27,62,non-US,2,256821,24,Amer-Indian-Eskimo,Husband,Male,Never-worked,0
28,80,non-US,9,217198,22,Amer-Indian-Eskimo,Other-relative,Female,Private,0
29,85,US,8,229516,54,Black,Wife,Male,State-gov,0
30,31,US,13,293791,88,Black,Not-in-family,Female,State-gov,0
31,88,US,5,176137,58,Other,Husband,Male,Federal-gov,1
32,86,non-US,5,457453,78,White,Wife,Male,Federal-gov,1
33,84,US,1,130040,58,Other,Not-in-family,Male,State-gov,0
34,20,non-US,6,135465,56,Black,Own-child,Male,Federal-gov,0
35,84,US,9,204235,12,Black,Own-child,Male,Never-worked,0
36,83,non-US,14,309580,52,Amer-Indian-Eskimo,Husband,Female,Local-gov,1
37,81,US,5,227608,51,Asian-Pac-Islander,Husband,Female,Self-emp-not-inc,0
38,63,non-US,9,44363,33,White,Husband,Male,Self-emp-not-inc,0
39,74,non-US,2,102110,86,White,Unmarried,Female,Federal-gov,0
40,27,US,7,348491,20,Asian-Pac-Islander,Not-in-family,Male,Never-worked,0
41,74,non-US,16,184026,67,White,Not-in-family,Female,Without-pay,1
42,68,non-US,2,190767,80,Asian-Pac-Islander,Wife,Male,Self-emp-not-inc,0
43,59,non-US,9,232918,76,Black,Not-in-family,Female,State-gov,0
44,39,non-US,16,117583,49,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc,1
45,83,US,3,157217,95,Black,Other-relative,Female,Private,0
46,78,US,10,400416,13,Other,Husband,Female,Self-emp-inc,0
47,39,non-US,7,224202,67,White,Own-child,Female,Without-pay,0
48,82,non-US,14,35448,82,Asian-Pac-Islander,Wife,Female,Private,1
49,45,non-US,3,168407,87,Asian-Pac-Islander,Husband,Female,Never-worked,0
50,45,non-US,13,339025,91,Black,Other-relative,Female,Local-gov,0
51,58,US,10,81534,11,Asian-Pac-Islander,Own-child,Male,Self-emp-inc,0
52,21,non-US,6,308285,51,White,Other-relative,Female,Private,0
53,40,US,16,447579,3,Asian-Pac-Islander,Other-relative,Male,Local-gov,1
54,86,US,12,323627,87,White,Husband,Male,Without-pay,1
55,76,non-US,15,153788,35,Black,Husband,Female,Without-pay,0
56,77,US,8,487751,33,Other,Own-child,Male,State-gov,0
57,76,US,3,149044,6,Other,Own-child,Male,State-gov,0
58,57,non-US,15,202011,47,White,Own-child,Female,Never-worked,1
59,25,non-US,1,101577,67,Amer-Indian-Eskimo,Other-relative,Female,State-gov,0
60,35,non-US,14,266780,23,Other,Husband,Male,Self-emp-inc,0
61,40,US,3,337488,85,Asian-Pac-Islander,Own-child,Female,Federal-gov,0
62,20,non-US,3,168863,72,Asian-Pac-Islander,Wife,Male,Local-gov,0
63,43,US,9,76714,56,White,Other-relative,Male,Private,0
64,21,non-US,8,195467,12,Asian-Pac-Islander,Unmarried,Male,State-gov,0
65,89,non-US,3,112917,44,Black,Not-in-family,Female,Self-emp-inc,0
66,36,non-US,9,109456,23,Amer-Indian-Eskimo,Unmarried,Female,Self-emp-inc,0
67,53,non-US,5,85787,75,Other,Wife,Male,Local-gov,0
68,21,US,15,126010,17,White,Not-in-family,Male,Without-pay,0
69,65,non-US,11,190873,75,Asian-Pac-Islander,Unmarried,Male,Without-pay,0
70,62,US,9,87583,91,Asian-Pac-Islander,Unmarried,Female,Self-emp-inc,0
71,47,US,6,213236,62,White,Other-relative,Male,Self-emp-inc,0
72,32,US,14,159080,2,Asian-Pac-Islander,Husband,Male,Private,0
73,38,non-US,5,175759,84,Black,Own-child,Female,Private,0
74,37,US,4,312985,32,Amer-Indian-Eskimo,Not-in-family,Female,State-gov,0
75,74,non-US,9,207277,27,Other,Own-child,Female,State-gov,0
76,74,US,3,149646,14,Other,Husband,Male,Self-emp-inc,0
77,67,US,8,404547,20,Black,Husband,Female,Local-gov,0
78,30,US,8,180574,95,Asian-Pac-Islander,Wife,Female,Private,0
79,55,US,5,119735,7,Black,Not-in-family,Female,Self-emp-inc,0
80,84,non-US,7,329792,72,Asian-Pac-Islander,Not-in-family,Female,Never-worked,0
81,83,non-US,10,269654,96,Amer-Indian-Eskimo,Husband,Male,Self-emp-inc,1
82,18,US,13,276552,15,Black,Unmarried,Female,Self-emp-not-inc,0
83,26,US,8,263444,56,White,Other-relative,Female,Self-emp-inc,0
84,35,non-US,5,375657,80,Amer-Indian-Eskimo,Own-child,Male,Self-emp-inc,0
85,27,US,5,94652,80,Other,Unmarried,Female,Federal-gov,0
86,85,non-US,2,217030,23,Black,Unmarried,Female,Self-emp-inc,0
87,69,US,12,32916,74,Other,Wife,Male,Private,1
88,62,non-US,7,179352,10,Asian-Pac-Islander,Other-relative,Female,Without-pay,0
89,45,non-US,2,102400,94,Other,Husband,Female,State-gov,0
90,51,non-US,8,150886,28,Other,Wife,Male,Without-pay,0
91,54,US,10,259931,4,Asian-Pac-Islander,Unmarried,Male,Without-pay,0
92,87,non-US,1,88676,97,White,Own-child,Male,Federal-gov,0
93,29,US,11,84154,54,Black,Husband,Female,State-gov,0
94,65,US,11,156874,13,Black,Wife,Female,Federal-gov,0
95,68,non-US,2,192173,66,Black,Other-relative,Female,Self-emp-not-inc,0
96,24,US,8,204829,59,Amer-Indian-Eskimo,Husband,Male,Federal-gov,0
97,84,US,15,33432,99,White,Other-relative,Male,State-gov,1
98,56,non-US,15,61270,91,Asian-Pac-Islander,Husband,Male,Self-emp-inc,1
99,19,US,7,107389,80,Asian-Pac-Islander,Not-in-family,Male,Self-emp-not-inc,0
100,51,non-US,6,46028,77,Other,Unmarried,Female,Local-gov,0
101,54,US,5,223851,20,Asian-Pac-Islander,Wife,Female,Local-gov,0
102,44,non-US,9,359543,90,White,Husband,Female,State-gov,0
103,45,non-US,9,106935,56,Amer-Indian-Eskimo,Wife,Male,Without-pay,0
104,90,US,16,277583,97,White,Other-relative,Female,Federal-gov,1
105,38,non-US,14,36214,77,Asian-Pac-Islander,Own-child,Male,Never-worked,1
106,37,US,9,198422,74,Asian-Pac-Islander,Other-relative,Male,Never-worked,0
107,36,US,2,287372,17,Amer-Indian-Eskimo,Husband,Male,Self-emp-inc,0
108,56,non-US,1,82889,35,Asian-Pac-Islander,Wife,Female,State-gov,0
109,84,non-US,10,89644,42,Other,Wife,Male,Without-pay,0
110,40,US,9,238431,10,Amer-Indian-Eskimo,Own-child,Male,Without-pay,0
111,55,non-US,15,151325,10,Amer-Indian-Eskimo,Wife,Male,Never-worked,0
