id,age,country,educational-num,fnlwgt,hours-per-week,race,relationship,sex,workclass,class
0,x<67,non-US,10<x<12,316820<x<392849,43<x<47,White,Own-child,Male,Never-worked,1
1,x<67,non-US,14<x<15,75755<x<209532,40<x<41,Other,Husband,Male,Federal-gov,1
2,40<x<55,non-US,12<x<14,22366<x<37674,40<x<41,Other,Other-relative,Female,Never-worked,0
3,x<67,non-US,1<x<9,209808<x<316597,2<x<10,Other,Unmarried,Female,State-gov,0
4,x<19,US,9<x<10,209808<x<316597,x<65,Amer-Indian-Eskimo,Own-child,Female,Never-worked,0
5,33<x<35,US,1<x<9,42869<x<75413,x<65,Asian-Pac-Islander,Not-in-family,Female,Private,0
6,30<x<31,non-US,1<x<9,75755<x<209532,10<x<30,Black,Own-child,Male,Local-gov,0
7,40<x<55,non-US,1<x<9,75755<x<209532,2<x<10,White,Own-child,Female,Private,0
8,40<x<55,US,9<x<10,209808<x<316597,x<65,Other,Wife,Female,Without-pay,0
9,19<x<21,US,1<x<9,316820<x<392849,x<65,Asian-Pac-Islander,Wife,Male,Private,0
10,19<x<21,non-US,9<x<10,75755<x<209532,2<x<10,Amer-Indian-Eskimo,Other-relative,Female,Without-pay,0
11,x<67,non-US,1<x<9,42869<x<75413,10<x<30,Other,Unmarried,Male,Local-gov,0
12,31<x<33,US,14<x<15,75755<x<209532,10<x<30,Amer-Indian-Eskimo,Own-child,Female,Without-pay,0
13,62<x<67,US,10<x<12,75755<x<209532,x<65,Black,Other-relative,Female,State-gov,0
14,x<19,US,x<1,75413<x<75742,x<65,Black,Other-relative,Male,Never-worked,0
15,35<x<40,US,1<x<9,75755<x<209532,x<65,White,Other-relative,Male,State-gov,0
16,35<x<40,US,15<x<16,75755<x<209532,10<x<30,Other,Unmarried,Male,Local-gov,1
17,33<x<35,non-US,12<x<14,x<392849,60<x<65,White,Other-relative,Female,Local-gov,0
18,40<x<55,non-US,10<x<12,316820<x<392849,x<65,Other,Own-child,Female,Self-emp-inc,0
19,24<x<27,non-US,1<x<9,75755<x<209532,43<x<47,White,Wife,Male,Never-worked,0
20,x<67,US,1<x<9,75755<x<209532,2<x<10,White,Not-in-family,Male,State-gov,0
21,27<x<28,non-US,x<1,x<392849,2<x<10,Amer-Indian-Eskimo,Unmarried,Female,Never-worked,0
22,x<67,non-US,14<x<15,209808<x<316597,x<65,Amer-Indian-Eskimo,Wife,Female,Without-pay,1
23,40<x<55,non-US,15<x<16,75755<x<209532,43<x<47,White,Unmarried,Male,Without-pay,1
24,55<x<62,non-US,10<x<12,x<392849,60<x<65,Asian-Pac-Islander,Own-child,Male,State-gov,0
