id,age,country,educational-num,fnlwgt,hours-per-week,race,relationship,sex,workclass,class
0,x>67,non-US,10<x<12,316820<x<392849,43<x<50,White,Own-child,Male,Never-worked,0
1,x>67,non-US,14<x<15,75742<x<209301,40<x<42,Other,Husband,Male,Federal-gov,1
2,41<x<55,non-US,12<x<13,22366<x<37674,40<x<42,Other,Other-relative,Female,Never-worked,0
3,x>67,non-US,3<x<9,209808<x<316597,2<x<30,Other,Unmarried,Female,State-gov,0
4,x<19,US,9<x<10,209808<x<316597,60<x<99,Amer-Indian-Eskimo,Own-child,Female,Never-worked,0
5,33<x<35,US,x<3,42881<x<75413,60<x<99,Asian-Pac-Islander,Not-in-family,Female,Private,0
6,28<x<31,non-US,3<x<9,75742<x<209301,2<x<30,Black,Own-child,Male,Local-gov,0
7,41<x<55,non-US,3<x<9,75742<x<209301,2<x<30,White,Own-child,Female,Private,0
8,41<x<55,US,9<x<10,209808<x<316597,60<x<99,Other,Wife,Female,Without-pay,0
9,19<x<21,US,3<x<9,316820<x<392849,60<x<99,Asian-Pac-Islander,Wife,Male,Private,0
10,19<x<21,non-US,9<x<10,75742<x<209301,2<x<30,Amer-Indian-Eskimo,Other-relative,Female,Without-pay,0
11,x>67,non-US,x<3,42881<x<75413,2<x<30,Other,Unmarried,Male,Local-gov,0
12,31<x<33,US,14<x<15,75742<x<209301,2<x<30,Amer-Indian-Eskimo,Own-child,Female,Without-pay,0
13,61<x<67,US,10<x<12,75742<x<209301,60<x<99,Black,Other-relative,Female,State-gov,0
14,x<19,US,x<3,75413<x<75742,60<x<99,Black,Other-relative,Male,Never-worked,0
15,35<x<41,US,3<x<9,75742<x<209301,60<x<99,White,Other-relative,Male,State-gov,0
16,35<x<41,US,x>15,75742<x<209301,2<x<30,Other,Unmarried,Male,Local-gov,0
17,33<x<35,non-US,13<x<14,x>392849,60<x<99,White,Other-relative,Female,Local-gov,0
18,41<x<55,non-US,10<x<12,316820<x<392849,60<x<99,Other,Own-child,Female,Self-emp-inc,0
19,26<x<28,non-US,3<x<9,75742<x<209301,43<x<50,White,Wife,Male,Never-worked,0
20,x>67,US,3<x<9,75742<x<209301,2<x<30,White,Not-in-family,Male,State-gov,0
21,26<x<28,non-US,x<3,x>392849,2<x<30,Amer-Indian-Eskimo,Unmarried,Female,Never-worked,0
22,x>67,non-US,14<x<15,209808<x<316597,60<x<99,Amer-Indian-Eskimo,Wife,Female,Without-pay,1
23,41<x<55,non-US,x>15,75742<x<209301,43<x<50,White,Unmarried,Male,Without-pay,0
24,55<x<61,non-US,10<x<12,x>392849,60<x<99,Asian-Pac-Islander,Own-child,Male,State-gov,0
25,35<x<41,US,3<x<9,209808<x<316597,2<x<30,Asian-Pac-Islander,Own-child,Male,Never-worked,0
26,33<x<35,non-US,10<x<12,316820<x<392849,2<x<30,Other,Unmarried,Male,State-gov,0
27,61<x<67,non-US,x<3,209808<x<316597,2<x<30,Amer-Indian-Eskimo,Husband,Male,Never-worked,0
28,x>67,non-US,3<x<9,209808<x<316597,2<x<30,Amer-Indian-Eskimo,Other-relative,Female,Private,0
29,x>67,US,3<x<9,209808<x<316597,50<x<60,Black,Wife,Male,State-gov,0
30,28<x<31,US,12<x<13,209808<x<316597,60<x<99,Black,Not-in-family,Female,State-gov,0
31,x>67,US,3<x<9,75742<x<209301,50<x<60,Other,Husband,Male,Federal-gov,0
32,x>67,non-US,3<x<9,x>392849,60<x<99,White,Wife,Male,Federal-gov,0
33,x>67,US,x<3,75742<x<209301,50<x<60,Other,Not-in-family,Male,State-gov,0
34,19<x<21,non-US,3<x<9,75742<x<209301,50<x<60,Black,Own-child,Male,Federal-gov,0
35,x>67,US,3<x<9,75742<x<209301,2<x<30,Black,Own-child,Male,Never-worked,0
36,x>67,non-US,13<x<14,209808<x<316597,50<x<60,Amer-Indian-Eskimo,Husband,Female,Local-gov,1
37,x>67,US,3<x<9,209808<x<316597,50<x<60,Asian-Pac-Islander,Husband,Female,Self-emp-not-inc,0
38,61<x<67,non-US,3<x<9,42881<x<75413,30<x<35,White,Husband,Male,Self-emp-not-inc,0
39,x>67,non-US,x<3,75742<x<209301,60<x<99,White,Unmarried,Female,Federal-gov,0
40,26<x<28,US,3<x<9,316820<x<392849,2<x<30,Asian-Pac-Islander,Not-in-family,Male,Never-worked,0
41,x>67,non-US,x>15,75742<x<209301,60<x<99,White,Not-in-family,Female,Without-pay,0
42,x>67,non-US,x<3,75742<x<209301,60<x<99,Asian-Pac-Islander,Wife,Male,Self-emp-not-inc,0
43,55<x<61,non-US,3<x<9,209808<x<316597,60<x<99,Black,Not-in-family,Female,State-gov,0
44,35<x<41,non-US,x>15,75742<x<209301,43<x<50,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc,0
45,x>67,US,x<3,75742<x<209301,60<x<99,Black,Other-relative,Female,Private,0
46,x>67,US,9<x<10,x>392849,2<x<30,Other,Husband,Female,Self-emp-inc,0
47,35<x<41,non-US,3<x<9,209808<x<316597,60<x<99,White,Own-child,Female,Without-pay,0
48,x>67,non-US,13<x<14,22366<x<37674,60<x<99,Asian-Pac-Islander,Wife,Female,Private,1
49,41<x<55,non-US,x<3,75742<x<209301,60<x<99,Asian-Pac-Islander,Husband,Female,Never-worked,0
50,41<x<55,non-US,12<x<13,316820<x<392849,60<x<99,Black,Other-relative,Female,Local-gov,0
51,55<x<61,US,9<x<10,75742<x<209301,2<x<30,Asian-Pac-Islander,Own-child,Male,Self-emp-inc,0
52,19<x<21,non-US,3<x<9,209808<x<316597,50<x<60,White,Other-relative,Female,Private,0
53,35<x<41,US,x>15,x>392849,2<x<30,Asian-Pac-Islander,Other-relative,Male,Local-gov,0
54,x>67,US,10<x<12,316820<x<392849,60<x<99,White,Husband,Male,Without-pay,0
55,x>67,non-US,14<x<15,75742<x<209301,30<x<35,Black,Husband,Female,Without-pay,1
56,x>67,US,3<x<9,x>392849,30<x<35,Other,Own-child,Male,State-gov,0
57,x>67,US,x<3,75742<x<209301,2<x<30,Other,Own-child,Male,State-gov,0
58,55<x<61,non-US,14<x<15,75742<x<209301,43<x<50,White,Own-child,Female,Never-worked,0
59,24<x<26,non-US,x<3,75742<x<209301,60<x<99,Amer-Indian-Eskimo,Other-relative,Female,State-gov,0
60,33<x<35,non-US,13<x<14,209808<x<316597,2<x<30,Other,Husband,Male,Self-emp-inc,1
61,35<x<41,US,x<3,316820<x<392849,60<x<99,Asian-Pac-Islander,Own-child,Female,Federal-gov,0
62,19<x<21,non-US,x<3,75742<x<209301,60<x<99,Asian-Pac-Islander,Wife,Male,Local-gov,0
63,41<x<55,US,3<x<9,75742<x<209301,50<x<60,White,Other-relative,Male,Private,0
64,19<x<21,non-US,3<x<9,75742<x<209301,2<x<30,Asian-Pac-Islander,Unmarried,Male,State-gov,0
65,x>67,non-US,x<3,75742<x<209301,43<x<50,Black,Not-in-family,Female,Self-emp-inc,0
66,35<x<41,non-US,3<x<9,75742<x<209301,2<x<30,Amer-Indian-Eskimo,Unmarried,Female,Self-emp-inc,0
67,41<x<55,non-US,3<x<9,75742<x<209301,60<x<99,Other,Wife,Male,Local-gov,0
68,19<x<21,US,14<x<15,75742<x<209301,2<x<30,White,Not-in-family,Male,Without-pay,0
69,61<x<67,non-US,10<x<12,75742<x<209301,60<x<99,Asian-Pac-Islander,Unmarried,Male,Without-pay,0
70,61<x<67,US,3<x<9,75742<x<209301,60<x<99,Asian-Pac-Islander,Unmarried,Female,Self-emp-inc,0
71,41<x<55,US,3<x<9,209808<x<316597,60<x<99,White,Other-relative,Male,Self-emp-inc,0
72,31<x<33,US,13<x<14,75742<x<209301,1<x<2,Asian-Pac-Islander,Husband,Male,Private,1
73,35<x<41,non-US,3<x<9,75742<x<209301,60<x<99,Black,Own-child,Female,Private,0
74,35<x<41,US,3<x<9,209808<x<316597,30<x<35,Amer-Indian-Eskimo,Not-in-family,Female,State-gov,0
75,x>67,non-US,3<x<9,75742<x<209301,2<x<30,Other,Own-child,Female,State-gov,0
76,x>67,US,x<3,75742<x<209301,2<x<30,Other,Husband,Male,Self-emp-inc,0
77,61<x<67,US,3<x<9,x>392849,2<x<30,Black,Husband,Female,Local-gov,0
78,28<x<31,US,3<x<9,75742<x<209301,60<x<99,Asian-Pac-Islander,Wife,Female,Private,0
79,41<x<55,US,3<x<9,75742<x<209301,2<x<30,Black,Not-in-family,Female,Self-emp-inc,0
80,x>67,non-US,3<x<9,316820<x<392849,60<x<99,Asian-Pac-Islander,Not-in-family,Female,Never-worked,0
81,x>67,non-US,9<x<10,209808<x<316597,60<x<99,Amer-Indian-Eskimo,Husband,Male,Self-emp-inc,0
82,x<19,US,12<x<13,209808<x<316597,2<x<30,Black,Unmarried,Female,Self-emp-not-inc,0
83,24<x<26,US,3<x<9,209808<x<316597,50<x<60,White,Other-relative,Female,Self-emp-inc,0
84,33<x<35,non-US,3<x<9,316820<x<392849,60<x<99,Amer-Indian-Eskimo,Own-child,Male,Self-emp-inc,0
85,26<x<28,US,3<x<9,75742<x<209301,60<x<99,Other,Unmarried,Female,Federal-gov,0
86,x>67,non-US,x<3,209808<x<316597,2<x<30,Black,Unmarried,Female,Self-emp-inc,0
87,x>67,US,10<x<12,22366<x<37674,60<x<99,Other,Wife,Male,Private,0
88,61<x<67,non-US,3<x<9,75742<x<209301,2<x<30,Asian-Pac-Islander,Other-relative,Female,Without-pay,0
89,41<x<55,non-US,x<3,75742<x<209301,60<x<99,Other,Husband,Female,State-gov,0
90,41<x<55,non-US,3<x<9,75742<x<209301,2<x<30,Other,Wife,Male,Without-pay,0
91,41<x<55,US,9<x<10,209808<x<316597,2<x<30,Asian-Pac-Islander,Unmarried,Male,Without-pay,0
92,x>67,non-US,x<3,75742<x<209301,60<x<99,White,Own-child,Male,Federal-gov,0
93,28<x<31,US,10<x<12,75742<x<209301,50<x<60,Black,Husband,Female,State-gov,0
94,61<x<67,US,10<x<12,75742<x<209301,2<x<30,Black,Wife,Female,Federal-gov,0
95,x>67,non-US,x<3,75742<x<209301,60<x<99,Black,Other-relative,Female,Self-emp-not-inc,0
96,21<x<24,US,3<x<9,75742<x<209301,50<x<60,Amer-Indian-Eskimo,Husband,Male,Federal-gov,0
97,x>67,US,14<x<15,22366<x<37674,60<x<99,White,Other-relative,Male,State-gov,0
98,55<x<61,non-US,14<x<15,42881<x<75413,60<x<99,Asian-Pac-Islander,Husband,Male,Self-emp-inc,1
99,x<19,US,3<x<9,75742<x<209301,60<x<99,Asian-Pac-Islander,Not-in-family,Male,Self-emp-not-inc,0
100,41<x<55,non-US,3<x<9,42881<x<75413,60<x<99,Other,Unmarried,Female,Local-gov,0
101,41<x<55,US,3<x<9,209808<x<316597,2<x<30,Asian-Pac-Islander,Wife,Female,Local-gov,0
102,41<x<55,non-US,3<x<9,316820<x<392849,60<x<99,White,Husband,Female,State-gov,0
103,41<x<55,non-US,3<x<9,75742<x<209301,50<x<60,Amer-Indian-Eskimo,Wife,Male,Without-pay,0
104,x>67,US,x>15,209808<x<316597,60<x<99,White,Other-relative,Female,Federal-gov,0
105,35<x<41,non-US,13<x<14,22366<x<37674,60<x<99,Asian-Pac-Islander,Own-child,Male,Never-worked,0
106,35<x<41,US,3<x<9,75742<x<209301,60<x<99,Asian-Pac-Islander,Other-relative,Male,Never-worked,0
107,35<x<41,US,x<3,209808<x<316597,2<x<30,Amer-Indian-Eskimo,Husband,Male,Self-emp-inc,0
108,55<x<61,non-US,x<3,75742<x<209301,30<x<35,Asian-Pac-Islander,Wife,Female,State-gov,0
109,x>67,non-US,9<x<10,75742<x<209301,40<x<42,Other,Wife,Male,Without-pay,0
110,35<x<41,US,3<x<9,209808<x<316597,2<x<30,Amer-Indian-Eskimo,Own-child,Male,Without-pay,0
111,41<x<55,non-US,14<x<15,75742<x<209301,2<x<30,Amer-Indian-Eskimo,Wife,Male,Never-worked,1
112,35<x<41,non-US,13<x<14,22366<x<37674,2<x<30,Asian-Pac-Islander,Wife,Female,Self-emp-not-inc,1
113,x>67,non-US,x>15,316820<x<392849,2<x<30,Other,Husband,Female,Without-pay,1
114,21<x<24,US,10<x<12,209808<x<316597,2<x<30,Amer-Indian-Eskimo,Not-in-family,Female,Federal-gov,0
115,x>67,US,3<x<9,316820<x<392849,60<x<99,Amer-Indian-Eskimo,Wife,Female,Self-emp-not-inc,0
116,x>67,US,x<3,209808<x<316597,43<x<50,Asian-Pac-Islander,Wife,Male,Private,0
117,x>67,US,10<x<12,37719<x<42881,60<x<99,Other,Wife,Female,Self-emp-inc,0
118,x>67,US,3<x<9,75742<x<209301,2<x<30,Other,Not-in-family,Male,Federal-gov,0
119,x>67,US,10<x<12,75742<x<209301,50<x<60,Asian-Pac-Islander,Unmarried,Female,Local-gov,0
120,21<x<24,non-US,3<x<9,209808<x<316597,60<x<99,White,Wife,Female,Local-gov,0
121,x>67,non-US,3<x<9,75742<x<209301,60<x<99,Other,Other-relative,Male,State-gov,0
122,35<x<41,US,3<x<9,75742<x<209301,50<x<60,White,Own-child,Female,State-gov,0
123,61<x<67,US,10<x<12,209808<x<316597,30<x<35,Amer-Indian-Eskimo,Other-relative,Male,Without-pay,0
124,x>67,US,x<3,75742<x<209301,2<x<30,Other,Not-in-family,Female,Federal-gov,0
125,41<x<55,non-US,10<x<12,75742<x<209301,60<x<99,Amer-Indian-Eskimo,Own-child,Male,Private,0
126,61<x<67,US,x<3,75742<x<209301,60<x<99,Black,Wife,Male,Self-emp-inc,0
127,61<x<67,US,3<x<9,209808<x<316597,2<x<30,Black,Wife,Male,State-gov,0
128,35<x<41,non-US,13<x<14,42881<x<75413,60<x<99,Other,Wife,Male,Federal-gov,1
129,41<x<55,US,3<x<9,75742<x<209301,2<x<30,Asian-Pac-Islander,Husband,Female,Private,0
130,x>67,US,x<3,209808<x<316597,30<x<35,White,Unmarried,Female,Federal-gov,0
131,41<x<55,US,10<x<12,209808<x<316597,35<x<40,Amer-Indian-Eskimo,Not-in-family,Female,Self-emp-not-inc,0
132,33<x<35,non-US,10<x<12,75742<x<209301,2<x<30,White,Other-relative,Male,Never-worked,0
133,41<x<55,non-US,3<x<9,75742<x<209301,60<x<99,Asian-Pac-Islander,Other-relative,Female,Self-emp-not-inc,0
134,55<x<61,US,10<x<12,209808<x<316597,2<x<30,Asian-Pac-Islander,Not-in-family,Female,Without-pay,0
135,x<19,non-US,13<x<14,75742<x<209301,60<x<99,Amer-Indian-Eskimo,Husband,Male,Private,0
136,x>67,US,x>15,75742<x<209301,x<1,White,Wife,Female,Never-worked,1
137,41<x<55,non-US,x>15,75742<x<209301,2<x<30,Amer-Indian-Eskimo,Own-child,Male,Never-worked,0
138,31<x<33,non-US,3<x<9,75742<x<209301,35<x<40,Other,Other-relative,Female,Federal-gov,0
139,21<x<24,non-US,3<x<9,42881<x<75413,60<x<99,Amer-Indian-Eskimo,Own-child,Female,Local-gov,0
140,x>67,non-US,10<x<12,209808<x<316597,2<x<30,Black,Not-in-family,Female,Federal-gov,0
141,x>67,US,x<3,75742<x<209301,30<x<35,Amer-Indian-Eskimo,Not-in-family,Male,Local-gov,0
142,x>67,non-US,x<3,x>392849,60<x<99,Asian-Pac-Islander,Not-in-family,Female,Never-worked,0
143,x<19,non-US,14<x<15,x>392849,2<x<30,Amer-Indian-Eskimo,Unmarried,Male,Without-pay,0
144,x>67,non-US,14<x<15,75742<x<209301,2<x<30,Other,Wife,Female,State-gov,1
145,x>67,non-US,x<3,75742<x<209301,2<x<30,Asian-Pac-Islander,Own-child,Female,Local-gov,0
146,x>67,US,3<x<9,75742<x<209301,50<x<60,Other,Not-in-family,Male,Never-worked,0
147,41<x<55,US,14<x<15,75742<x<209301,43<x<50,Black,Unmarried,Female,Never-worked,0
148,x>67,US,x>15,75742<x<209301,2<x<30,Other,Unmarried,Female,Self-emp-not-inc,0
149,x>67,US,10<x<12,75742<x<209301,2<x<30,Black,Husband,Male,Federal-gov,0
