id,age,country,educational-num,fnlwgt,gender,hours-per-week,race,relationship,workclass,class
0,27,US,6,30056,Female,10,Other,Wife,State-gov,0
1,66,US,1,509500,Male,72,Other,Other-relative,Never-worked,0
2,79,US,9,184135,Male,31,Amer-Indian-Eskimo,Other-relative,Local-gov,0
3,88,US,7,54816,Female,85,Other,Unmarried,Never-worked,0
4,71,US,13,143828,Female,90,White,Other-relative,Private,0
5,60,non-US,4,147596,Female,68,Asian-Pac-Islander,Own-child,Federal-gov,0
6,88,US,10,79436,Male,19,Amer-Indian-Eskimo,Not-in-family,Self-emp-not-inc,0
7,78,US,4,35603,Male,6,Amer-Indian-Eskimo,Own-child,Self-emp-not-inc,0
8,27,US,9,278553,Female,1,Black,Unmarried,Private,0
9,89,non-US,8,176315,Female,95,Asian-Pac-Islander,Wife,State-gov,0
10,75,non-US,13,317219,Male,91,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
11,84,US,12,31269,Male,10,White,Own-child,Self-emp-not-inc,0
12,19,US,16,273534,Female,50,Amer-Indian-Eskimo,Own-child,Local-gov,0
13,65,US,7,319854,Female,23,Asian-Pac-Islander,Wife,Self-emp-not-inc,0
14,25,US,16,257200,Male,26,Black,Own-child,Federal-gov,0
15,45,US,16,164593,Female,10,Asian-Pac-Islander,Other-relative,State-gov,0
16,64,non-US,14,243580,Female,8,Other,Unmarried,Self-emp-inc,0
17,62,US,14,500002,Female,10,Other,Husband,Private,0
18,86,US,9,159841,Male,2,White,Wife,Never-worked,0
19,57,non-US,3,150226,Female,74,Asian-Pac-Islander,Wife,Never-worked,0
20,37,non-US,9,162613,Female,69,Black,Own-child,Never-worked,0
21,56,non-US,2,355477,Female,95,White,Other-relative,Federal-gov,0
22,29,non-US,1,44983,Female,62,Black,Other-relative,Self-emp-not-inc,0
23,73,US,1,206599,Male,80,Other,Husband,Local-gov,0
24,59,non-US,9,24395,Male,97,Other,Not-in-family,Never-worked,0
25,71,non-US,10,115922,Female,1,Black,Husband,Federal-gov,0
26,70,US,7,47541,Male,17,Amer-Indian-Eskimo,Own-child,Private,0
27,60,non-US,3,162613,Male,69,Other,Unmarried,Local-gov,0
28,73,non-US,11,62278,Male,9,Amer-Indian-Eskimo,Husband,Private,0
29,71,US,4,358747,Female,24,Amer-Indian-Eskimo,Husband,Never-worked,0
30,85,non-US,8,247507,Male,86,White,Own-child,Without-pay,0
31,57,US,3,280923,Male,80,Other,Own-child,Self-emp-inc,0
32,48,US,7,44983,Female,67,Asian-Pac-Islander,Own-child,Federal-gov,0
33,24,US,13,167864,Female,56,Black,Other-relative,Without-pay,0
34,64,non-US,16,134639,Male,92,Amer-Indian-Eskimo,Unmarried,Local-gov,0
35,83,non-US,3,171461,Male,34,Other,Own-child,Federal-gov,0
36,66,non-US,7,132372,Female,47,Asian-Pac-Islander,Not-in-family,Local-gov,0
37,90,US,2,258775,Male,10,Black,Not-in-family,Self-emp-inc,0
38,53,non-US,9,142809,Female,70,Black,Not-in-family,Never-worked,0
39,41,non-US,5,378126,Male,10,Other,Not-in-family,Private,0
40,47,US,5,356067,Female,29,Other,Not-in-family,Self-emp-not-inc,0
41,42,non-US,13,377850,Female,68,Black,Other-relative,Private,0
42,25,US,7,272359,Female,25,Asian-Pac-Islander,Own-child,Federal-gov,0
43,89,US,12,186096,Female,16,Amer-Indian-Eskimo,Wife,Local-gov,0
44,31,non-US,11,30759,Female,43,Asian-Pac-Islander,Not-in-family,Self-emp-not-inc,0
45,39,non-US,2,73338,Male,78,Amer-Indian-Eskimo,Husband,Federal-gov,0
46,83,non-US,1,210458,Female,88,Black,Husband,State-gov,0
47,73,non-US,10,30030,Male,43,Black,Wife,Private,0
48,45,US,7,192591,Female,57,White,Wife,Local-gov,0
49,52,US,6,70164,Male,50,White,Own-child,Self-emp-inc,0
50,55,US,15,180799,Male,2,Black,Own-child,Self-emp-not-inc,0
51,47,US,11,190044,Male,31,White,Wife,Without-pay,0
52,73,US,3,259929,Female,2,Asian-Pac-Islander,Wife,Federal-gov,0
53,41,non-US,13,289353,Female,74,Amer-Indian-Eskimo,Wife,Local-gov,0
54,53,non-US,9,306164,Male,41,Other,Husband,Never-worked,0
55,48,non-US,1,188136,Female,36,White,Other-relative,State-gov,0
56,37,US,5,142081,Male,14,Amer-Indian-Eskimo,Not-in-family,Self-emp-inc,0
57,69,US,14,100718,Male,16,Black,Unmarried,State-gov,0
58,85,non-US,9,109414,Male,91,Black,Not-in-family,Private,0
59,78,non-US,10,276839,Female,95,Black,Husband,Self-emp-not-inc,0
60,90,non-US,6,152537,Male,87,White,Wife,Never-worked,0
61,63,non-US,9,111095,Female,43,Amer-Indian-Eskimo,Not-in-family,State-gov,0
62,36,US,16,19513,Female,79,Black,Own-child,Local-gov,0
63,74,US,6,198146,Female,87,Amer-Indian-Eskimo,Husband,Local-gov,0
64,86,non-US,5,112974,Male,27,Asian-Pac-Islander,Other-relative,Federal-gov,0
65,68,non-US,14,287420,Male,75,Other,Own-child,Private,0
66,36,US,11,82319,Male,79,Other,Not-in-family,Self-emp-inc,0
67,50,US,11,324231,Female,98,Amer-Indian-Eskimo,Own-child,Local-gov,0
68,43,US,1,148287,Female,46,White,Wife,Without-pay,0
69,65,US,3,167793,Male,89,Other,Unmarried,Federal-gov,0
70,32,US,8,198017,Female,40,Other,Husband,Without-pay,0
71,84,US,2,197767,Female,41,Black,Other-relative,Self-emp-not-inc,0
72,31,US,6,102684,Male,53,Amer-Indian-Eskimo,Other-relative,Local-gov,0
73,45,US,12,377869,Male,67,Black,Other-relative,Self-emp-not-inc,0
74,32,US,8,598802,Female,88,Other,Husband,Local-gov,0
75,71,non-US,12,191477,Female,14,White,Unmarried,Self-emp-inc,0
76,56,non-US,5,158420,Female,79,White,Not-in-family,Self-emp-inc,0
77,37,US,12,219553,Female,40,Black,Husband,State-gov,0
78,19,non-US,14,239806,Male,68,Asian-Pac-Islander,Not-in-family,Self-emp-inc,0
79,61,non-US,13,293104,Female,59,Black,Other-relative,Private,0
80,58,US,15,221436,Male,98,Black,Own-child,Self-emp-not-inc,0
81,64,non-US,11,159960,Male,58,Asian-Pac-Islander,Not-in-family,Never-worked,0
82,39,non-US,1,79521,Female,24,White,Own-child,Self-emp-inc,0
83,35,non-US,8,144638,Female,25,White,Wife,Self-emp-inc,0
84,58,US,13,182217,Female,4,Asian-Pac-Islander,Own-child,State-gov,0
85,83,US,1,211654,Female,28,White,Own-child,Without-pay,0
86,51,US,5,467108,Female,40,Asian-Pac-Islander,Other-relative,Never-worked,0
87,53,US,5,209609,Female,73,White,Husband,Without-pay,0
88,79,non-US,6,166809,Male,61,White,Wife,Self-emp-not-inc,0
89,83,non-US,6,176185,Female,52,White,Unmarried,Without-pay,0
90,66,non-US,9,186385,Male,6,Asian-Pac-Islander,Husband,Private,0
91,67,non-US,13,30636,Female,99,White,Unmarried,Self-emp-inc,0
92,70,non-US,12,198955,Female,97,Other,Unmarried,Self-emp-not-inc,0
93,74,non-US,2,31838,Female,68,Amer-Indian-Eskimo,Husband,Self-emp-inc,0
94,77,non-US,11,175121,Male,38,Other,Other-relative,Without-pay,0
95,61,non-US,8,96260,Male,87,Black,Not-in-family,Self-emp-inc,0
96,39,non-US,12,160662,Male,84,Other,Unmarried,Local-gov,0
97,20,non-US,14,442359,Female,25,Asian-Pac-Islander,Other-relative,Private,0
98,55,US,7,130391,Female,72,Amer-Indian-Eskimo,Other-relative,Without-pay,0
99,50,non-US,4,180884,Male,48,Black,Unmarried,State-gov,0
100,28,non-US,6,199224,Male,32,Asian-Pac-Islander,Husband,Never-worked,0
101,26,non-US,4,207937,Male,40,Black,Unmarried,State-gov,0
102,30,US,5,47907,Male,40,Asian-Pac-Islander,Wife,State-gov,0
103,80,non-US,8,207385,Female,35,Other,Own-child,Self-emp-not-inc,0
104,42,non-US,3,116546,Female,40,Other,Other-relative,Federal-gov,0
105,69,US,1,102288,Male,68,White,Own-child,Federal-gov,0
106,59,US,10,108247,Male,1,Black,Other-relative,State-gov,0
107,39,US,11,119177,Female,54,White,Wife,Without-pay,0
108,72,US,6,275357,Female,52,Amer-Indian-Eskimo,Husband,State-gov,0
109,71,non-US,7,245521,Female,6,White,Other-relative,Self-emp-not-inc,0
110,79,US,9,214993,Female,77,Black,Husband,Private,0
111,88,non-US,7,288419,Female,46,White,Wife,Without-pay,0
112,84,non-US,2,249392,Male,10,White,Unmarried,Self-emp-inc,0
113,61,US,16,188335,Male,15,White,Not-in-family,Federal-gov,0
114,22,non-US,15,54933,Male,76,Asian-Pac-Islander,Other-relative,Never-worked,0
115,62,US,12,132962,Male,21,Amer-Indian-Eskimo,Unmarried,Local-gov,0
116,48,US,16,178843,Male,4,Black,Unmarried,Self-emp-inc,0
117,54,US,8,239409,Female,81,Other,Unmarried,Local-gov,0
118,39,US,12,301199,Male,29,Other,Husband,Private,0
119,32,US,7,390817,Female,62,Other,Wife,Without-pay,0
120,35,US,7,31842,Female,73,Black,Own-child,Never-worked,0
121,74,US,8,127892,Male,1,Asian-Pac-Islander,Wife,State-gov,0
