id,age,country,educational-num,fnlwgt,hours-per-week,race,relationship,sex,workclass,class
0,x>68,non-US,9<x<11,316820<x<392849,43<x<48,White,Own-child,Male,Never-worked,0
1,x>68,non-US,13<x<15,75734<x<209291,40<x<42,Other,Husband,Male,Federal-gov,1
2,42<x<54,non-US,12<x<13,22366<x<37674,40<x<42,Other,Other-relative,Female,Never-worked,0
3,x>68,non-US,2<x<9,209813<x<316597,2<x<30,Other,Unmarried,Female,State-gov,0
4,x<19,US,9<x<11,209813<x<316597,61<x<90,Amer-Indian-Eskimo,Own-child,Female,Never-worked,0
5,30<x<34,US,2<x<9,43395<x<75413,61<x<90,Asian-Pac-Islander,Not-in-family,Female,Private,0
6,30<x<34,non-US,2<x<9,75734<x<209291,2<x<30,Black,Own-child,Male,Local-gov,0
7,42<x<54,non-US,2<x<9,75734<x<209291,2<x<30,White,Own-child,Female,Private,0
8,42<x<54,US,9<x<11,209813<x<316597,61<x<90,Other,Wife,Female,Without-pay,0
9,19<x<21,US,2<x<9,316820<x<392849,61<x<90,Asian-Pac-Islander,Wife,Male,Private,0
10,19<x<21,non-US,9<x<11,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Other-relative,Female,Without-pay,0
11,x>68,non-US,2<x<9,43395<x<75413,2<x<30,Other,Unmarried,Male,Local-gov,0
12,30<x<34,US,13<x<15,75734<x<209291,2<x<30,Amer-Indian-Eskimo,Own-child,Female,Without-pay,0
13,61<x<68,US,9<x<11,75734<x<209291,61<x<90,Black,Other-relative,Female,State-gov,0
14,x<19,US,x<1,75413<x<75734,61<x<90,Black,Other-relative,Male,Never-worked,0
15,34<x<36,US,2<x<9,75734<x<209291,61<x<90,White,Other-relative,Male,State-gov,0
16,36<x<42,US,15<x<16,75734<x<209291,2<x<30,Other,Unmarried,Male,Local-gov,0
17,34<x<36,non-US,13<x<15,x>392849,61<x<90,White,Other-relative,Female,Local-gov,0
18,42<x<54,non-US,11<x<12,316820<x<392849,61<x<90,Other,Own-child,Female,Self-emp-inc,0
19,26<x<27,non-US,2<x<9,75734<x<209291,43<x<48,White,Wife,Male,Never-worked,0
20,x>68,US,2<x<9,75734<x<209291,2<x<30,White,Not-in-family,Male,State-gov,0
21,27<x<30,non-US,x<1,x>392849,2<x<30,Amer-Indian-Eskimo,Unmarried,Female,Never-worked,0
22,x>68,non-US,13<x<15,209813<x<316597,61<x<90,Amer-Indian-Eskimo,Wife,Female,Without-pay,0
23,42<x<54,non-US,15<x<16,75734<x<209291,43<x<48,White,Unmarried,Male,Without-pay,1
24,54<x<61,non-US,9<x<11,x>392849,61<x<90,Asian-Pac-Islander,Own-child,Male,State-gov,0
25,36<x<42,US,2<x<9,209813<x<316597,2<x<30,Asian-Pac-Islander,Own-child,Male,Never-worked,0
26,34<x<36,non-US,9<x<11,316820<x<392849,2<x<30,Other,Unmarried,Male,State-gov,0
27,61<x<68,non-US,1<x<2,209813<x<316597,2<x<30,Amer-Indian-Eskimo,Husband,Male,Never-worked,0
28,x>68,non-US,2<x<9,209813<x<316597,2<x<30,Amer-Indian-Eskimo,Other-relative,Female,Private,0
29,x>68,US,2<x<9,209813<x<316597,50<x<61,Black,Wife,Male,State-gov,0
30,30<x<34,US,12<x<13,209813<x<316597,61<x<90,Black,Not-in-family,Female,State-gov,0
31,x>68,US,2<x<9,75734<x<209291,50<x<61,Other,Husband,Male,Federal-gov,0
32,x>68,non-US,2<x<9,x>392849,61<x<90,White,Wife,Male,Federal-gov,0
