id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,self-employed,single,unknown,no,no,no,telephone,apr,unknown,33,5969,26,574,18,37,1
1,student,single,tertiary,no,yes,no,unknown,aug,success,32,7529,31,1265,5,15,1
2,blue-collar,married,primary,no,yes,yes,unknown,feb,failure,38,1742,29,293,19,17,0
3,management,divorced,unknown,no,yes,no,cellular,aug,success,38,1140,19,147,63,17,1
4,admin.,married,tertiary,no,yes,no,cellular,nov,other,65,481,1,417,31,15,1
5,technician,divorced,tertiary,no,no,no,cellular,mar,other,33,4680,6,239,20,29,1
6,services,single,primary,yes,no,no,telephone,aug,success,79,1988,23,405,9,6,1
7,blue-collar,divorced,unknown,yes,no,yes,unknown,jan,success,29,1195,8,1365,21,8,0
8,admin.,married,unknown,no,yes,no,unknown,mar,other,23,2761,27,1702,31,2,1
9,admin.,divorced,unknown,yes,no,no,telephone,apr,other,75,9710,24,1314,24,10,1
10,management,married,secondary,no,yes,no,telephone,oct,success,55,209,18,1529,25,4,1
11,management,married,unknown,yes,no,yes,telephone,may,success,48,-330,16,79,16,10,1
12,student,single,secondary,yes,no,no,telephone,feb,success,42,8422,15,39,2,14,1
13,technician,single,unknown,yes,no,no,telephone,jan,failure,72,1143,4,24,24,22,1
14,self-employed,divorced,secondary,yes,no,no,unknown,jul,failure,85,1009,21,1232,14,58,1
15,services,single,unknown,yes,no,yes,telephone,may,other,95,535,8,637,7,41,1
16,technician,single,secondary,no,no,yes,unknown,jun,unknown,25,15,29,132,22,29,0
17,unemployed,single,tertiary,yes,no,no,cellular,jan,success,27,4803,17,863,28,6,1
18,retired,single,tertiary,no,no,yes,cellular,may,failure,18,3868,7,1408,33,4,1
19,student,married,tertiary,yes,no,no,cellular,may,failure,90,2302,22,127,25,9,0
20,retired,single,primary,no,no,yes,unknown,may,unknown,29,501,16,721,9,9,0
21,student,married,secondary,no,no,no,unknown,dec,success,35,380,29,1540,63,8,1
22,blue-collar,single,secondary,yes,no,no,unknown,may,unknown,19,3695,15,1842,1,41,0
