id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,self-employed,single,unknown,no,no,no,telephone,apr,unknown,18<x<37,3526<x<13899,x>23,2<x<814,16<x<32,29<x<43,1
1,student,single,tertiary,no,yes,no,unknown,aug,success,18<x<37,3526<x<13899,x>23,814<x<1627,1<x<16,14<x<29,1
2,blue-collar,married,primary,no,yes,yes,unknown,feb,failure,37<x<56,-6847<x<3526,x>23,2<x<814,16<x<32,14<x<29,0
3,management,divorced,unknown,no,yes,no,cellular,aug,success,37<x<56,-6847<x<3526,16<x<23,2<x<814,x>47,14<x<29,1
4,admin.,married,tertiary,no,yes,no,cellular,nov,other,56<x<75,-6847<x<3526,x<1,2<x<814,16<x<32,14<x<29,1
5,technician,divorced,tertiary,no,no,no,cellular,mar,other,18<x<37,3526<x<13899,1<x<8,2<x<814,16<x<32,14<x<29,1
6,services,single,primary,yes,no,no,telephone,aug,success,x>75,-6847<x<3526,16<x<23,2<x<814,1<x<16,0<x<14,1
7,blue-collar,divorced,unknown,yes,no,yes,unknown,jan,success,18<x<37,-6847<x<3526,1<x<8,814<x<1627,16<x<32,0<x<14,0
8,admin.,married,unknown,no,yes,no,unknown,mar,other,18<x<37,-6847<x<3526,x>23,1627<x<2440,16<x<32,0<x<14,1
9,admin.,divorced,unknown,yes,no,no,telephone,apr,other,56<x<75,3526<x<13899,x>23,814<x<1627,16<x<32,0<x<14,1
10,management,married,secondary,no,yes,no,telephone,oct,success,37<x<56,-6847<x<3526,16<x<23,814<x<1627,16<x<32,0<x<14,1
11,management,married,unknown,yes,no,yes,telephone,may,success,37<x<56,-6847<x<3526,8<x<16,2<x<814,1<x<16,0<x<14,1
12,student,single,secondary,yes,no,no,telephone,feb,success,37<x<56,3526<x<13899,8<x<16,2<x<814,1<x<16,0<x<14,1
13,technician,single,unknown,yes,no,no,telephone,jan,failure,56<x<75,-6847<x<3526,1<x<8,2<x<814,16<x<32,14<x<29,1
14,self-employed,divorced,secondary,yes,no,no,unknown,jul,failure,x>75,-6847<x<3526,16<x<23,814<x<1627,1<x<16,x>43,1
15,services,single,unknown,yes,no,yes,telephone,may,other,x>75,-6847<x<3526,1<x<8,2<x<814,1<x<16,29<x<43,1
16,technician,single,secondary,no,no,yes,unknown,jun,unknown,18<x<37,-6847<x<3526,x>23,2<x<814,16<x<32,14<x<29,0
17,unemployed,single,tertiary,yes,no,no,cellular,jan,success,18<x<37,3526<x<13899,16<x<23,814<x<1627,16<x<32,0<x<14,1
18,retired,single,tertiary,no,no,yes,cellular,may,failure,x<18,3526<x<13899,1<x<8,814<x<1627,32<x<47,0<x<14,1
19,student,married,tertiary,yes,no,no,cellular,may,failure,x>75,-6847<x<3526,16<x<23,2<x<814,16<x<32,0<x<14,0
20,retired,single,primary,no,no,yes,unknown,may,unknown,18<x<37,-6847<x<3526,8<x<16,2<x<814,1<x<16,0<x<14,0
21,student,married,secondary,no,no,no,unknown,dec,success,18<x<37,-6847<x<3526,x>23,814<x<1627,x>47,0<x<14,1
22,blue-collar,single,secondary,yes,no,no,unknown,may,unknown,18<x<37,3526<x<13899,8<x<16,1627<x<2440,x<1,29<x<43,0
23,technician,divorced,tertiary,no,no,yes,telephone,dec,success,x>75,-6847<x<3526,1<x<8,814<x<1627,16<x<32,0<x<14,1
24,unknown,single,secondary,no,yes,yes,unknown,sep,success,18<x<37,-6847<x<3526,16<x<23,2<x<814,16<x<32,29<x<43,1
25,retired,divorced,secondary,no,no,yes,unknown,may,failure,37<x<56,-6847<x<3526,1<x<8,814<x<1627,1<x<16,29<x<43,1
26,blue-collar,married,unknown,yes,no,yes,telephone,jul,unknown,56<x<75,-6847<x<3526,16<x<23,2<x<814,1<x<16,0<x<14,0
27,housemaid,married,tertiary,no,no,yes,cellular,sep,unknown,18<x<37,-6847<x<3526,16<x<23,2<x<814,32<x<47,0<x<14,1
28,entrepreneur,divorced,tertiary,yes,yes,yes,telephone,oct,failure,18<x<37,-6847<x<3526,1<x<8,2<x<814,1<x<16,0<x<14,0
29,admin.,single,secondary,yes,no,no,telephone,feb,failure,37<x<56,3526<x<13899,1<x<8,2<x<814,16<x<32,0<x<14,0
30,self-employed,single,tertiary,no,yes,no,unknown,dec,other,x>75,3526<x<13899,16<x<23,814<x<1627,1<x<16,0<x<14,1
31,unknown,divorced,unknown,no,yes,yes,telephone,jun,success,37<x<56,3526<x<13899,8<x<16,2<x<814,1<x<16,x>43,0
32,admin.,single,unknown,no,no,yes,cellular,aug,other,37<x<56,3526<x<13899,16<x<23,2<x<814,1<x<16,14<x<29,1
33,housemaid,single,secondary,yes,no,yes,telephone,may,failure,56<x<75,3526<x<13899,8<x<16,814<x<1627,1<x<16,0<x<14,0
34,retired,single,primary,no,yes,no,cellular,mar,success,56<x<75,-6847<x<3526,1<x<8,2<x<814,16<x<32,14<x<29,1
35,self-employed,single,tertiary,no,no,no,telephone,apr,success,18<x<37,3526<x<13899,8<x<16,814<x<1627,32<x<47,0<x<14,1
36,unemployed,divorced,unknown,no,yes,yes,telephone,dec,failure,x>75,-6847<x<3526,8<x<16,2<x<814,16<x<32,0<x<14,1
37,student,single,primary,yes,no,no,telephone,jul,success,x<18,3526<x<13899,8<x<16,2<x<814,1<x<16,29<x<43,1
