id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,entrepreneur,married,secondary,no,yes,yes,cellular,feb,other,37<x<56,-2282<x<11435,1<x<8,4<x<973,1<x<16,14<x<29,1
1,unemployed,single,unknown,yes,yes,no,unknown,dec,other,37<x<56,-2282<x<11435,x>23,4<x<973,16<x<32,0<x<14,0
2,admin.,married,primary,no,yes,yes,unknown,jul,other,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,0<x<14,0
3,admin.,divorced,tertiary,no,no,no,cellular,sep,failure,56<x<75,-2282<x<11435,16<x<23,973<x<1942,1<x<16,0<x<14,1
4,self-employed,divorced,tertiary,no,no,no,cellular,oct,failure,56<x<75,-2282<x<11435,1<x<8,4<x<973,16<x<32,14<x<29,1
5,blue-collar,single,secondary,no,yes,yes,cellular,aug,failure,x>75,-2282<x<11435,x>23,4<x<973,16<x<32,14<x<29,1
6,entrepreneur,married,secondary,no,no,no,cellular,oct,success,56<x<75,-2282<x<11435,1<x<8,973<x<1942,1<x<16,14<x<29,1
7,unemployed,divorced,primary,no,no,no,telephone,jan,success,18<x<37,-2282<x<11435,16<x<23,4<x<973,16<x<32,0<x<14,1
8,student,divorced,primary,yes,yes,yes,cellular,apr,failure,37<x<56,-2282<x<11435,1<x<8,4<x<973,1<x<16,29<x<43,1
9,entrepreneur,single,unknown,no,no,yes,unknown,jan,unknown,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,29<x<43,1
10,retired,divorced,secondary,yes,yes,no,cellular,dec,success,x>75,-2282<x<11435,1<x<8,4<x<973,16<x<32,0<x<14,1
11,unknown,married,primary,no,no,yes,unknown,mar,other,18<x<37,-2282<x<11435,16<x<23,4<x<973,16<x<32,x>43,1
12,self-employed,single,unknown,no,no,no,unknown,jun,failure,18<x<37,-2282<x<11435,8<x<16,4<x<973,1<x<16,29<x<43,1
13,management,divorced,unknown,yes,yes,yes,cellular,feb,unknown,18<x<37,-2282<x<11435,x>23,973<x<1942,16<x<32,14<x<29,1
14,housemaid,married,unknown,no,no,no,telephone,aug,other,18<x<37,-2282<x<11435,x>23,4<x<973,1<x<16,14<x<29,1
15,entrepreneur,divorced,secondary,no,yes,yes,telephone,jul,unknown,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,0<x<14,0
16,admin.,married,tertiary,no,yes,no,unknown,nov,success,37<x<56,-2282<x<11435,16<x<23,4<x<973,1<x<16,14<x<29,1
17,unemployed,single,secondary,no,yes,yes,unknown,feb,unknown,56<x<75,-2282<x<11435,1<x<8,973<x<1942,16<x<32,0<x<14,1
18,management,divorced,tertiary,no,yes,yes,cellular,mar,other,x>75,-2282<x<11435,1<x<8,973<x<1942,32<x<47,29<x<43,1
19,self-employed,married,unknown,no,yes,no,cellular,jan,unknown,56<x<75,-2282<x<11435,x>23,4<x<973,32<x<47,0<x<14,1
20,retired,married,unknown,yes,yes,yes,cellular,jul,success,18<x<37,-2282<x<11435,1<x<8,4<x<973,1<x<16,0<x<14,1
21,housemaid,single,primary,no,no,yes,cellular,aug,other,56<x<75,-2282<x<11435,x>23,1942<x<2911,16<x<32,x<0,1
22,admin.,single,primary,yes,no,yes,cellular,jan,other,x>75,-2282<x<11435,16<x<23,4<x<973,16<x<32,0<x<14,0
23,unemployed,married,secondary,yes,yes,no,cellular,jan,unknown,56<x<75,-2282<x<11435,1<x<8,973<x<1942,1<x<16,0<x<14,1
24,unknown,divorced,unknown,no,no,no,telephone,may,other,18<x<37,-2282<x<11435,8<x<16,973<x<1942,16<x<32,0<x<14,1
25,unemployed,single,tertiary,no,no,yes,cellular,may,other,x>75,-2282<x<11435,16<x<23,4<x<973,32<x<47,14<x<29,1
26,services,single,primary,yes,yes,no,cellular,mar,unknown,56<x<75,11435<x<25152,1<x<8,4<x<973,16<x<32,29<x<43,1
27,student,single,tertiary,yes,no,yes,telephone,jul,unknown,x>75,-2282<x<11435,1<x<8,4<x<973,1<x<16,0<x<14,1
28,self-employed,single,tertiary,no,no,yes,telephone,jun,success,x>75,-2282<x<11435,8<x<16,973<x<1942,16<x<32,0<x<14,1
29,technician,divorced,unknown,yes,no,no,cellular,jun,failure,x>75,-2282<x<11435,1<x<8,4<x<973,x>47,0<x<14,0
30,admin.,married,unknown,no,no,yes,cellular,mar,other,37<x<56,-2282<x<11435,x>23,4<x<973,16<x<32,x<0,0
31,entrepreneur,single,unknown,yes,no,no,unknown,jul,unknown,56<x<75,-2282<x<11435,1<x<8,4<x<973,16<x<32,14<x<29,1
32,management,married,secondary,yes,no,yes,cellular,nov,failure,56<x<75,-2282<x<11435,8<x<16,4<x<973,16<x<32,0<x<14,0
33,services,single,unknown,no,yes,yes,unknown,sep,other,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,0<x<14,0
34,housemaid,divorced,secondary,yes,yes,yes,unknown,oct,unknown,37<x<56,-2282<x<11435,16<x<23,4<x<973,32<x<47,0<x<14,0
35,unemployed,divorced,unknown,yes,no,yes,telephone,jan,other,18<x<37,11435<x<25152,x>23,4<x<973,1<x<16,0<x<14,0
36,technician,divorced,primary,no,yes,no,cellular,jun,unknown,56<x<75,-2282<x<11435,8<x<16,4<x<973,16<x<32,14<x<29,1
37,student,married,primary,yes,yes,yes,cellular,may,unknown,37<x<56,-2282<x<11435,8<x<16,4<x<973,x>47,0<x<14,0
38,admin.,married,tertiary,yes,yes,no,telephone,nov,other,18<x<37,-2282<x<11435,x>23,4<x<973,16<x<32,14<x<29,1
39,management,married,tertiary,yes,no,yes,cellular,sep,failure,18<x<37,-2282<x<11435,x>23,973<x<1942,32<x<47,29<x<43,1
40,student,single,tertiary,no,no,no,telephone,jun,other,56<x<75,-2282<x<11435,16<x<23,4<x<973,16<x<32,29<x<43,1
41,unknown,single,unknown,no,no,yes,unknown,dec,other,18<x<37,-2282<x<11435,8<x<16,4<x<973,16<x<32,x>43,1
42,retired,married,tertiary,no,yes,no,unknown,may,unknown,37<x<56,-2282<x<11435,x>23,4<x<973,16<x<32,0<x<14,1
43,unknown,single,tertiary,no,no,yes,cellular,jan,failure,56<x<75,-2282<x<11435,16<x<23,4<x<973,1<x<16,0<x<14,0
44,unknown,divorced,secondary,no,no,yes,telephone,oct,failure,x>75,-2282<x<11435,16<x<23,973<x<1942,32<x<47,14<x<29,1
45,housemaid,single,unknown,yes,no,no,telephone,dec,unknown,56<x<75,-2282<x<11435,1<x<8,4<x<973,16<x<32,0<x<14,1
