id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,entrepreneur,married,secondary,no,yes,yes,cellular,feb,other,44,6542,6,504,7,16,0
1,unemployed,single,unknown,yes,yes,no,unknown,dec,other,50,910,29,922,28,10,1
2,admin.,married,primary,no,yes,yes,unknown,jul,other,76,2371,12,14,17,1,1
3,admin.,divorced,tertiary,no,no,no,cellular,sep,failure,68,1515,23,1290,7,7,1
4,self-employed,divorced,tertiary,no,no,no,cellular,oct,failure,64,1454,6,300,19,21,0
5,blue-collar,single,secondary,no,yes,yes,cellular,aug,failure,84,3357,28,108,27,18,0
6,entrepreneur,married,secondary,no,no,no,cellular,oct,success,72,3098,6,1528,6,26,1
7,unemployed,divorced,primary,no,no,no,telephone,jan,success,35,1972,19,584,30,5,1
8,student,divorced,primary,yes,yes,yes,cellular,apr,failure,44,9916,4,7,13,41,0
9,entrepreneur,single,unknown,no,no,yes,unknown,jan,unknown,76,-331,10,939,20,37,0
10,retired,divorced,secondary,yes,yes,no,cellular,dec,success,89,1984,5,955,24,9,1
11,unknown,married,primary,no,no,yes,unknown,mar,other,21,3902,20,543,21,55,1
12,self-employed,single,unknown,no,no,no,unknown,jun,failure,19,1618,9,68,6,40,0
13,management,divorced,unknown,yes,yes,yes,cellular,feb,unknown,28,1616,25,1164,24,26,1
14,housemaid,married,unknown,no,no,no,telephone,aug,other,37,317,26,223,3,16,1
15,entrepreneur,divorced,secondary,no,yes,yes,telephone,jul,unknown,92,991,10,588,31,7,0
16,admin.,married,tertiary,no,yes,no,unknown,nov,success,49,2206,23,524,11,17,1
17,unemployed,single,secondary,no,yes,yes,unknown,feb,unknown,59,402,3,1137,30,12,1
18,management,divorced,tertiary,no,yes,yes,cellular,mar,other,92,9883,5,1313,33,37,1
19,self-employed,married,unknown,no,yes,no,cellular,jan,unknown,66,2915,27,699,41,3,0
20,retired,married,unknown,yes,yes,yes,cellular,jul,success,24,6699,5,900,16,4,1
21,housemaid,single,primary,no,no,yes,cellular,aug,other,71,1707,25,2053,31,0,1
22,admin.,single,primary,yes,no,yes,cellular,jan,other,86,-824,18,537,26,10,0
23,unemployed,married,secondary,yes,yes,no,cellular,jan,unknown,63,3399,3,1059,10,12,1
24,unknown,divorced,unknown,no,no,no,telephone,may,other,34,4717,13,1044,24,6,1
25,unemployed,single,tertiary,no,no,yes,cellular,may,other,93,990,22,915,41,27,1
26,services,single,primary,yes,yes,no,cellular,mar,unknown,72,13342,6,886,25,37,1
27,student,single,tertiary,yes,no,yes,telephone,jul,unknown,78,1190,8,789,8,14,1
28,self-employed,single,tertiary,no,no,yes,telephone,jun,success,84,-745,9,1036,26,12,1
29,technician,divorced,unknown,yes,no,no,cellular,jun,failure,79,6181,3,708,63,2,1
30,admin.,married,unknown,no,no,yes,cellular,mar,other,47,6835,29,493,26,0,0
31,entrepreneur,single,unknown,yes,no,no,unknown,jul,unknown,65,4492,3,821,22,15,0
32,management,married,secondary,yes,no,yes,cellular,nov,failure,58,-1137,9,14,25,14,0
33,services,single,unknown,no,yes,yes,unknown,sep,other,80,1869,10,587,21,8,0
34,housemaid,divorced,secondary,yes,yes,yes,unknown,oct,unknown,47,568,18,701,43,1,1
35,unemployed,divorced,unknown,yes,no,yes,telephone,jan,other,27,11766,28,931,15,9,0
36,technician,divorced,primary,no,yes,no,cellular,jun,unknown,74,5086,13,31,22,16,0
37,student,married,primary,yes,yes,yes,cellular,may,unknown,55,41,15,259,63,9,0
38,admin.,married,tertiary,yes,yes,no,telephone,nov,other,20,10,31,582,19,29,0
39,management,married,tertiary,yes,no,yes,cellular,sep,failure,27,-360,30,1352,33,40,1
40,student,single,tertiary,no,no,no,telephone,jun,other,73,5154,19,960,30,30,1
41,unknown,single,unknown,no,no,yes,unknown,dec,other,35,758,9,201,28,55,0
42,retired,married,tertiary,no,yes,no,unknown,may,unknown,46,2240,28,352,20,9,0
43,unknown,single,tertiary,no,no,yes,cellular,jan,failure,64,5301,22,693,2,9,0
44,unknown,divorced,secondary,no,no,yes,telephone,oct,failure,85,2185,18,1473,43,26,1
45,housemaid,single,unknown,yes,no,no,telephone,dec,unknown,64,-242,7,138,28,9,1
46,unknown,divorced,secondary,yes,yes,yes,telephone,dec,unknown,73,141,28,475,28,3,0
47,services,married,unknown,yes,yes,no,telephone,nov,success,67,41,20,59,2,23,0
48,management,divorced,secondary,no,yes,no,telephone,aug,other,54,80,7,224,30,28,0
49,services,single,secondary,no,yes,no,telephone,jan,success,26,2027,11,254,3,37,0
50,housemaid,divorced,primary,no,no,yes,telephone,dec,failure,82,369,3,231,41,11,1
51,unknown,single,unknown,yes,yes,yes,cellular,jan,other,64,1111,20,1154,16,21,1
52,technician,single,primary,yes,yes,no,unknown,jan,success,18,2552,22,58,21,58,0
53,admin.,single,primary,yes,yes,no,cellular,apr,unknown,90,2717,20,324,8,7,1
54,entrepreneur,divorced,unknown,no,no,no,unknown,aug,success,47,3848,19,52,9,29,1
55,unemployed,single,tertiary,yes,yes,no,cellular,jun,other,21,-9,4,642,16,6,1
56,management,single,primary,no,no,yes,telephone,nov,failure,62,2291,26,884,29,1,0
57,entrepreneur,single,tertiary,no,yes,no,cellular,may,unknown,60,427,20,1209,15,7,1
58,entrepreneur,married,primary,yes,yes,yes,telephone,apr,other,34,2925,30,1164,27,55,1
59,entrepreneur,married,tertiary,yes,yes,no,cellular,nov,failure,45,3364,17,1363,63,21,0
