id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,entrepreneur,married,secondary,no,yes,yes,cellular,feb,other,37<x<56,-2282<x<11435,1<x<8,4<x<973,1<x<16,14<x<29,0
1,unemployed,single,unknown,yes,yes,no,unknown,dec,other,37<x<56,-2282<x<11435,x>23,4<x<973,16<x<32,0<x<14,1
2,admin.,married,primary,no,yes,yes,unknown,jul,other,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,0<x<14,1
3,admin.,divorced,tertiary,no,no,no,cellular,sep,failure,56<x<75,-2282<x<11435,16<x<23,973<x<1942,1<x<16,0<x<14,1
4,self-employed,divorced,tertiary,no,no,no,cellular,oct,failure,56<x<75,-2282<x<11435,1<x<8,4<x<973,16<x<32,14<x<29,0
5,blue-collar,single,secondary,no,yes,yes,cellular,aug,failure,x>75,-2282<x<11435,x>23,4<x<973,16<x<32,14<x<29,0
6,entrepreneur,married,secondary,no,no,no,cellular,oct,success,56<x<75,-2282<x<11435,1<x<8,973<x<1942,1<x<16,14<x<29,1
7,unemployed,divorced,primary,no,no,no,telephone,jan,success,18<x<37,-2282<x<11435,16<x<23,4<x<973,16<x<32,0<x<14,1
8,student,divorced,primary,yes,yes,yes,cellular,apr,failure,37<x<56,-2282<x<11435,1<x<8,4<x<973,1<x<16,29<x<43,0
9,entrepreneur,single,unknown,no,no,yes,unknown,jan,unknown,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,29<x<43,0
10,retired,divorced,secondary,yes,yes,no,cellular,dec,success,x>75,-2282<x<11435,1<x<8,4<x<973,16<x<32,0<x<14,1
11,unknown,married,primary,no,no,yes,unknown,mar,other,18<x<37,-2282<x<11435,16<x<23,4<x<973,16<x<32,x>43,1
12,self-employed,single,unknown,no,no,no,unknown,jun,failure,18<x<37,-2282<x<11435,8<x<16,4<x<973,1<x<16,29<x<43,0
13,management,divorced,unknown,yes,yes,yes,cellular,feb,unknown,18<x<37,-2282<x<11435,x>23,973<x<1942,16<x<32,14<x<29,1
14,housemaid,married,unknown,no,no,no,telephone,aug,other,18<x<37,-2282<x<11435,x>23,4<x<973,1<x<16,14<x<29,1
15,entrepreneur,divorced,secondary,no,yes,yes,telephone,jul,unknown,x>75,-2282<x<11435,8<x<16,4<x<973,16<x<32,0<x<14,0
16,admin.,married,tertiary,no,yes,no,unknown,nov,success,37<x<56,-2282<x<11435,16<x<23,4<x<973,1<x<16,14<x<29,1
