id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
0,critical/other existing credit,'new car','500<=X<1000',female div/dep/mar,none,no known property,none,'for free',unemp/unskilled non res,yes,no,16,1168,2,1,64,4,1,no checking,1<=X<4,1
1,'delayed previously',new car,<100,male mar/wid,none,life insurance,bank,rent,high qualif/self emp/mgmt,none,yes,36,2197,3,2,53,2,2,'no checking',<1,0
2,'critical/other existing credit',other,'100<=X<500','male mar/wid',co applicant,no known property,none,own,'unskilled resident',yes,no,4,3763,4,4,27,3,1,no checking,'<1',1
3,delayed previously,radio/tv,'500<=X<1000',male single,co applicant,'life insurance',none,rent,'unskilled resident',yes,yes,28,448,3,3,29,4,2,'<0',<1,0
4,'delayed previously',business,500<=X<1000,'male mar/wid',guarantor,'life insurance',none,'for free','high qualif/self emp/mgmt',none,yes,8,697,4,4,30,1,1,<0,4<=X<7,1
5,delayed previously,'new car',no known savings,'male single',co applicant,no known property,stores,own,skilled,none,yes,39,2570,2,3,58,3,2,'>=200','1<=X<4',1
6,delayed previously,business,100<=X<500,'male div/sep',guarantor,life insurance,none,'for free','unemp/unskilled non res',none,yes,28,1963,4,2,34,3,1,0<=X<200,'4<=X<7',1
7,'delayed previously',used car,'>=1000','female div/dep/mar',co applicant,'real estate',stores,for free,unemp/unskilled non res,yes,yes,47,3872,1,1,68,2,1,'>=200','<1',1
8,all paid,domestic appliance,no known savings,female div/dep/mar,none,car,bank,for free,'unskilled resident',yes,yes,12,8947,3,2,65,3,2,'no checking','1<=X<4',1
9,no credits/all paid,'new car',500<=X<1000,'male div/sep',co applicant,'no known property',stores,for free,high qualif/self emp/mgmt,none,yes,21,2032,3,1,42,2,1,no checking,1<=X<4,1
10,existing paid,retraining,<100,male mar/wid,guarantor,life insurance,bank,for free,unskilled resident,none,no,16,936,4,3,60,4,2,0<=X<200,'<1',1
11,'all paid',business,100<=X<500,'male div/sep',none,real estate,bank,own,'unemp/unskilled non res',none,no,60,1042,2,4,42,4,1,<0,1<=X<4,1
12,delayed previously,other,'>=1000','female div/dep/mar','co applicant',real estate,stores,rent,'high qualif/self emp/mgmt',yes,no,20,7057,1,3,26,4,1,'<0','>=7',1
13,delayed previously,radio/tv,'500<=X<1000',male div/sep,co applicant,'real estate',bank,rent,'high qualif/self emp/mgmt',none,yes,72,3275,4,4,52,4,2,0<=X<200,'1<=X<4',0
14,no credits/all paid,domestic appliance,500<=X<1000,female div/dep/mar,guarantor,'no known property',stores,'for free',skilled,none,no,20,1245,1,3,38,2,2,'>=200','1<=X<4',1
15,existing paid,furniture/equipment,'no known savings',female div/dep/mar,none,life insurance,none,for free,unemp/unskilled non res,none,yes,39,7882,1,3,64,2,2,'no checking',>=7,1
16,'all paid',radio/tv,'<100',male mar/wid,co applicant,car,stores,for free,unskilled resident,yes,yes,24,2767,4,3,28,2,2,'>=200',unemployed,1
17,all paid,other,'<100','male div/sep',co applicant,'real estate',none,own,high qualif/self emp/mgmt,none,no,15,1967,2,4,22,2,1,'>=200','<1',1
18,no credits/all paid,'used car','500<=X<1000','male div/sep','co applicant',life insurance,none,rent,high qualif/self emp/mgmt,none,no,27,1360,3,2,67,1,1,no checking,unemployed,1
19,'no credits/all paid',retraining,'100<=X<500',male mar/wid,guarantor,real estate,none,'for free',unemp/unskilled non res,yes,yes,26,1050,3,2,47,1,1,'0<=X<200','4<=X<7',1
20,no credits/all paid,'domestic appliance',no known savings,male mar/wid,co applicant,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes,48,2569,1,2,64,2,2,<0,4<=X<7,1
21,all paid,repairs,no known savings,male single,co applicant,'real estate',stores,'for free','unemp/unskilled non res',none,no,21,14555,3,3,38,1,1,'0<=X<200','<1',1
22,existing paid,other,<100,male single,none,'life insurance',none,rent,high qualif/self emp/mgmt,yes,yes,42,3343,4,2,24,1,2,'>=200','1<=X<4',1
23,'all paid','domestic appliance','100<=X<500','male div/sep',co applicant,no known property,stores,'for free','high qualif/self emp/mgmt',none,yes,30,1204,3,1,66,4,2,'<0',unemployed,1
24,'delayed previously',other,'<100',male div/sep,co applicant,real estate,none,'for free','unskilled resident',yes,no,20,2073,1,4,38,2,1,'0<=X<200',unemployed,1
