id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
0,'critical/other existing credit',new car,'>=1000','co applicant',no known property,bank,'for free','unskilled resident',none,no,'female,div/sep',4<x<21,x>13887,x<1,x>3,19<x<33,x>3,x>1,'<0',unemployed,1
1,'delayed previously',domestic appliance,'>=1000','co applicant',real estate,stores,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',4<x<21,276<x<4813,2<x<3,x<1,33<x<47,1<x<2,x<1,no checking,>=7,1
2,no credits/all paid,education,'no known savings',guarantor,'no known property',none,'for free',high qualif/self emp/mgmt,yes,yes,'male,single',21<x<38,276<x<4813,1<x<2,x>3,x>61,x>3,x>1,<0,4<=X<7,1
3,existing paid,furniture/equipment,500<=X<1000,guarantor,life insurance,bank,own,'unemp/unskilled non res',none,no,male,div/sep',x>55,276<x<4813,2<x<3,2<x<3,33<x<47,x<1,x>1,0<=X<200,'>=7',0
4,'critical/other existing credit',repairs,'no known savings',guarantor,no known property,stores,rent,unskilled resident,none,no,'male,mar/wid,4<x<21,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x<1,'>=200',4<=X<7,1
5,'delayed previously',business,'>=1000',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,no,'male,div/dep/mar,4<x<21,276<x<4813,2<x<3,1<x<2,x>61,x>3,x>1,'>=200',>=7,1
6,'all paid',used car,>=1000,none,car,none,own,high qualif/self emp/mgmt,yes,no,'female,mar/wid',4<x<21,276<x<4813,2<x<3,x<1,19<x<33,x>3,x<1,<0,1<=X<4,1
7,critical/other existing credit,business,'<100',co applicant,real estate,none,for free,unemp/unskilled non res,none,no,'female,mar/wid,4<x<21,276<x<4813,2<x<3,x>3,19<x<33,1<x<2,x>1,<0,>=7,1
8,'all paid',business,'500<=X<1000',co applicant,'life insurance',bank,'for free',unskilled resident,yes,yes,female,div/sep,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,2<x<3,x<1,'>=200',>=7,0
9,'no credits/all paid',radio/tv,'<100',co applicant,'no known property',stores,'for free','unemp/unskilled non res',none,yes,'male,mar/wid',4<x<21,276<x<4813,x<1,1<x<2,33<x<47,x<1,x<1,0<=X<200,'1<=X<4',1
10,existing paid,'used car','<100','co applicant',no known property,none,for free,unskilled resident,yes,yes,'female,single',21<x<38,276<x<4813,x>3,2<x<3,47<x<61,x>3,x<1,'>=200','<1',0
11,'existing paid',retraining,<100,'co applicant',no known property,stores,rent,skilled,none,yes,male,div/sep',38<x<55,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x<1,'no checking',<1,1
12,no credits/all paid,other,'500<=X<1000',guarantor,life insurance,none,own,unskilled resident,none,no,'male,div/sep,21<x<38,276<x<4813,1<x<2,x<1,47<x<61,x<1,x<1,'>=200',4<=X<7,0
13,'delayed previously',domestic appliance,no known savings,'co applicant','real estate',bank,for free,unemp/unskilled non res,yes,no,'male,mar/wid,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,1<x<2,x>1,'>=200',>=7,1
14,critical/other existing credit,used car,>=1000,'co applicant',car,bank,rent,'high qualif/self emp/mgmt',yes,yes,male,div/sep',21<x<38,276<x<4813,x<1,1<x<2,33<x<47,1<x<2,x<1,'no checking','>=7',1
15,'no credits/all paid',business,'<100',guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,none,no,'male,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,33<x<47,1<x<2,x>1,>=200,4<=X<7,0
16,no credits/all paid,repairs,'no known savings','co applicant',life insurance,none,own,high qualif/self emp/mgmt,yes,yes,'female,div/sep',21<x<38,276<x<4813,2<x<3,x<1,33<x<47,2<x<3,x>1,'0<=X<200',unemployed,1
17,existing paid,other,'500<=X<1000','co applicant','no known property',bank,'for free',unskilled resident,yes,yes,female,mar/wid',x>55,4813<x<9350,2<x<3,x>3,x<19,2<x<3,x>1,>=200,1<=X<4,0
18,'no credits/all paid',domestic appliance,'>=1000','co applicant',car,none,rent,high qualif/self emp/mgmt,yes,no,female,mar/wid,38<x<55,4813<x<9350,2<x<3,x<1,19<x<33,x<1,x<1,'0<=X<200','>=7',0
19,critical/other existing credit,'new car','<100',co applicant,'real estate',bank,for free,'high qualif/self emp/mgmt',none,no,male,div/sep,4<x<21,276<x<4813,x<1,x<1,47<x<61,x<1,x>1,'0<=X<200',1<=X<4,0
20,'existing paid',domestic appliance,'<100','co applicant',no known property,bank,own,'unemp/unskilled non res',none,no,'male,single,x>55,276<x<4813,1<x<2,2<x<3,x>61,x<1,x>1,no checking,'4<=X<7',1
21,'delayed previously',new car,'100<=X<500',none,life insurance,bank,own,unemp/unskilled non res,none,no,male,mar/wid',x<4,4813<x<9350,x<1,x<1,33<x<47,x>3,x>1,no checking,1<=X<4,1
22,critical/other existing credit,other,<100,guarantor,life insurance,none,own,high qualif/self emp/mgmt,yes,no,male,div/dep/mar',4<x<21,276<x<4813,1<x<2,x<1,x>61,x>3,x>1,'no checking',>=7,1
23,delayed previously,other,<100,none,'no known property',bank,rent,'unemp/unskilled non res',yes,yes,male,div/dep/mar',38<x<55,276<x<4813,x<1,2<x<3,47<x<61,1<x<2,x>1,no checking,>=7,1
24,delayed previously,'domestic appliance',500<=X<1000,'co applicant',real estate,bank,rent,high qualif/self emp/mgmt,yes,no,female,single,x>55,276<x<4813,x>3,2<x<3,33<x<47,x>3,x<1,'<0',<1,0
25,all paid,'used car','no known savings',none,'real estate',none,own,'high qualif/self emp/mgmt',none,no,male,single',4<x<21,276<x<4813,2<x<3,x>3,47<x<61,1<x<2,x>1,0<=X<200,'1<=X<4',1
26,critical/other existing credit,domestic appliance,500<=X<1000,co applicant,life insurance,bank,rent,high qualif/self emp/mgmt,yes,yes,male,div/sep,21<x<38,4813<x<9350,2<x<3,x>3,47<x<61,x>3,x>1,>=200,'1<=X<4',0
27,'delayed previously','domestic appliance','no known savings',co applicant,life insurance,bank,rent,unskilled resident,yes,no,female,div/dep/mar,4<x<21,4813<x<9350,2<x<3,x<1,47<x<61,x>3,x>1,'0<=X<200','4<=X<7',0
28,no credits/all paid,new car,'500<=X<1000','co applicant',life insurance,none,'for free',unskilled resident,none,yes,female,single,4<x<21,276<x<4813,1<x<2,1<x<2,47<x<61,x<1,x>1,<0,>=7,1
29,delayed previously,business,'>=1000',none,life insurance,none,'for free',unskilled resident,none,no,'female,single',38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,x>3,x<1,0<=X<200,unemployed,1
30,delayed previously,'domestic appliance',500<=X<1000,co applicant,'life insurance',stores,own,'high qualif/self emp/mgmt',yes,no,male,div/dep/mar',4<x<21,276<x<4813,x<1,x<1,19<x<33,1<x<2,x<1,'0<=X<200',<1,0
31,critical/other existing credit,business,no known savings,guarantor,'real estate',bank,for free,unskilled resident,none,no,'male,div/sep',x<4,276<x<4813,1<x<2,1<x<2,33<x<47,1<x<2,x>1,'no checking','1<=X<4',1
32,'critical/other existing credit',furniture/equipment,'100<=X<500',guarantor,no known property,none,rent,unemp/unskilled non res,none,yes,male,div/sep,21<x<38,276<x<4813,x>3,x<1,33<x<47,1<x<2,x>1,'<0','1<=X<4',0
33,delayed previously,radio/tv,'100<=X<500',none,life insurance,none,rent,skilled,none,no,'female,single',4<x<21,276<x<4813,x>3,x>3,x>61,x>3,x>1,0<=X<200,'4<=X<7',1
34,'delayed previously',radio/tv,'<100',guarantor,'real estate',stores,'for free',skilled,yes,yes,female,mar/wid,4<x<21,276<x<4813,2<x<3,x>3,33<x<47,2<x<3,x<1,'0<=X<200',1<=X<4,1
35,existing paid,education,'<100','co applicant',car,none,for free,high qualif/self emp/mgmt,none,no,male,mar/wid',4<x<21,276<x<4813,x<1,1<x<2,x>61,x>3,x>1,no checking,'<1',1
36,delayed previously,retraining,500<=X<1000,co applicant,real estate,stores,'for free','unemp/unskilled non res',yes,no,female,div/dep/mar,38<x<55,276<x<4813,1<x<2,1<x<2,33<x<47,x>3,x<1,0<=X<200,>=7,1
37,'no credits/all paid','new car','>=1000',guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,yes,no,female,mar/wid,38<x<55,276<x<4813,1<x<2,x>3,33<x<47,x>3,x<1,'no checking','<1',0
38,no credits/all paid,'domestic appliance','>=1000',co applicant,life insurance,bank,own,skilled,none,yes,male,single',4<x<21,276<x<4813,x<1,x>3,19<x<33,x<1,x<1,<0,4<=X<7,0
39,'no credits/all paid',radio/tv,500<=X<1000,'co applicant',no known property,none,for free,unskilled resident,none,no,male,single,38<x<55,276<x<4813,2<x<3,2<x<3,19<x<33,x>3,x<1,'0<=X<200',<1,1
40,critical/other existing credit,furniture/equipment,500<=X<1000,'co applicant','no known property',none,for free,skilled,yes,no,female,mar/wid,21<x<38,276<x<4813,1<x<2,2<x<3,47<x<61,x>3,x>1,<0,'>=7',1
41,'all paid','domestic appliance',no known savings,none,no known property,stores,for free,high qualif/self emp/mgmt,none,no,'female,single,21<x<38,276<x<4813,x<1,2<x<3,33<x<47,x>3,x<1,<0,'1<=X<4',1
