id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
0,'critical/other existing credit',new car,'>=1000','co applicant',no known property,bank,'for free','unskilled resident',none,no,'female,div/sep',15,14782,1,4,30,4,2,'<0',unemployed,1
1,'delayed previously',domestic appliance,'>=1000','co applicant',real estate,stores,'for free',high qualif/self emp/mgmt,yes,no,male,mar/wid',15,2760,3,1,47,2,1,no checking,>=7,1
2,no credits/all paid,education,'no known savings',guarantor,'no known property',none,'for free',high qualif/self emp/mgmt,yes,yes,'male,single',36,4771,2,4,74,4,2,<0,4<=X<7,0
3,existing paid,furniture/equipment,500<=X<1000,guarantor,life insurance,bank,own,'unemp/unskilled non res',none,no,male,div/sep',60,1345,3,3,38,1,2,0<=X<200,'>=7',0
4,'critical/other existing credit',repairs,'no known savings',guarantor,no known property,stores,rent,unskilled resident,none,no,'male,mar/wid,8,3108,2,2,27,2,1,'>=200',4<=X<7,1
5,'delayed previously',business,'>=1000',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,no,'male,div/dep/mar,6,4139,3,2,62,4,2,'>=200',>=7,1
6,'all paid',used car,>=1000,none,car,none,own,high qualif/self emp/mgmt,yes,no,'female,mar/wid',10,3496,3,1,28,4,1,<0,1<=X<4,1
7,critical/other existing credit,business,'<100',co applicant,real estate,none,for free,unemp/unskilled non res,none,no,'female,mar/wid,6,3609,3,4,20,2,2,<0,>=7,1
8,'all paid',business,'500<=X<1000',co applicant,'life insurance',bank,'for free',unskilled resident,yes,yes,female,div/sep,30,2359,2,1,27,3,1,'>=200',>=7,0
9,'no credits/all paid',radio/tv,'<100',co applicant,'no known property',stores,'for free','unemp/unskilled non res',none,yes,'male,mar/wid',8,3123,1,2,42,1,1,0<=X<200,'1<=X<4',0
10,existing paid,'used car','<100','co applicant',no known property,none,for free,unskilled resident,yes,yes,'female,single',27,1835,4,3,49,4,1,'>=200','<1',1
11,'existing paid',retraining,<100,'co applicant',no known property,stores,rent,skilled,none,yes,male,div/sep',45,2580,2,2,32,2,1,'no checking',<1,1
12,no credits/all paid,other,'500<=X<1000',guarantor,life insurance,none,own,unskilled resident,none,no,'male,div/sep,33,2427,2,1,55,1,1,'>=200',4<=X<7,1
13,'delayed previously',domestic appliance,no known savings,'co applicant','real estate',bank,for free,unemp/unskilled non res,yes,no,'male,mar/wid,27,3378,2,1,25,2,2,'>=200',>=7,1
14,critical/other existing credit,used car,>=1000,'co applicant',car,bank,rent,'high qualif/self emp/mgmt',yes,yes,male,div/sep',36,2133,1,2,38,2,1,'no checking','>=7',1
15,'no credits/all paid',business,'<100',guarantor,'no known property',stores,for free,high qualif/self emp/mgmt,none,no,'male,div/dep/mar,16,2606,4,2,44,2,2,>=200,4<=X<7,1
16,no credits/all paid,repairs,'no known savings','co applicant',life insurance,none,own,high qualif/self emp/mgmt,yes,yes,'female,div/sep',24,2197,3,1,39,3,2,'0<=X<200',unemployed,1
17,existing paid,other,'500<=X<1000','co applicant','no known property',bank,'for free',unskilled resident,yes,yes,female,mar/wid',72,5842,3,4,19,3,2,>=200,1<=X<4,0
18,'no credits/all paid',domestic appliance,'>=1000','co applicant',car,none,rent,high qualif/self emp/mgmt,yes,no,female,mar/wid,40,6288,3,1,26,1,1,'0<=X<200','>=7',1
19,critical/other existing credit,'new car','<100',co applicant,'real estate',bank,for free,'high qualif/self emp/mgmt',none,no,male,div/sep,9,3244,1,1,61,1,2,'0<=X<200',1<=X<4,1
20,'existing paid',domestic appliance,'<100','co applicant',no known property,bank,own,'unemp/unskilled non res',none,no,'male,single,72,2323,2,3,62,1,2,no checking,'4<=X<7',1
21,'delayed previously',new car,'100<=X<500',none,life insurance,bank,own,unemp/unskilled non res,none,no,male,mar/wid',4,6560,1,1,47,4,2,no checking,1<=X<4,0
22,critical/other existing credit,other,<100,guarantor,life insurance,none,own,high qualif/self emp/mgmt,yes,no,male,div/dep/mar',5,951,2,1,65,4,2,'no checking',>=7,1
