marriage,sex,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
single,male,<0,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good
div/dep/mar,female,0<=X<200,38<x<55,existing paid,radio/tv,4793<x<9337,<100,1<=X<4,2,none,2,real estate,22,none,own,1,skilled,1,none,yes,bad
single,male,no checking,4<x<21,critical/other existing credit,education,250<x<4793,<100,4<=X<7,2,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,good
single,male,<0,38<x<55,existing paid,furniture/equipment,4793<x<9337,<100,4<=X<7,2,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good
single,male,<0,21<x<38,delayed previously,new car,4793<x<9337,<100,1<=X<4,3,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
single,male,no checking,21<x<38,existing paid,education,4793<x<9337,no known savings,1<=X<4,2,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,good
single,male,no checking,21<x<38,existing paid,furniture/equipment,250<x<4793,500<=X<1000,>=7,3,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good
single,male,0<=X<200,21<x<38,existing paid,used car,4793<x<9337,<100,1<=X<4,2,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
div/sep,male,no checking,4<x<21,existing paid,radio/tv,250<x<4793,>=1000,4<=X<7,2,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,good
mar/wid,male,0<=X<200,21<x<38,critical/other existing credit,new car,4793<x<9337,<100,unemployed,4,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
div/dep/mar,female,0<=X<200,4<x<21,existing paid,new car,250<x<4793,<100,<1,3,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
div/dep/mar,female,<0,38<x<55,existing paid,business,250<x<4793,<100,<1,3,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
div/dep/mar,female,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,1,none,1,car,22,none,own,1,skilled,1,yes,yes,good
single,male,<0,21<x<38,critical/other existing credit,new car,250<x<4793,<100,>=7,4,none,4,car,60,none,own,2,unskilled resident,1,none,yes,bad
div/dep/mar,female,<0,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,2,none,4,car,28,none,rent,1,skilled,1,none,yes,good
div/dep/mar,female,<0,21<x<38,existing paid,radio/tv,250<x<4793,100<=X<500,1<=X<4,4,none,2,car,32,none,own,1,unskilled resident,1,none,yes,bad
single,male,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good
single,male,<0,21<x<38,no credits/all paid,business,4793<x<9337,no known savings,<1,2,none,3,car,25,bank,own,3,skilled,1,none,yes,good
div/dep/mar,female,0<=X<200,21<x<38,existing paid,used car,9337<x<13880,<100,>=7,4,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,male,no checking,21<x<38,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,3,none,2,car,31,none,own,1,skilled,2,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,4,none,4,car,48,none,own,3,skilled,1,yes,yes,good
single,male,<0,4<x<21,existing paid,radio/tv,250<x<4793,500<=X<1000,1<=X<4,2,none,3,real estate,44,none,rent,1,skilled,2,none,yes,good
single,male,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,<1,1,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,good
single,male,0<=X<200,4<x<21,critical/other existing credit,used car,250<x<4793,100<=X<500,<1,3,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good
mar/wid,male,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,no known savings,1<=X<4,2,none,1,car,26,none,own,2,skilled,1,none,no,good
single,male,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,1,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,good
mar/wid,male,no checking,4<x<21,no credits/all paid,radio/tv,250<x<4793,<100,>=7,4,none,4,car,39,none,own,1,unskilled resident,1,none,yes,good
div/dep/mar,female,>=200,4<x<21,all paid,radio/tv,250<x<4793,>=1000,1<=X<4,3,none,3,real estate,42,none,rent,2,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,3,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good
single,male,<0,55<x<72,delayed previously,business,4793<x<9337,<100,>=7,3,none,4,no known property,63,none,own,2,skilled,1,yes,yes,bad
mar/wid,male,0<=X<200,4<x<21,existing paid,business,250<x<4793,>=1000,<1,3,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
single,male,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,2,car,27,stores,own,1,skilled,1,none,yes,good
single,male,0<=X<200,4<x<21,existing paid,new car,4793<x<9337,100<=X<500,1<=X<4,2,none,2,car,30,none,own,2,skilled,1,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,business,250<x<4793,no known savings,>=7,4,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,good
div/dep/mar,female,>=200,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,<1,4,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
single,male,0<=X<200,38<x<55,critical/other existing credit,radio/tv,250<x<4793,<100,<1,4,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,bad
single,male,no checking,38<x<55,critical/other existing credit,education,4793<x<9337,<100,1<=X<4,1,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,good
single,male,>=200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,bad
single,male,>=200,4<x<21,existing paid,domestic appliance,250<x<4793,<100,1<=X<4,2,none,2,car,37,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,3,real estate,24,none,own,1,skilled,1,none,yes,good
single,male,no checking,21<x<38,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,4,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
div/sep,male,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,500<=X<1000,1<=X<4,3,none,1,car,26,none,own,1,skilled,1,yes,yes,good
single,male,0<=X<200,4<x<21,delayed previously,repairs,4793<x<9337,<100,1<=X<4,2,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,good
mar/wid,male,<0,21<x<38,critical/other existing credit,used car,4793<x<9337,100<=X<500,4<=X<7,1,none,4,car,24,none,rent,2,skilled,1,none,yes,good
div/dep/mar,female,<0,38<x<55,critical/other existing credit,used car,4793<x<9337,<100,>=7,4,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,bad
div/dep/mar,female,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,<1,4,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
single,male,no checking,21<x<38,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,4,none,4,car,39,none,own,1,skilled,1,none,yes,good
div/dep/mar,female,<0,4<x<21,existing paid,used car,250<x<4793,500<=X<1000,unemployed,1,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,good
single,male,no checking,4<x<21,critical/other existing credit,new car,4793<x<9337,<100,1<=X<4,1,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
div/dep/mar,female,no checking,4<x<21,existing paid,radio/tv,250<x<4793,100<=X<500,1<=X<4,4,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,good
