age,workclass,fnlwgt,education,marital-status,race,sex,hours-per-week,country,class
39,State-gov,77516,13,Never-married,White,Male,40,US,0
50,Self-emp-not-inc,83311,13,Married-civ-spouse,White,Male,13,US,0
38,Private,215646,9,Divorced,White,Male,40,US,0
53,Private,234721,7,Married-civ-spouse,Black,Male,40,US,0
28,Private,338409,13,Married-civ-spouse,Black,Female,40,non-US,0
37,Private,284582,14,Married-civ-spouse,White,Female,40,US,0
49,Private,160187,5,Married-spouse-absent,Black,Female,16,non-US,0
52,Self-emp-not-inc,209642,9,Married-civ-spouse,White,Male,45,US,1
31,Private,45781,14,Never-married,White,Female,50,US,1
42,Private,159449,13,Married-civ-spouse,White,Male,40,US,1
37,Private,280464,10,Married-civ-spouse,Black,Male,80,US,1
30,State-gov,141297,13,Married-civ-spouse,Asian-Pac-Islander,Male,40,non-US,1
23,Private,122272,13,Never-married,White,Female,30,US,0
32,Private,205019,12,Never-married,Black,Male,50,US,0
34,Private,245487,4,Married-civ-spouse,Amer-Indian-Eskimo,Male,45,non-US,0
25,Self-emp-not-inc,176756,9,Never-married,White,Male,35,US,0
32,Private,186824,9,Never-married,White,Male,40,US,0
38,Private,28887,7,Married-civ-spouse,White,Male,50,US,0
43,Self-emp-not-inc,292175,14,Divorced,White,Female,45,US,1
40,Private,193524,16,Married-civ-spouse,White,Male,60,US,1
54,Private,302146,9,Separated,Black,Female,20,US,0
35,Federal-gov,76845,5,Married-civ-spouse,Black,Male,40,US,0
43,Private,117037,7,Married-civ-spouse,White,Male,40,US,0
59,Private,109015,9,Divorced,White,Female,40,US,0
56,Local-gov,216851,13,Married-civ-spouse,White,Male,40,US,1
19,Private,168294,9,Never-married,White,Male,40,US,0
39,Private,367260,9,Divorced,White,Male,80,US,0
49,Private,193366,9,Married-civ-spouse,White,Male,40,US,0
23,Local-gov,190709,12,Never-married,White,Male,52,US,0
20,Private,266015,10,Never-married,Black,Male,44,US,0
45,Private,386940,13,Divorced,White,Male,40,US,0
30,Federal-gov,59951,10,Married-civ-spouse,White,Male,40,US,0
22,State-gov,311512,10,Married-civ-spouse,Black,Male,15,US,0
48,Private,242406,7,Never-married,White,Male,40,non-US,0
21,Private,197200,10,Never-married,White,Male,40,US,0
19,Private,544091,9,Married-AF-spouse,White,Female,25,US,0
48,Self-emp-not-inc,265477,12,Married-civ-spouse,White,Male,40,US,0
31,Private,507875,5,Married-civ-spouse,White,Male,43,US,0
53,Self-emp-not-inc,88506,13,Married-civ-spouse,White,Male,40,US,0
24,Private,172987,13,Married-civ-spouse,White,Male,50,US,0
49,Private,94638,9,Separated,White,Female,40,US,0
25,Private,289980,9,Never-married,White,Male,35,US,0
57,Federal-gov,337895,13,Married-civ-spouse,Black,Male,40,US,1
53,Private,144361,9,Married-civ-spouse,White,Male,38,US,0
44,Private,128354,14,Divorced,White,Female,40,US,0
41,State-gov,101603,11,Married-civ-spouse,White,Male,40,US,0
29,Private,271466,11,Never-married,White,Male,43,US,0
25,Private,32275,10,Married-civ-spouse,Other,Female,40,US,0
47,Private,51835,15,Married-civ-spouse,White,Female,60,non-US,1
50,Federal-gov,251585,13,Divorced,White,Male,55,US,1
47,Self-emp-inc,109832,9,Divorced,White,Male,60,US,0
43,Private,237993,10,Married-civ-spouse,White,Male,40,US,1
46,Private,216666,3,Married-civ-spouse,White,Male,40,non-US,0
35,Private,56352,11,Married-civ-spouse,White,Male,40,non-US,0
41,Private,147372,9,Married-civ-spouse,White,Male,48,US,0
30,Private,188146,9,Married-civ-spouse,White,Male,40,US,0
30,Private,59496,13,Married-civ-spouse,White,Male,40,US,0
48,Private,149640,9,Married-civ-spouse,White,Male,40,US,0
42,Private,116632,16,Married-civ-spouse,White,Male,45,US,1
29,Private,105598,10,Divorced,White,Male,58,US,0
36,Private,155537,9,Married-civ-spouse,White,Male,40,US,0
28,Private,183175,10,Divorced,White,Female,40,US,0
53,Private,169846,9,Married-civ-spouse,White,Female,40,US,1
49,Self-emp-inc,191681,10,Married-civ-spouse,White,Male,50,US,1
19,Private,101509,10,Never-married,White,Male,32,US,0
31,Private,309974,13,Separated,Black,Female,40,US,0
29,Self-emp-not-inc,162298,13,Married-civ-spouse,White,Male,70,US,1
23,Private,211678,10,Never-married,White,Male,40,US,0
79,Private,124744,10,Married-civ-spouse,White,Male,20,US,0
27,Private,213921,9,Never-married,White,Male,40,non-US,0
40,Private,32214,12,Married-civ-spouse,White,Male,40,US,0
18,Private,309634,7,Never-married,White,Female,22,US,0
31,Local-gov,125927,4,Married-civ-spouse,White,Male,40,US,0
18,Private,446839,9,Never-married,White,Male,30,US,0
52,Private,276515,13,Married-civ-spouse,White,Male,40,non-US,0
46,Private,51618,9,Married-civ-spouse,White,Female,40,US,0
59,Private,159937,9,Married-civ-spouse,White,Male,48,US,0
44,Private,343591,9,Divorced,White,Female,40,US,1
53,Private,346253,9,Divorced,White,Female,35,US,0
49,Local-gov,268234,9,Married-civ-spouse,White,Male,40,US,1
33,Private,202051,14,Married-civ-spouse,White,Male,50,US,0
30,Private,54334,5,Never-married,White,Male,40,US,0
43,Federal-gov,410867,16,Never-married,White,Female,50,US,1
57,Private,249977,11,Married-civ-spouse,White,Male,40,US,0
37,Private,286730,10,Divorced,White,Female,40,US,0
28,Private,212563,10,Divorced,Black,Female,25,US,0
34,Local-gov,226296,13,Married-civ-spouse,White,Male,40,US,1
29,Local-gov,115585,10,Never-married,White,Male,50,US,0
48,Self-emp-not-inc,191277,16,Married-civ-spouse,White,Male,60,US,1
37,Private,202683,10,Married-civ-spouse,White,Male,48,US,1
48,Private,171095,12,Divorced,White,Female,40,non-US,0
32,Federal-gov,249409,9,Never-married,Black,Male,40,US,0
76,Private,124191,14,Married-civ-spouse,White,Male,40,US,1
44,Private,198282,13,Married-civ-spouse,White,Male,60,US,1
47,Self-emp-not-inc,149116,14,Never-married,White,Female,50,US,0
20,Private,188300,10,Never-married,White,Female,40,US,0
29,Private,103432,9,Never-married,White,Male,40,US,0
32,Self-emp-inc,317660,9,Married-civ-spouse,White,Male,40,US,1
30,Private,194901,7,Never-married,White,Male,40,US,0
31,Local-gov,189265,9,Never-married,White,Female,40,US,0
42,Private,124692,9,Married-civ-spouse,White,Male,40,US,0
24,Private,432376,13,Never-married,White,Male,40,US,0
38,Private,65324,15,Married-civ-spouse,White,Male,40,US,1
56,Self-emp-not-inc,335605,9,Married-civ-spouse,White,Male,50,non-US,1
28,Private,377869,10,Married-civ-spouse,White,Female,25,US,0
36,Private,102864,9,Never-married,White,Female,40,US,0
53,Private,95647,5,Married-civ-spouse,White,Male,50,US,0
56,Self-emp-inc,303090,10,Married-civ-spouse,White,Male,50,US,0
49,Local-gov,197371,11,Married-civ-spouse,Black,Male,40,US,1
55,Private,247552,10,Married-civ-spouse,White,Male,56,US,0
22,Private,102632,9,Never-married,White,Male,41,US,0
21,Private,199915,10,Never-married,White,Female,40,US,0
40,Private,118853,13,Married-civ-spouse,White,Male,60,US,0
30,Private,77143,13,Never-married,Black,Male,40,non-US,0
29,State-gov,267989,13,Married-civ-spouse,White,Male,50,US,1
19,Private,301606,10,Never-married,Black,Male,35,US,0
47,Private,287828,13,Married-civ-spouse,White,Female,40,US,1
20,Private,111697,10,Never-married,White,Female,28,US,0
31,Private,114937,12,Married-civ-spouse,White,Male,40,US,1
39,Private,365739,10,Divorced,White,Male,40,US,0
28,Private,69621,12,Never-married,White,Female,60,US,0
24,Private,43323,9,Never-married,White,Female,40,US,0
38,Self-emp-not-inc,120985,9,Married-civ-spouse,White,Male,35,US,0
37,Private,254202,13,Married-civ-spouse,White,Male,50,US,0
46,Private,146195,12,Divorced,Black,Female,36,US,0
38,Federal-gov,125933,14,Married-civ-spouse,White,Male,40,non-US,1
43,Self-emp-not-inc,56920,9,Married-civ-spouse,White,Male,60,US,0
27,Private,163127,11,Married-civ-spouse,White,Female,35,US,0
20,Private,34310,10,Never-married,White,Male,20,US,0
49,Private,81973,10,Married-civ-spouse,Asian-Pac-Islander,Male,40,US,1
61,Self-emp-inc,66614,9,Married-civ-spouse,White,Male,40,US,0
27,Private,232782,10,Never-married,White,Female,40,US,0
19,Private,316868,10,Never-married,White,Male,30,non-US,0
45,Private,196584,11,Never-married,White,Female,40,US,1
70,Private,105376,10,Never-married,White,Male,40,US,0
31,Private,185814,9,Never-married,Black,Female,30,US,0
22,Private,175374,10,Married-civ-spouse,White,Male,24,US,0
36,Private,108293,9,Widowed,White,Female,24,US,0
64,Private,181232,7,Married-civ-spouse,White,Male,40,US,0
47,Local-gov,186009,10,Divorced,White,Female,38,non-US,0
34,Private,198183,9,Never-married,White,Female,40,US,0
33,Private,163003,13,Never-married,Asian-Pac-Islander,Female,40,non-US,0
21,Private,296158,9,Never-married,White,Male,35,US,0
48,Private,187715,9,Married-civ-spouse,White,Male,46,US,0
23,Private,214542,13,Never-married,White,Male,40,US,0
71,Self-emp-not-inc,494223,10,Separated,Black,Male,2,US,0
29,Private,191535,9,Divorced,White,Male,60,US,0
42,Private,228456,13,Separated,Black,Male,50,US,0
25,Private,252752,9,Never-married,White,Female,40,US,0
44,Self-emp-inc,78374,14,Divorced,Asian-Pac-Islander,Female,40,US,0
28,Private,88419,9,Never-married,Asian-Pac-Islander,Female,40,non-US,0
