age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,class
17<x<37,admin.,single,university.degree,no,yes,no,cellular,nov,thu,0<x<1229,1<x<14,x>749,0<x<1,failure,-0.1,93.2,-42,x>3.634,5195.8,no
17<x<37,student,single,basic.6y,no,yes,no,cellular,oct,tue,0<x<1229,x<1,x>749,x<0,nonexistent,-3.4,92.431,-26.9,0.634<x<1.634,5017.5,no
37<x<57,services,married,high.school,no,no,no,cellular,apr,mon,0<x<1229,x<1,x>749,0<x<1,failure,-1.8,93.075,-47.1,0.634<x<1.634,5099.1,no
17<x<37,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,0<x<1229,1<x<14,x>749,0<x<1,failure,-1.8,93.075,-47.1,0.634<x<1.634,5099.1,no
x>77,blue-collar,married,high.school,no,no,no,cellular,apr,fri,0<x<1229,1<x<14,x>749,1<x<3,failure,-1.8,93.075,-47.1,0.634<x<1.634,5099.1,no
17<x<37,student,single,basic.9y,no,no,yes,cellular,may,wed,0<x<1229,x<1,x>749,x<0,nonexistent,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
17<x<37,admin.,single,university.degree,no,yes,no,cellular,may,wed,0<x<1229,x<1,x>749,x<0,nonexistent,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,yes
37<x<57,blue-collar,married,basic.4y,no,no,no,cellular,nov,thu,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42,x>3.634,5195.8,no
57<x<77,retired,married,basic.9y,no,no,no,cellular,aug,fri,0<x<1229,1<x<14,x>749,x<0,nonexistent,-2.9,92.201,-31.4,0.634<x<1.634,5076.2,no
17<x<37,admin.,single,university.degree,no,yes,no,cellular,aug,fri,0<x<1229,1<x<14,x>749,x<0,nonexistent,-1.7,94.027,-38.3,0.634<x<1.634,4991.6,yes
17<x<37,student,single,high.school,no,yes,no,cellular,jul,mon,0<x<1229,1<x<14,0<x<249,0<x<1,success,-1.7,94.215,-40.3,0.634<x<1.634,4991.6,yes
37<x<57,entrepreneur,married,basic.4y,no,no,no,cellular,apr,mon,0<x<1229,x<1,x>749,x<0,nonexistent,-1.8,93.075,-47.1,0.634<x<1.634,5099.1,no
57<x<77,retired,married,basic.4y,no,no,yes,cellular,apr,wed,0<x<1229,1<x<14,x>749,0<x<1,failure,-1.8,93.075,-47.1,0.634<x<1.634,5099.1,yes
17<x<37,admin.,single,university.degree,no,no,no,telephone,may,thu,0<x<1229,1<x<14,x>749,x<0,nonexistent,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
17<x<37,admin.,single,high.school,no,yes,no,cellular,may,wed,0<x<1229,x<1,x>749,0<x<1,failure,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
17<x<37,student,single,high.school,no,yes,no,cellular,aug,thu,0<x<1229,1<x<14,x>749,x<0,nonexistent,-2.9,92.201,-31.4,0.634<x<1.634,5076.2,yes
17<x<37,technician,married,professional.course,no,no,no,cellular,may,fri,0<x<1229,1<x<14,x>749,0<x<1,failure,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
17<x<37,admin.,married,high.school,no,no,yes,cellular,sep,wed,0<x<1229,1<x<14,x>749,x<0,nonexistent,-1.1,94.199,-37.5,0.634<x<1.634,4963.6,no
17<x<37,admin.,married,high.school,no,yes,yes,cellular,may,thu,0<x<1229,x<1,x>749,x<0,nonexistent,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
37<x<57,management,married,university.degree,no,yes,no,cellular,nov,thu,0<x<1229,1<x<14,x>749,x<0,nonexistent,-0.1,93.2,-42,x>3.634,5195.8,no
37<x<57,management,divorced,university.degree,no,yes,no,cellular,may,thu,0<x<1229,x<1,x>749,0<x<1,failure,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
17<x<37,admin.,single,basic.9y,no,no,no,cellular,nov,thu,0<x<1229,1<x<14,x>749,0<x<1,failure,-0.1,93.2,-42,x>3.634,5195.8,no
17<x<37,admin.,single,university.degree,no,no,no,cellular,may,wed,0<x<1229,1<x<14,x>749,x<0,nonexistent,-1.8,92.893,-46.2,0.634<x<1.634,5099.1,no
37<x<57,admin.,single,high.school,no,no,no,cellular,apr,fri,0<x<1229,1<x<14,x>749,x<0,nonexistent,-1.8,93.075,-47.1,0.634<x<1.634,5099.1,no
