marriage,gender,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
single,M,<0,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,4,real estate,x>61,none,own,2,skilled,1,yes,yes,good
div/dep/mar,F,0<=X<200,38<x<55,existing paid,radio/tv,4793<x<9337,<100,1<=X<4,2,none,2,real estate,19<x<33,none,own,1,skilled,1,none,yes,bad
single,M,no checking,4<x<21,critical/other existing credit,education,250<x<4793,<100,4<=X<7,2,none,3,real estate,47<x<61,none,own,1,unskilled resident,2,none,yes,good
single,M,<0,38<x<55,existing paid,furniture/equipment,4793<x<9337,<100,4<=X<7,2,guarantor,4,life insurance,33<x<47,none,for free,1,skilled,2,none,yes,good
single,M,<0,21<x<38,delayed previously,new car,4793<x<9337,<100,1<=X<4,3,none,4,no known property,47<x<61,none,for free,2,skilled,2,none,yes,bad
single,M,no checking,21<x<38,existing paid,education,4793<x<9337,no known savings,1<=X<4,2,none,4,no known property,33<x<47,none,for free,1,unskilled resident,2,yes,yes,good
single,M,no checking,21<x<38,existing paid,furniture/equipment,250<x<4793,500<=X<1000,>=7,3,none,4,life insurance,47<x<61,none,own,1,skilled,1,none,yes,good
single,M,0<=X<200,21<x<38,existing paid,used car,4793<x<9337,<100,1<=X<4,2,none,2,car,33<x<47,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
div/sep,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,>=1000,4<=X<7,2,none,4,real estate,47<x<61,none,own,1,unskilled resident,1,none,yes,good
mar/wid,M,0<=X<200,21<x<38,critical/other existing credit,new car,4793<x<9337,<100,unemployed,4,none,2,car,19<x<33,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
div/dep/mar,F,0<=X<200,4<x<21,existing paid,new car,250<x<4793,<100,<1,3,none,1,car,19<x<33,none,rent,1,skilled,1,none,yes,bad
div/dep/mar,F,<0,38<x<55,existing paid,business,250<x<4793,<100,<1,3,none,4,life insurance,19<x<33,none,rent,1,skilled,1,none,yes,bad
div/dep/mar,F,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,1,none,1,car,19<x<33,none,own,1,skilled,1,yes,yes,good
single,M,<0,21<x<38,critical/other existing credit,new car,250<x<4793,<100,>=7,4,none,4,car,47<x<61,none,own,2,unskilled resident,1,none,yes,bad
div/dep/mar,F,<0,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,2,none,4,car,19<x<33,none,rent,1,skilled,1,none,yes,good
div/dep/mar,F,<0,21<x<38,existing paid,radio/tv,250<x<4793,100<=X<500,1<=X<4,4,none,2,car,19<x<33,none,own,1,unskilled resident,1,none,yes,bad
single,M,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,4,life insurance,47<x<61,none,own,2,skilled,1,none,yes,good
single,M,<0,21<x<38,no credits/all paid,business,4793<x<9337,no known savings,<1,2,none,3,car,19<x<33,bank,own,3,skilled,1,none,yes,good
div/dep/mar,F,0<=X<200,21<x<38,existing paid,used car,9337<x<13880,<100,>=7,4,none,2,no known property,33<x<47,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,no checking,21<x<38,existing paid,radio/tv,250<x<4793,500<=X<1000,>=7,3,none,2,car,19<x<33,none,own,1,skilled,2,yes,yes,good
single,M,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,4,none,4,car,47<x<61,none,own,3,skilled,1,yes,yes,good
