age,workcla,fnlwgt,education,education_num,relationship,race,sex,hours_per_week,native_country,class
17<x<35, State-gov,21174<x<274186, 11th,4<x<8, Own-child, White, Female,1<x<25, United-States,LOW
17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Not-in-family, White, Female,25<x<50, United-States,LOW
17<x<35, Private,21174<x<274186, Assoc-acdm,8<x<12, Not-in-family, White, Female,50<x<74, United-States,LOW
53<x<71, State-gov,21174<x<274186, HS-grad,8<x<12, Husband, White, Male,25<x<50, United-States,LOW
35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Husband, White, Male,25<x<50, United-States,LOW
35<x<53, Private,21174<x<274186, Doctorate,x>12, Husband, White, Male,50<x<74, United-States,HIGH
35<x<53, Private,21174<x<274186, Some-college,8<x<12, Husband, White, Male,25<x<50, United-States,LOW
17<x<35, Private,274186<x<527198, Some-college,8<x<12, Wife, Asian-Pac-Islander, Female,25<x<50, Laos,LOW
53<x<71, Private,21174<x<274186, HS-grad,8<x<12, Not-in-family, White, Male,1<x<25, United-States,LOW
35<x<53, Private,21174<x<274186, Masters,x>12, Not-in-family, White, Female,1<x<25, United-States,LOW
35<x<53, Self-emp-not-inc,274186<x<527198, Doctorate,x>12, Husband, White, Male,50<x<74, United-States,HIGH
35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, Poland,LOW
53<x<71, Self-emp-inc,21174<x<274186, Bachelors,x>12, Not-in-family, White, Male,x>74, United-States,LOW
53<x<71, Self-emp-not-inc,21174<x<274186, Some-college,8<x<12, Husband, White, Male,25<x<50, United-States,LOW
17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Own-child, White, Female,1<x<25, United-States,LOW
53<x<71, Private,274186<x<527198, HS-grad,8<x<12, Husband, White, Male,25<x<50, United-States,HIGH
17<x<35, Self-emp-not-inc,21174<x<274186, HS-grad,8<x<12, Own-child, White, Male,25<x<50, United-States,LOW
x<17, Private,21174<x<274186, 11th,4<x<8, Own-child, White, Male,1<x<25, United-States,LOW
17<x<35, State-gov,21174<x<274186, Bachelors,x>12, Husband, Asian-Pac-Islander, Male,25<x<50, India,HIGH
17<x<35, Private,21174<x<274186, Assoc-voc,8<x<12, Husband, White, Male,25<x<50, Puerto-Rico,LOW
35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Not-in-family, White, Female,25<x<50, United-States,LOW
35<x<53, Private,21174<x<274186, 12th,4<x<8, Husband, White, Male,25<x<50, United-States,LOW
17<x<35, Private,21174<x<274186, Assoc-voc,8<x<12, Not-in-family, White, Female,25<x<50, United-States,LOW
35<x<53, Self-emp-not-inc,21174<x<274186, Bachelors,x>12, Husband, Asian-Pac-Islander, Male,25<x<50, China,HIGH
17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Husband, White, Male,25<x<50, United-States,LOW
17<x<35, State-gov,274186<x<527198, Bachelors,x>12, Husband, White, Male,25<x<50, United-States,HIGH
17<x<35, Private,274186<x<527198, Masters,x>12, Not-in-family, White, Female,25<x<50, United-States,LOW
17<x<35, State-gov,21174<x<274186, Bachelors,x>12, Wife, White, Female,25<x<50, United-States,HIGH
