RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,class
0.766126609,45,2,0.802982129,9120,13,0,6,0,2,YES
0.957151019,40,0,0.121876201,2600,4,0,0,0,1,NO
0.65818014,38,1,0.085113375,3042,2,1,0,0,0,NO
0.233809776,30,0,0.036049682,3300,5,0,0,0,0,NO
0.9072394,49,1,0.024925695,63588,7,0,1,0,0,NO
0.213178682,74,0,0.375606969,3500,3,0,1,0,1,NO
0.754463648,39,0,0.209940017,3500,8,0,0,0,0,NO
0.189169052,57,0,0.606290901,23684,9,0,4,0,2,NO
0.644225962,30,0,0.30947621,2500,5,0,0,0,0,NO
0.01879812,51,0,0.53152876,6501,7,0,2,0,2,NO
0.010351857,46,0,0.298354075,12454,13,0,2,0,2,NO
0.964672555,40,3,0.382964747,13700,9,3,1,1,2,YES
0.019656581,76,0,477,0,6,0,1,0,0,NO
0.548458062,64,0,0.209891754,11362,7,0,1,0,2,NO
0.166284079,53,0,0.18827406,8800,7,0,0,0,0,NO
0.221812771,43,0,0.527887839,3280,7,0,1,0,2,NO
0.602794411,25,0,0.065868263,333,2,0,0,0,0,NO
0.200923382,43,0,0.430046338,12300,10,0,2,0,0,NO
0.025655677,38,0,0.475841386,3000,7,0,1,0,2,YES
0.9999999,39,0,0.241103559,2500,4,0,0,0,0,NO
0.075426584,32,0,0.085512189,7916,6,0,0,0,0,NO
0.04656027,58,0,0.241621845,2416,9,0,1,0,0,NO
0.392248482,50,0,1.595253368,4676,14,0,3,0,1,YES
0.052436094,58,0,0.097672186,8333,22,0,1,0,0,NO
0.034421473,69,0,0.042383047,2500,17,0,0,0,1,NO
0.452515828,24,0,0.011761247,3400,1,0,0,0,0,NO
0.392994586,58,2,0.436102527,5500,15,0,1,0,0,NO
0.704073982,28,1,0.155201143,4200,8,0,0,0,0,NO
0.9999999,24,0,0.472703063,750,1,0,0,0,0,NO
0.186868556,57,0,0.313812313,7000,9,0,2,0,0,NO
0.693329681,42,2,0.257731959,2230,7,0,0,0,0,NO
0,64,0,0.073538769,11000,9,0,1,0,0,NO
