age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,class
37<x<57,admin.,single,high.school,no,yes,no,telephone,nov,thu,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,yes
17<x<37,admin.,married,high.school,no,yes,no,telephone,nov,thu,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
17<x<37,technician,married,university.degree,no,yes,no,cellular,nov,thu,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,yes
17<x<37,admin.,married,university.degree,no,no,no,telephone,nov,thu,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
17<x<37,blue-collar,married,basic.9y,no,yes,no,telephone,nov,fri,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,yes
17<x<37,admin.,married,basic.9y,no,yes,no,telephone,nov,fri,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,yes
37<x<57,retired,married,high.school,no,yes,no,cellular,nov,fri,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
17<x<37,admin.,single,university.degree,no,no,no,telephone,nov,mon,1229<x<2459,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
17<x<37,technician,single,professional.course,no,yes,no,telephone,nov,mon,x>3688,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
17<x<37,student,single,university.degree,no,yes,no,telephone,nov,mon,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
17<x<37,management,single,university.degree,no,no,yes,telephone,nov,mon,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
37<x<57,technician,married,professional.course,no,no,no,telephone,nov,mon,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
57<x<77,retired,divorced,basic.9y,no,yes,no,telephone,nov,mon,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,yes
37<x<57,management,divorced,university.degree,no,no,no,telephone,nov,tue,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
37<x<57,services,married,basic.6y,no,no,no,telephone,nov,tue,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
37<x<57,admin.,divorced,university.degree,no,no,no,telephone,nov,tue,0<x<1229,x<1,x>749,x<0,nonexistent,-0.1,93.2,-42.0,x>3.634,5195.8,no
