,Unnamed: 0,age,workclass,fnlwgt,education,education_num,marital-status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
0,x=0,35<x<53, State-gov,21174<x<274186, Bachelors,x>12, Never-married, Adm-clerical, Not-in-family, White, Male,0<x<6309,x=0,25<x<50, United-States,LOW
1,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Exec-managerial, Husband, White, Male,x=0,x=0,1<x<25, United-States,LOW
2,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Divorced, Handlers-cleaners, Not-in-family, White, Male,x=0,x=0,25<x<50, United-States,LOW
3,0<x<282,35<x<53, Private,21174<x<274186, 11th,4<x<8, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,x=0,x=0,25<x<50, United-States,LOW
4,0<x<282,17<x<35, Private,274186<x<527198, Bachelors,x>12, Married-civ-spouse, Prof-specialty, Wife, Black, Female,x=0,x=0,25<x<50, Cuba,LOW
5,0<x<282,35<x<53, Private,274186<x<527198, Masters,x>12, Married-civ-spouse, Exec-managerial, Wife, White, Female,x=0,x=0,25<x<50, United-States,LOW
6,0<x<282,35<x<53, Private,21174<x<274186, 9th,4<x<8, Married-spouse-absent, Other-service, Not-in-family, Black, Female,x=0,x=0,1<x<25, Jamaica,LOW
7,0<x<282,35<x<53, Self-emp-not-inc,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Exec-managerial, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
8,0<x<282,17<x<35, Private,21174<x<274186, Masters,x>12, Never-married, Prof-specialty, Not-in-family, White, Female,12618<x<18927,x=0,25<x<50, United-States,HIGH
9,0<x<282,35<x<53, Private,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0<x<6309,x=0,25<x<50, United-States,HIGH
10,0<x<282,35<x<53, Private,274186<x<527198, Some-college,8<x<12, Married-civ-spouse, Exec-managerial, Husband, Black, Male,x=0,x=0,x>74, United-States,HIGH
11,0<x<282,17<x<35, State-gov,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,x=0,x=0,25<x<50, India,HIGH
12,0<x<282,17<x<35, Private,21174<x<274186, Bachelors,x>12, Never-married, Adm-clerical, Own-child, White, Female,x=0,x=0,25<x<50, United-States,LOW
13,0<x<282,17<x<35, Private,21174<x<274186, Assoc-acdm,8<x<12, Never-married, Sales, Not-in-family, Black, Male,x=0,x=0,25<x<50, United-States,LOW
14,0<x<282,17<x<35, Private,21174<x<274186, 7th-8th,1<x<4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,x=0,x=0,25<x<50, Mexico,LOW
15,0<x<282,17<x<35, Self-emp-not-inc,21174<x<274186, HS-grad,8<x<12, Never-married, Farming-fishing, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
16,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Machine-op-inspct, Unmarried, White, Male,x=0,x=0,25<x<50, United-States,LOW
17,0<x<282,35<x<53, Private,21174<x<274186, 11th,4<x<8, Married-civ-spouse, Sales, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
18,0<x<282,35<x<53, Self-emp-not-inc,274186<x<527198, Masters,x>12, Divorced, Exec-managerial, Unmarried, White, Female,x=0,x=0,25<x<50, United-States,HIGH
19,0<x<282,35<x<53, Private,21174<x<274186, Doctorate,x>12, Married-civ-spouse, Prof-specialty, Husband, White, Male,x=0,x=0,50<x<74, United-States,HIGH
20,0<x<282,53<x<71, Private,274186<x<527198, HS-grad,8<x<12, Separated, Other-service, Unmarried, Black, Female,x=0,x=0,1<x<25, United-States,LOW
21,0<x<282,17<x<35, Federal-gov,21174<x<274186, 9th,4<x<8, Married-civ-spouse, Farming-fishing, Husband, Black, Male,x=0,x=0,25<x<50, United-States,LOW
22,0<x<282,35<x<53, Private,21174<x<274186, 11th,4<x<8, Married-civ-spouse, Transport-moving, Husband, White, Male,x=0,x>1811,25<x<50, United-States,LOW
23,0<x<282,53<x<71, Private,21174<x<274186, HS-grad,8<x<12, Divorced, Tech-support, Unmarried, White, Female,x=0,x=0,25<x<50, United-States,LOW
24,0<x<282,53<x<71, Local-gov,21174<x<274186, Bachelors,x>12, Married-civ-spouse, Tech-support, Husband, White, Male,x=0,x=0,25<x<50, United-States,HIGH
25,0<x<282,17<x<35, Private,21174<x<274186, HS-grad,8<x<12, Never-married, Craft-repair, Own-child, White, Male,x=0,x=0,25<x<50, United-States,LOW
26,0<x<282,35<x<53, Private,274186<x<527198, HS-grad,8<x<12, Divorced, Exec-managerial, Not-in-family, White, Male,x=0,x=0,x>74, United-States,LOW
27,0<x<282,35<x<53, Private,21174<x<274186, HS-grad,8<x<12, Married-civ-spouse, Craft-repair, Husband, White, Male,x=0,x=0,25<x<50, United-States,LOW
28,0<x<282,17<x<35, Local-gov,21174<x<274186, Assoc-acdm,8<x<12, Never-married, Protective-serv, Not-in-family, White, Male,x=0,x=0,50<x<74, United-States,LOW
29,0<x<282,17<x<35, Private,21174<x<274186, Some-college,8<x<12, Never-married, Sales, Own-child, Black, Male,x=0,x=0,25<x<50, United-States,LOW
30,0<x<282,35<x<53, Private,274186<x<527198, Bachelors,x>12, Divorced, Exec-managerial, Own-child, White, Male,x=0,1207<x<1811,25<x<50, United-States,LOW
