,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,class
0,0.7661266090000001,45,2,0.8029821290000001,9120,13,0,6,0,2,YES
1,0.9571510190000001,40,0,0.12187620099999999,2600,4,0,0,0,1,NO
2,0.65818014,38,1,0.085113375,3042,2,1,0,0,0,NO
3,0.23380977600000002,30,0,0.036049682,3300,5,0,0,0,0,NO
4,0.9072394,49,1,0.024925695,63588,7,0,1,0,0,NO
5,0.21317868199999998,74,0,0.375606969,3500,3,0,1,0,1,NO
6,0.754463648,39,0,0.20994001699999998,3500,8,0,0,0,0,NO
7,0.189169052,57,0,0.606290901,23684,9,0,4,0,2,NO
8,0.644225962,30,0,0.30947621,2500,5,0,0,0,0,NO
9,0.01879812,51,0,0.53152876,6501,7,0,2,0,2,NO
10,0.010351856999999999,46,0,0.298354075,12454,13,0,2,0,2,NO
11,0.964672555,40,3,0.38296474700000005,13700,9,3,1,1,2,YES
12,0.019656581,76,0,477.0,0,6,0,1,0,0,NO
13,0.548458062,64,0,0.20989175399999999,11362,7,0,1,0,2,NO
14,0.166284079,53,0,0.18827406,8800,7,0,0,0,0,NO
15,0.22181277100000002,43,0,0.527887839,3280,7,0,1,0,2,NO
16,0.602794411,25,0,0.065868263,333,2,0,0,0,0,NO
17,0.20092338199999998,43,0,0.430046338,12300,10,0,2,0,0,NO
18,0.025655677,38,0,0.47584138600000003,3000,7,0,1,0,2,YES
19,0.9999998999999999,39,0,0.241103559,2500,4,0,0,0,0,NO
20,0.075426584,32,0,0.085512189,7916,6,0,0,0,0,NO
21,0.04656027,58,0,0.241621845,2416,9,0,1,0,0,NO
22,0.392248482,50,0,1.595253368,4676,14,0,3,0,1,YES
23,0.052436094,58,0,0.097672186,8333,22,0,1,0,0,NO
24,0.034421473,69,0,0.042383047,2500,17,0,0,0,1,NO
25,0.45251582799999995,24,0,0.011761246999999999,3400,1,0,0,0,0,NO
26,0.39299458600000003,58,2,0.436102527,5500,15,0,1,0,0,NO
27,0.704073982,28,1,0.155201143,4200,8,0,0,0,0,NO
28,0.9999998999999999,24,0,0.472703063,750,1,0,0,0,0,NO
29,0.18686855600000002,57,0,0.313812313,7000,9,0,2,0,0,NO
30,0.6933296809999999,42,2,0.257731959,2230,7,0,0,0,0,NO
31,0.0,64,0,0.073538769,11000,9,0,1,0,0,NO
32,0.881836362,50,3,0.567858035,4000,9,0,1,0,1,NO
33,0.9999998999999999,75,1,0.134078212,3400,1,0,1,0,1,NO
34,0.363636364,26,0,0.00999001,1000,1,0,0,0,0,NO
35,0.304490668,52,0,0.8083404740000001,3500,10,0,2,0,0,NO
36,0.71998531,41,1,0.539554464,5700,14,0,1,0,0,NO
37,0.46905684200000003,31,0,0.048211004,9250,4,0,0,0,1,NO
38,0.718705378,28,0,0.17012561399999998,3661,4,0,0,0,1,NO
39,0.368875933,68,0,1687.5,1,31,0,1,0,0,NO
40,0.000602723,70,0,0.177787036,16800,12,0,1,0,2,NO
41,0.061440132,62,0,0.011167837,3133,2,0,0,0,0,NO
42,0.140110634,31,0,0.689370485,1937,4,0,2,0,0,NO
43,0.834048027,38,0,0.393662026,13000,13,0,2,0,2,NO
44,7.96e-05,70,0,0.256339661,6900,21,1,1,0,0,NO
45,0.818977517,73,0,3095.0,0,9,0,1,1,0,NO
46,0.728150491,31,0,0.824725092,3000,10,0,2,0,1,YES
47,0.028562367,51,0,0.306381499,5750,5,0,1,0,0,NO
48,0.9920159679999999,29,0,0.008064515999999999,2231,1,0,0,0,0,NO
49,0.070853769,55,0,0.073147745,13793,4,0,1,0,0,NO
50,0.454971915,46,1,0.016921775,13000,10,0,0,0,1,NO
51,0.401199782,64,0,0.35125893700000005,3216,4,0,1,0,0,NO
52,0.655569945,35,0,0.261609907,5813,10,0,0,0,2,NO
53,0.651603452,58,0,0.241135663,7783,11,0,1,0,0,NO
54,0.027399502000000003,69,0,0.00803428,5600,3,0,0,0,0,NO
55,0.009788861999999999,46,0,1.051397656,3326,6,0,2,0,2,NO
56,0.337520702,60,0,0.549877805,4500,10,0,2,0,0,NO
57,0.0,67,0,0.540983607,3720,2,0,1,0,0,NO
58,0.750873672,55,2,0.316416365,7723,17,0,1,0,1,NO
59,0.006799093000000001,27,1,0.6810457520000001,764,3,0,0,0,0,NO
60,0.0042640790000000005,31,0,0.11144427800000001,2000,6,1,0,0,2,NO
61,0.26948375,64,0,0.16106176,9455,13,0,1,0,3,NO
62,0.265898391,36,0,0.262611807,8384,6,0,2,0,1,NO
63,0.827708197,56,0,0.369590815,6793,15,1,1,0,0,NO
64,0.059668871,31,0,3162.0,0,11,0,2,0,1,NO
65,0.13306279,49,1,0.182881653,10257,9,0,2,0,3,YES
66,0.234218112,36,0,0.116614347,8600,19,0,0,0,3,NO
67,0.12229593300000001,29,0,0.694646949,4800,5,0,1,0,0,NO
68,0.46037631700000003,37,0,0.074155949,4975,6,0,0,0,0,NO
69,0.335558577,69,0,0.270448637,15000,14,0,2,0,1,NO
70,0.270522569,41,0,2.797698945,1042,11,0,2,0,2,NO
71,0.183316667,52,0,0.11113162300000001,10833,14,0,2,0,1,NO
72,0.074861676,66,0,0.208842479,4500,3,0,1,0,0,NO
73,0.017258976999999998,53,0,2.604510673,12414,13,0,1,0,2,NO
74,0.054497069,56,0,0.492021814,4950,18,0,2,0,0,NO
75,0.029164236,31,0,0.395031809,3300,10,0,1,0,0,NO
76,0.0,58,0,0.31614487399999996,4886,9,0,1,0,1,NO
77,0.0037496879999999997,64,0,0.004061230999999999,3200,5,0,0,1,0,NO
78,0.734477501,45,0,0.591477634,4716,13,0,2,0,2,YES
