id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,age,duration,campaign,pdays,previous,euribor3m,class
0,management,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,1<x<3,x>3.634,no
1,services,divorced,basic.9y,no,no,no,telephone,nov,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,x<0,1.634<x<2.634,no
2,self-employed,married,basic.9y,no,yes,no,telephone,oct,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x>749,1<x<3,1.634<x<2.634,no
3,technician,divorced,high.school,no,yes,yes,cellular,mar,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,x<0,0.634<x<1.634,no
4,technician,divorced,basic.4y,no,no,yes,cellular,dec,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,0<x<249,x<0,0.634<x<1.634,no
5,self-employed,divorced,basic.4y,no,yes,yes,telephone,apr,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,x<0,1.634<x<2.634,no
6,self-employed,divorced,university.degree,no,yes,yes,telephone,jun,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,0<x<249,1<x<3,0.634<x<1.634,no
7,retired,divorced,basic.4y,no,no,no,cellular,dec,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,1<x<3,1.634<x<2.634,yes
8,student,divorced,illiterate,no,no,no,cellular,may,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,1<x<3,0.634<x<1.634,no
9,technician,single,high.school,no,no,yes,cellular,may,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x<0,x<0,x>3.634,no
10,student,divorced,high.school,no,no,yes,cellular,nov,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,1<x<3,x>3.634,no
11,technician,divorced,basic.9y,no,yes,no,cellular,may,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x>749,x<0,1.634<x<2.634,no
12,technician,single,university.degree,no,yes,no,telephone,may,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x>749,0<x<1,1.634<x<2.634,no
13,self-employed,divorced,professional.course,no,no,no,telephone,oct,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,x<0,0.634<x<1.634,no
14,self-employed,divorced,high.school,no,yes,no,cellular,may,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x>749,1<x<3,0.634<x<1.634,no
15,management,married,basic.6y,no,yes,no,telephone,aug,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x<0,3<x<5,0.634<x<1.634,yes
16,management,married,basic.6y,no,yes,no,cellular,nov,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,x<0,1<x<3,x>3.634,no
17,self-employed,divorced,basic.6y,no,no,no,cellular,apr,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,0<x<1,0.634<x<1.634,no
18,blue-collar,divorced,professional.course,no,no,yes,cellular,sep,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x>749,0<x<1,1.634<x<2.634,no
19,student,married,professional.course,no,no,no,cellular,mar,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,0<x<1,1.634<x<2.634,no
20,technician,divorced,university.degree,no,no,yes,telephone,jul,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x>749,0<x<1,0.634<x<1.634,no
21,unemployed,divorced,basic.9y,no,no,no,telephone,apr,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,3<x<5,0.634<x<1.634,no
22,entrepreneur,single,professional.course,no,yes,yes,telephone,mar,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x>749,x<0,1.634<x<2.634,no
23,blue-collar,single,university.degree,no,no,no,telephone,jun,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x>749,3<x<5,1.634<x<2.634,no
24,entrepreneur,single,basic.6y,no,no,yes,telephone,jul,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x<0,x<0,x>3.634,no
25,unemployed,single,illiterate,no,yes,yes,telephone,nov,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,3<x<5,1.634<x<2.634,no
26,entrepreneur,married,basic.9y,no,no,no,cellular,nov,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,0<x<1,x>3.634,no
27,entrepreneur,single,basic.6y,no,no,no,telephone,sep,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,1<x<3,0.634<x<1.634,no
28,housemaid,single,basic.9y,no,no,yes,cellular,apr,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x<0,x<0,x>3.634,no
29,entrepreneur,single,professional.course,no,no,no,cellular,mar,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
30,housemaid,married,professional.course,no,yes,no,telephone,sep,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,0<x<1,1.634<x<2.634,no
31,housemaid,married,basic.6y,no,yes,no,telephone,jul,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x<0,0<x<1,x>3.634,no
32,technician,divorced,basic.4y,no,no,yes,cellular,may,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,0<x<1,0.634<x<1.634,no
33,retired,married,basic.4y,no,no,yes,telephone,aug,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,3<x<5,1.634<x<2.634,yes
34,housemaid,single,illiterate,no,no,yes,cellular,jul,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x<0,3<x<5,1.634<x<2.634,no
35,admin.,married,basic.6y,no,yes,yes,telephone,dec,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,0<x<249,x<0,1.634<x<2.634,no
36,services,divorced,basic.6y,no,no,yes,cellular,nov,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x>749,0<x<1,1.634<x<2.634,no
37,blue-collar,married,basic.6y,no,yes,no,telephone,jun,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x<0,0<x<1,1.634<x<2.634,no
38,entrepreneur,divorced,basic.9y,no,no,no,cellular,may,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x>749,x<0,x>3.634,no
39,unemployed,divorced,high.school,no,yes,yes,telephone,jul,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x<0,0<x<1,0.634<x<1.634,no
40,admin.,divorced,basic.6y,no,no,yes,cellular,jun,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
41,management,married,basic.6y,no,yes,yes,telephone,sep,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,0<x<1,0.634<x<1.634,no
42,student,divorced,basic.9y,no,yes,yes,telephone,nov,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
43,technician,married,high.school,no,no,no,telephone,apr,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,1<x<3,1.634<x<2.634,no
44,student,single,university.degree,no,no,yes,cellular,dec,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x<0,3<x<5,x>3.634,no
45,unemployed,divorced,high.school,no,yes,yes,telephone,may,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x>749,x<0,1.634<x<2.634,no
46,management,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,0<x<249,1<x<3,x>3.634,no
47,management,divorced,basic.6y,no,yes,no,telephone,dec,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
48,management,divorced,basic.9y,no,yes,no,cellular,sep,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,3<x<5,0.634<x<1.634,no
49,technician,divorced,illiterate,no,no,yes,cellular,sep,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x<0,1<x<3,0.634<x<1.634,yes
50,self-employed,single,basic.9y,no,yes,yes,telephone,aug,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,x<0,1.634<x<2.634,no
51,technician,divorced,basic.9y,no,yes,yes,cellular,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,3<x<5,0.634<x<1.634,yes
52,entrepreneur,single,basic.9y,no,no,yes,cellular,aug,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,3<x<5,1.634<x<2.634,no
53,admin.,single,university.degree,no,no,yes,cellular,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x<0,1<x<3,1.634<x<2.634,no
