id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,age,duration,campaign,pdays,previous,euribor3m,class
0,student,single,basic.6y,no,no,no,telephone,jun,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,x>749,3<x<5,0.634<x<1.634,yes
1,admin.,married,university.degree,no,no,no,cellular,dec,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,x<0,0.634<x<1.634,no
2,self-employed,divorced,basic.4y,no,no,yes,cellular,apr,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x>749,0<x<1,0.634<x<1.634,no
3,unemployed,married,basic.9y,no,no,yes,cellular,nov,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,3<x<5,1.634<x<2.634,yes
4,retired,married,high.school,no,yes,yes,cellular,aug,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x<0,0<x<1,x>3.634,no
5,unemployed,married,high.school,no,yes,no,telephone,jun,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,1<x<3,0.634<x<1.634,yes
6,entrepreneur,divorced,basic.4y,no,no,yes,cellular,jun,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,x<0,1<x<3,1.634<x<2.634,yes
7,technician,divorced,professional.course,no,yes,yes,cellular,nov,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,0.634<x<1.634,yes
8,housemaid,divorced,basic.4y,no,no,no,cellular,oct,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x>749,x<0,x>3.634,no
9,retired,divorced,basic.4y,no,yes,yes,cellular,sep,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,0<x<249,3<x<5,1.634<x<2.634,yes
10,entrepreneur,single,basic.9y,no,no,yes,cellular,jun,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,0<x<1,1.634<x<2.634,yes
11,self-employed,divorced,basic.6y,no,no,yes,telephone,mar,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,0<x<249,0<x<1,1.634<x<2.634,yes
