,antecedent,pd,cls,conf_pd,conf_pnd,risk_dif,elift,sup_pd,sup_pnd
655,"['relationship= Husband', 'workcla= Private']",sex= Female,class=1,0.5384615384615384,0.76,-0.22153846153846157,0.7085020242914979,7.0,19.0
294,"['race= White', 'age=x>71']",sex= Female,class=1,0.7142857142857143,0.9166666666666666,-0.20238095238095233,0.7792207792207793,5.0,22.0
1087,"['race= White', 'hours_per_week=50<x<74']",sex= Female,class=1,0.625,0.8181818181818182,-0.19318181818181823,0.7638888888888888,10.0,27.0
15,"['age=35<x<53', 'education_num=x>12', 'race= White']",sex= Female,class=1,0.625,0.8125,-0.1875,0.7692307692307693,5.0,13.0
698,"['race= White', 'workcla= Private']",sex= Female,class=1,0.6428571428571429,0.8064516129032258,-0.16359447004608285,0.7971428571428573,9.0,25.0
1872,"['age=35<x<53', 'education= 1st_4th']",sex= Female,class=1,0.75,0.8947368421052632,-0.14473684210526316,0.8382352941176471,6.0,17.0
1599,"['education_num=x>12', 'workcla= Self_emp_inc']",sex= Female,class=1,0.5714285714285714,0.7142857142857143,-0.1428571428571429,0.7999999999999999,8.0,25.0
1898,"['race= White', 'education= 1st_4th']",sex= Female,class=1,0.7142857142857143,0.8571428571428571,-0.1428571428571428,0.8333333333333334,5.0,12.0
1719,"['age=35<x<53', 'education_num=4<x<8', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.7142857142857143,0.8571428571428571,-0.1428571428571428,0.8333333333333334,5.0,12.0
14,"['education_num=x>12', 'race= White']",sex= Female,class=1,0.5238095238095238,0.6585365853658537,-0.13472706155632985,0.7954144620811288,11.0,27.0
1624,"['age=17<x<35', 'hours_per_week=50<x<74', 'workcla= Self_emp_inc']",sex= Female,class=1,0.7142857142857143,0.8461538461538461,-0.13186813186813184,0.8441558441558442,5.0,11.0
1648,"['race= Amer_Indian_Eskimo', 'workcla= Self_emp_inc']",sex= Female,class=1,0.8,0.9310344827586207,-0.13103448275862062,0.8592592592592593,8.0,27.0
405,"['workcla= Self_emp_inc', 'education= Doctorate']",sex= Female,class=1,0.75,0.875,-0.125,0.8571428571428571,6.0,14.0
653,"['hours_per_week=50<x<74', 'workcla= Private']",sex= Female,class=1,0.7692307692307693,0.8888888888888888,-0.11965811965811957,0.8653846153846155,10.0,24.0
1061,"['age=17<x<35', 'education_num=x>12', 'hours_per_week=50<x<74']",sex= Female,class=1,0.7142857142857143,0.8333333333333334,-0.11904761904761907,0.8571428571428571,5.0,10.0
938,"['hours_per_week=25<x<50', 'age=17<x<35', 'education_num=x>12']",sex= Female,class=1,0.6666666666666666,0.782608695652174,-0.11594202898550732,0.8518518518518517,6.0,18.0
739,"['hours_per_week=1<x<25', 'education_num=4<x<8', 'relationship= Wife']",sex= Female,class=1,0.8333333333333334,0.9444444444444444,-0.11111111111111105,0.8823529411764707,5.0,17.0
1892,"['hours_per_week=50<x<74', 'education= 1st_4th']",sex= Female,class=1,0.7142857142857143,0.8235294117647058,-0.10924369747899154,0.8673469387755103,5.0,14.0
1655,"['hours_per_week=25<x<50', 'education= 9th']",sex= Female,class=1,0.7777777777777778,0.8823529411764706,-0.10457516339869277,0.8814814814814815,7.0,15.0
1110,"['education_num=4<x<8', 'workcla= State_gov', 'hours_per_week=50<x<74']",sex= Female,class=1,0.8333333333333334,0.9375,-0.10416666666666663,0.888888888888889,5.0,15.0
2025,"['age=35<x<53', 'native_country= Laos']",sex= Female,class=1,0.7142857142857143,0.8181818181818182,-0.10389610389610393,0.873015873015873,5.0,9.0
648,"['age=53<x<71', 'education_num=8<x<12', 'workcla= Private']",sex= Female,class=1,0.8333333333333334,0.9333333333333333,-0.09999999999999998,0.8928571428571429,5.0,14.0
737,"['hours_per_week=1<x<25', 'age=35<x<53', 'relationship= Wife']",sex= Female,class=1,0.8,0.9,-0.09999999999999998,0.888888888888889,8.0,18.0
1283,"['relationship= Husband', 'education= 7th_8th']",sex= Female,class=1,0.8333333333333334,0.9333333333333333,-0.09999999999999998,0.8928571428571429,5.0,14.0
916,"['relationship= Husband', 'education= HS_grad']",sex= Female,class=1,0.6666666666666666,0.7647058823529411,-0.0980392156862745,0.8717948717948718,6.0,13.0
1622,"['hours_per_week=50<x<74', 'workcla= Self_emp_inc']",sex= Female,class=1,0.7692307692307693,0.8666666666666667,-0.09743589743589742,0.8875739644970414,10.0,26.0
1581,"['hours_per_week=25<x<50', 'age=35<x<53', 'workcla= Self_emp_inc']",sex= Female,class=1,0.7777777777777778,0.875,-0.09722222222222221,0.888888888888889,7.0,14.0
913,"['education_num=x>12', 'education= HS_grad']",sex= Female,class=1,0.7777777777777778,0.875,-0.09722222222222221,0.888888888888889,7.0,14.0
398,"['hours_per_week=50<x<74', 'education= Doctorate']",sex= Female,class=1,0.8333333333333334,0.9285714285714286,-0.09523809523809523,0.8974358974358975,5.0,13.0
1392,"['race= White', 'relationship= Husband']",sex= Female,class=1,0.6666666666666666,0.7619047619047619,-0.09523809523809523,0.875,16.0,32.0
2035,"['age=35<x<53', 'native_country= Puerto_Rico']",sex= Female,class=1,0.8333333333333334,0.9285714285714286,-0.09523809523809523,0.8974358974358975,5.0,13.0
1893,"['education_num=x>12', 'education= 1st_4th']",sex= Female,class=1,0.5555555555555556,0.6470588235294118,-0.09150326797385622,0.8585858585858586,5.0,11.0
81,"['age=35<x<53', 'workcla= Local_gov', 'education_num=1<x<4']",sex= Female,class=1,0.8333333333333334,0.9230769230769231,-0.08974358974358976,0.9027777777777778,5.0,12.0
1093,"['race= Amer_Indian_Eskimo', 'hours_per_week=50<x<74']",sex= Female,class=1,0.8333333333333334,0.9230769230769231,-0.08974358974358976,0.9027777777777778,15.0,36.0
546,"['age=35<x<53', 'race= White', 'fnlwgt=274186<x<527198']",sex= Female,class=1,0.8,0.8888888888888888,-0.0888888888888888,0.9000000000000001,8.0,16.0
2024,['native_country= Laos'],sex= Female,class=1,0.8125,0.9,-0.08750000000000002,0.9027777777777778,13.0,27.0
1460,"['race= Amer_Indian_Eskimo', 'hours_per_week=x>74']",sex= Female,class=1,0.8571428571428571,0.9444444444444444,-0.08730158730158732,0.907563025210084,6.0,17.0
1656,"['education_num=x>12', 'education= 9th']",sex= Female,class=1,0.75,0.8333333333333334,-0.08333333333333337,0.8999999999999999,6.0,10.0
2085,"['education_num=4<x<8', 'native_country= Poland']",sex= Female,class=1,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9090909090909092,5.0,11.0
1731,"['age=17<x<35', 'education_num=x>12', 'race= Amer_Indian_Eskimo']",sex= Female,class=1,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9090909090909092,5.0,11.0
1039,"['race= Asian_Pac_Islander', 'education= Bachelors']",sex= Female,class=1,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9090909090909092,5.0,11.0
1096,"['age=17<x<35', 'race= Asian_Pac_Islander', 'hours_per_week=50<x<74']",sex= Female,class=1,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9090909090909092,5.0,11.0
1896,"['workcla= Self_emp_inc', 'education= 1st_4th']",sex= Female,class=1,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9090909090909092,5.0,11.0
525,"['hours_per_week=1<x<25', 'age=35<x<53', 'fnlwgt=274186<x<527198']",sex= Female,class=1,0.8571428571428571,0.9375,-0.0803571428571429,0.9142857142857143,12.0,30.0
731,"['age=35<x<53', 'fnlwgt=274186<x<527198', 'relationship= Wife']",sex= Female,class=1,0.7777777777777778,0.8571428571428571,-0.0793650793650793,0.9074074074074074,7.0,12.0
444,"['age=53<x<71', 'education_num=8<x<12', 'race= Asian_Pac_Islander']",sex= Female,class=1,0.7777777777777778,0.8571428571428571,-0.0793650793650793,0.9074074074074074,7.0,12.0
1076,"['fnlwgt=274186<x<527198', 'hours_per_week=50<x<74']",sex= Female,class=1,0.75,0.8285714285714286,-0.07857142857142863,0.9051724137931034,9.0,29.0
570,"['education_num=x>12', 'fnlwgt=274186<x<527198']",sex= Female,class=1,0.7058823529411765,0.7837837837837838,-0.07790143084260726,0.9006085192697769,12.0,29.0
1320,"['hours_per_week=1<x<25', 'age=35<x<53', 'race= Black']",sex= Female,class=1,0.8888888888888888,0.9666666666666667,-0.07777777777777783,0.9195402298850575,8.0,29.0
404,"['race= Asian_Pac_Islander', 'education= Doctorate']",sex= Female,class=1,0.8571428571428571,0.9333333333333333,-0.07619047619047625,0.9183673469387754,6.0,14.0
1295,"['age=x>71', 'education= 7th_8th']",sex= Female,class=1,0.8571428571428571,0.9333333333333333,-0.07619047619047625,0.9183673469387754,6.0,14.0
40,"['age=35<x<53', 'race= White', 'education_num=1<x<4']",sex= Female,class=1,0.8571428571428571,0.9333333333333333,-0.07619047619047625,0.9183673469387754,6.0,14.0
1708,"['hours_per_week=25<x<50', 'native_country= Canada']",sex= Female,class=1,0.8333333333333334,0.9090909090909091,-0.07575757575757569,0.9166666666666667,5.0,10.0
1418,"['hours_per_week=25<x<50', 'education_num=1<x<4', 'relationship= Husband']",sex= Female,class=1,0.8333333333333334,0.9090909090909091,-0.07575757575757569,0.9166666666666667,5.0,10.0
1695,"['race= Asian_Pac_Islander', 'native_country= Mexico']",sex= Female,class=1,0.8333333333333334,0.9090909090909091,-0.07575757575757569,0.9166666666666667,5.0,10.0
1503,"['education_num=x>12', 'native_country= Jamaica']",sex= Female,class=1,0.8333333333333334,0.9090909090909091,-0.07575757575757569,0.9166666666666667,5.0,10.0
1856,"['workcla= Private', 'education= 12th']",sex= Female,class=1,0.8333333333333334,0.9090909090909091,-0.07575757575757569,0.9166666666666667,5.0,10.0
1088,"['education_num=4<x<8', 'race= White', 'hours_per_week=50<x<74']",sex= Female,class=1,0.8333333333333334,0.9090909090909091,-0.07575757575757569,0.9166666666666667,5.0,10.0
591,"['age=53<x<71', 'education= Prof_school']",sex= Female,class=1,0.8,0.875,-0.07499999999999996,0.9142857142857144,8.0,14.0
1665,"['race= Amer_Indian_Eskimo', 'education= 9th']",sex= Female,class=1,0.875,0.95,-0.07499999999999996,0.9210526315789475,7.0,19.0
1970,"['age=53<x<71', 'education= Preschool']",sex= Female,class=1,0.875,0.95,-0.07499999999999996,0.9210526315789475,7.0,19.0
935,"['hours_per_week=25<x<50', 'age=35<x<53', 'education_num=x>12']",sex= Female,class=1,0.75,0.8235294117647058,-0.07352941176470584,0.9107142857142858,6.0,14.0
1079,"['age=35<x<53', 'education_num=4<x<8', 'hours_per_week=50<x<74']",sex= Female,class=1,0.75,0.8235294117647058,-0.07352941176470584,0.9107142857142858,6.0,14.0
1580,"['age=35<x<53', 'workcla= Self_emp_inc']",sex= Female,class=1,0.8,0.8717948717948718,-0.07179487179487176,0.9176470588235295,16.0,34.0
1579,"['hours_per_week=1<x<25', 'age=35<x<53', 'workcla= Self_emp_inc']",sex= Female,class=1,0.8571428571428571,0.9285714285714286,-0.07142857142857151,0.923076923076923,6.0,13.0
361,"['education_num=x>12', 'race= Amer_Indian_Eskimo', 'age=x>71']",sex= Female,class=1,0.8571428571428571,0.9285714285714286,-0.07142857142857151,0.923076923076923,6.0,13.0
759,"['age=35<x<53', 'workcla= State_gov', 'relationship= Wife']",sex= Female,class=1,0.8333333333333334,0.9,-0.06666666666666665,0.9259259259259259,5.0,9.0
1455,"['education_num=8<x<12', 'hours_per_week=x>74']",sex= Female,class=1,0.8333333333333334,0.9,-0.06666666666666665,0.9259259259259259,5.0,18.0
738,"['education_num=4<x<8', 'relationship= Wife']",sex= Female,class=1,0.8666666666666667,0.9333333333333333,-0.06666666666666665,0.9285714285714286,13.0,42.0
1663,"['age=17<x<35', 'education= 9th']",sex= Female,class=1,0.875,0.9411764705882353,-0.06617647058823528,0.9296875,7.0,16.0
1046,"['education_num=4<x<8', 'education= Bachelors']",sex= Female,class=1,0.875,0.9411764705882353,-0.06617647058823528,0.9296875,7.0,16.0
396,"['hours_per_week=1<x<25', 'age=35<x<53', 'education= Doctorate']",sex= Female,class=1,0.8571428571428571,0.9230769230769231,-0.06593406593406603,0.9285714285714285,6.0,12.0
1809,"['race= White', 'education_num=x<1']",sex= Female,class=1,0.8571428571428571,0.9230769230769231,-0.06593406593406603,0.9285714285714285,6.0,12.0
1954,"['race= White', 'education= 11th']",sex= Female,class=1,0.8571428571428571,0.9230769230769231,-0.06593406593406603,0.9285714285714285,6.0,12.0
649,"['hours_per_week=25<x<50', 'education_num=8<x<12', 'workcla= Private']",sex= Female,class=1,0.8571428571428571,0.9230769230769231,-0.06593406593406603,0.9285714285714285,6.0,12.0
