workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
 Self_emp_not_inc, Doctorate, Unmarried, White, Male, Yugoslavia,x>71,21174<x<274186,1<x<4,1<x<25,1
 State_gov, Prof_school, Unmarried, Asian_Pac_Islander, Male, Yugoslavia,35<x<53,274186<x<527198,8<x<12,1<x<25,1
 Private, Masters, Wife, Other, Female, India,x>71,21174<x<274186,1<x<4,25<x<50,1
 Private, HS_grad, Not_in_family, Other, Female, Cuba,x>71,21174<x<274186,1<x<4,25<x<50,1
 Self_emp_not_inc, Bachelors, Other_relative, Other, Male, Thailand,x>71,21174<x<274186,x>12,25<x<50,1
 Federal_gov, 7th_8th, Own_child, Other, Male, Honduras,53<x<71,21174<x<274186,x>12,50<x<74,0
 Private, 10th, Husband, Black, Female, Honduras,53<x<71,21174<x<274186,8<x<12,50<x<74,1
 Private, Some_college, Husband, Asian_Pac_Islander, Male, Jamaica,17<x<35,21174<x<274186,8<x<12,x>74,1
 Local_gov, Some_college, Unmarried, White, Female, Japan,35<x<53,274186<x<527198,8<x<12,1<x<25,1
 Self_emp_inc, 9th, Husband, Black, Male, Cambodia,35<x<53,21174<x<274186,8<x<12,1<x<25,1
 State_gov, Doctorate, Other_relative, Black, Female, Mexico,17<x<35,274186<x<527198,4<x<8,25<x<50,1
 Private, HS_grad, Own_child, Other, Male, Canada,53<x<71,21174<x<274186,8<x<12,50<x<74,1
 Private, 7th_8th, Wife, Other, Female, Honduras,53<x<71,274186<x<527198,x>12,50<x<74,1
 State_gov, Masters, Not_in_family, Other, Female, Cambodia,17<x<35,21174<x<274186,8<x<12,25<x<50,1
 State_gov, Doctorate, Other_relative, Amer_Indian_Eskimo, Male, Iran,53<x<71,21174<x<274186,4<x<8,25<x<50,1
 Self_emp_inc, 7th_8th, Husband, Other, Male, Cuba,35<x<53,274186<x<527198,x>12,1<x<25,1
 Local_gov, Prof_school, Wife, Black, Male, Guatemala,35<x<53,274186<x<527198,4<x<8,50<x<74,1
 Self_emp_inc, Prof_school, Other_relative, White, Female, France,35<x<53,21174<x<274186,1<x<4,50<x<74,1
 State_gov, Assoc_voc, Husband, Black, Male, El_Salvador,35<x<53,21174<x<274186,8<x<12,1<x<25,1
 Self_emp_not_inc, 12th, Husband, Other, Female, Philippines,53<x<71,21174<x<274186,x<1,1<x<25,1
 Self_emp_inc, 9th, Husband, White, Female, India,35<x<53,21174<x<274186,x>12,25<x<50,0
 Local_gov, 12th, Not_in_family, Black, Male, Portugal,17<x<35,21174<x<274186,1<x<4,25<x<50,1
 Private, Masters, Wife, Black, Male, El_Salvador,17<x<35,21174<x<274186,4<x<8,x<1,1
 Federal_gov, 1st_4th, Not_in_family, Asian_Pac_Islander, Male, China,35<x<53,21174<x<274186,4<x<8,25<x<50,1
