id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents,class
0,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,0.0<x<5.0,NO
1,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
2,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,x<0,0<x<24,x<0.0,YES
3,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,x<0.0,NO
4,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,x<0.0,NO
5,0.0<x<12677.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
6,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
7,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
8,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,0.0<x<5.0,NO
9,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
10,0.0<x<12677.0,0<x<25,x<0,x<0.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
11,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
12,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,x>43,x<0,x<0,x<0,0.0<x<5.0,NO
13,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
14,x<0.0,x>77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,x<0,x<0,x<0.0,NO
15,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
16,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,0<x<24,x<0.0,YES
17,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,x<0.0,NO
18,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
19,x<0.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
20,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,5.0<x<10.0,NO
21,x<0.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
22,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
23,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
24,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,x<0.0,YES
25,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
26,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,x<0.0,x>43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
27,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,x<0,x<0,0.0<x<5.0,NO
28,x<0.0,25<x<51,x<0,x<0.0,x<0.0,x<0,x<0,13<x<27,0<x<24,x<0.0,NO
29,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,x<0,0<x<13,0<x<24,x<0.0,NO
30,x<0.0,0<x<25,x<0,x<0.0,x<0.0,14<x<29,x<0,0<x<13,x<0,x<0.0,NO
31,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,x<0.0,NO
32,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
33,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,x<0.0,NO
34,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
35,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
36,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
37,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
38,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
39,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,x<0.0,NO
40,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,5.0<x<10.0,NO
41,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
42,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
43,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
44,x<0.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,x<0.0,YES
45,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,0<x<24,5.0<x<10.0,NO
46,0.0<x<12677.0,51<x<77,x<0,x<0.0,x<0.0,x<0,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
47,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,x>43,0<x<24,0<x<13,0<x<24,x<0.0,YES
48,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
49,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,x<0,0<x<24,5.0<x<10.0,NO
50,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
51,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,x<0.0,NO
52,0.0<x<12677.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,0<x<24,x<0,x<0,5.0<x<10.0,NO
53,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
54,x<0.0,51<x<77,x<0,x<0.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
55,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,x<0.0,NO
