,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,class
0,56<x<75,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
1,37<x<56,admin.,married,secondary,no,-6847<x<15165,no,no,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
2,37<x<56,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
3,37<x<56,services,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,x<1,x<0,unknown,yes
4,37<x<56,admin.,married,tertiary,no,-6847<x<15165,no,no,unknown,1<x<8,may,2<x<971,1<x<16,x<0,unknown,yes
5,37<x<56,management,single,tertiary,no,-6847<x<15165,yes,yes,unknown,1<x<8,may,2<x<971,1<x<16,x<0,unknown,yes
6,37<x<56,management,married,tertiary,no,-6847<x<15165,yes,yes,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
7,56<x<75,retired,divorced,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
8,18<x<37,technician,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,x<1,x<0,unknown,yes
9,18<x<37,services,single,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
10,37<x<56,admin.,single,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,x<1,x<0,unknown,yes
11,18<x<37,blue-collar,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
12,18<x<37,management,married,tertiary,no,-6847<x<15165,yes,yes,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
13,37<x<56,blue-collar,single,tertiary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
14,18<x<37,technician,single,tertiary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,1<x<16,x<0,unknown,yes
15,18<x<37,management,divorced,tertiary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
16,18<x<37,blue-collar,single,primary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,1<x<16,x<0,unknown,yes
17,37<x<56,services,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,x<1,x<0,unknown,yes
18,37<x<56,admin.,married,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,971<x<1941,1<x<16,x<0,unknown,yes
19,37<x<56,admin.,divorced,secondary,no,-6847<x<15165,yes,yes,unknown,1<x<8,may,2<x<971,x<1,x<0,unknown,yes
20,18<x<37,admin.,divorced,secondary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,1<x<16,x<0,unknown,yes
21,37<x<56,management,single,tertiary,no,-6847<x<15165,yes,no,unknown,1<x<8,may,2<x<971,x<1,x<0,unknown,yes
