id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,services,married,unknown,no,no,yes,telephone,dec,success,37<x<56,-2712<x<14629,16<x<23,3<x<972,1<x<16,0<x<14,1
1,entrepreneur,married,tertiary,no,yes,no,cellular,oct,other,x>75,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,1
2,retired,single,tertiary,yes,yes,no,telephone,apr,unknown,37<x<56,-2712<x<14629,1<x<8,3<x<972,16<x<32,14<x<29,1
3,housemaid,married,tertiary,no,no,yes,unknown,oct,unknown,37<x<56,-2712<x<14629,16<x<23,972<x<1942,16<x<32,29<x<43,1
4,self-employed,divorced,primary,yes,yes,no,telephone,aug,unknown,37<x<56,-2712<x<14629,8<x<16,3<x<972,16<x<32,0<x<14,1
5,unknown,divorced,tertiary,no,yes,yes,telephone,dec,other,18<x<37,-2712<x<14629,16<x<23,3<x<972,16<x<32,14<x<29,1
6,technician,divorced,primary,no,yes,no,cellular,jul,other,37<x<56,-2712<x<14629,8<x<16,3<x<972,1<x<16,0<x<14,0
7,technician,single,primary,no,yes,yes,unknown,feb,other,37<x<56,-2712<x<14629,8<x<16,972<x<1942,1<x<16,0<x<14,1
8,self-employed,single,secondary,yes,no,no,cellular,feb,success,56<x<75,-2712<x<14629,16<x<23,3<x<972,16<x<32,14<x<29,1
9,blue-collar,divorced,primary,yes,no,no,telephone,aug,failure,56<x<75,-2712<x<14629,16<x<23,972<x<1942,1<x<16,0<x<14,1
10,unknown,married,unknown,yes,yes,no,unknown,mar,success,56<x<75,-2712<x<14629,1<x<8,3<x<972,1<x<16,0<x<14,1
11,admin.,single,unknown,no,no,yes,cellular,sep,failure,18<x<37,-2712<x<14629,x<1,3<x<972,1<x<16,14<x<29,1
12,self-employed,divorced,unknown,yes,no,no,unknown,may,success,37<x<56,-2712<x<14629,16<x<23,3<x<972,32<x<47,29<x<43,1
13,blue-collar,single,primary,yes,no,yes,cellular,feb,unknown,37<x<56,-2712<x<14629,1<x<8,972<x<1942,16<x<32,0<x<14,1
14,student,divorced,unknown,no,yes,no,unknown,aug,other,x<18,-2712<x<14629,16<x<23,3<x<972,16<x<32,14<x<29,1
15,unknown,divorced,primary,yes,yes,yes,unknown,feb,success,x>75,-2712<x<14629,x>23,972<x<1942,16<x<32,14<x<29,1
16,services,married,unknown,no,no,no,unknown,feb,other,x>75,-2712<x<14629,x>23,972<x<1942,16<x<32,x<0,1
17,self-employed,married,primary,yes,no,no,telephone,oct,unknown,x>75,-2712<x<14629,x>23,972<x<1942,16<x<32,14<x<29,1
18,technician,divorced,secondary,no,yes,yes,unknown,jul,unknown,37<x<56,-2712<x<14629,x>23,3<x<972,x>47,0<x<14,0
19,blue-collar,married,secondary,yes,no,no,cellular,aug,success,x>75,-2712<x<14629,8<x<16,972<x<1942,16<x<32,14<x<29,1
20,admin.,divorced,unknown,yes,no,yes,cellular,aug,unknown,x<18,-2712<x<14629,8<x<16,972<x<1942,32<x<47,0<x<14,1
21,self-employed,married,unknown,yes,yes,no,telephone,may,other,18<x<37,-2712<x<14629,x>23,3<x<972,16<x<32,0<x<14,0
22,admin.,divorced,primary,no,no,yes,cellular,sep,other,x>75,-2712<x<14629,8<x<16,3<x<972,32<x<47,0<x<14,0
23,retired,single,primary,yes,no,no,telephone,sep,unknown,37<x<56,-2712<x<14629,1<x<8,3<x<972,x>47,14<x<29,1
24,unemployed,divorced,primary,no,yes,yes,cellular,apr,unknown,37<x<56,-2712<x<14629,x<1,972<x<1942,x<1,x<0,1
25,unknown,single,unknown,no,no,no,cellular,feb,success,37<x<56,-2712<x<14629,x>23,3<x<972,1<x<16,0<x<14,1
26,management,single,unknown,no,no,yes,telephone,jul,failure,18<x<37,-2712<x<14629,8<x<16,972<x<1942,1<x<16,0<x<14,1
27,student,divorced,unknown,yes,yes,yes,telephone,mar,unknown,56<x<75,14629<x<31970,16<x<23,972<x<1942,16<x<32,29<x<43,1
28,management,married,tertiary,yes,yes,no,unknown,jan,unknown,x>75,-2712<x<14629,x>23,972<x<1942,1<x<16,14<x<29,1
29,unknown,single,unknown,no,no,yes,unknown,mar,unknown,37<x<56,-2712<x<14629,x>23,972<x<1942,1<x<16,0<x<14,1
