id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,previous,class
0,services,married,unknown,no,no,yes,telephone,dec,success,38,2749,20,948,6,3,1
1,entrepreneur,married,tertiary,no,yes,no,cellular,oct,other,87,1852,11,637,22,9,1
2,retired,single,tertiary,yes,yes,no,telephone,apr,unknown,43,10,5,106,23,18,1
3,housemaid,married,tertiary,no,no,yes,unknown,oct,unknown,47,95,23,1037,27,30,1
4,self-employed,divorced,primary,yes,yes,no,telephone,aug,unknown,51,-312,14,678,30,10,0
5,unknown,divorced,tertiary,no,yes,yes,telephone,dec,other,28,-123,18,593,32,29,0
6,technician,divorced,primary,no,yes,no,cellular,jul,other,51,2679,15,763,15,11,1
7,technician,single,primary,no,yes,yes,unknown,feb,other,43,2840,15,1439,15,1,1
8,self-employed,single,secondary,yes,no,no,cellular,feb,success,59,-588,22,397,28,19,1
9,blue-collar,divorced,primary,yes,no,no,telephone,aug,failure,75,279,18,976,12,4,1
10,unknown,married,unknown,yes,yes,no,unknown,mar,success,70,3137,2,477,9,8,1
11,admin.,single,unknown,no,no,yes,cellular,sep,failure,21,256,1,340,10,29,1
12,self-employed,divorced,unknown,yes,no,no,unknown,may,success,52,6181,21,258,41,37,0
13,blue-collar,single,primary,yes,no,yes,cellular,feb,unknown,46,2939,5,1047,17,7,1
14,student,divorced,unknown,no,yes,no,unknown,aug,other,18,1819,22,417,27,15,0
15,unknown,divorced,primary,yes,yes,yes,unknown,feb,success,77,872,26,975,19,22,1
16,services,married,unknown,no,no,no,unknown,feb,other,88,5223,29,1114,32,0,1
17,self-employed,married,primary,yes,no,no,telephone,oct,unknown,93,6170,30,973,25,29,1
18,technician,divorced,secondary,no,yes,yes,unknown,jul,unknown,38,5260,30,886,63,10,0
19,blue-collar,married,secondary,yes,no,no,cellular,aug,success,80,-150,11,1088,23,16,1
20,admin.,divorced,unknown,yes,no,yes,cellular,aug,unknown,18,1737,14,1181,41,9,1
21,self-employed,married,unknown,yes,yes,no,telephone,may,other,35,1777,31,675,31,8,0
22,admin.,divorced,primary,no,no,yes,cellular,sep,other,78,2149,16,559,41,1,0
23,retired,single,primary,yes,no,no,telephone,sep,unknown,46,778,6,402,63,27,1
24,unemployed,divorced,primary,no,yes,yes,cellular,apr,unknown,42,8876,1,1257,1,0,1
25,unknown,single,unknown,no,no,no,cellular,feb,success,39,5603,25,613,9,14,1
26,management,single,unknown,no,no,yes,telephone,jul,failure,29,165,9,1076,6,8,1
27,student,divorced,unknown,yes,yes,yes,telephone,mar,unknown,75,23878,19,1027,24,40,1
28,management,married,tertiary,yes,yes,no,unknown,jan,unknown,80,32,24,1184,16,15,1
29,unknown,single,unknown,no,no,yes,unknown,mar,unknown,46,2531,29,1410,8,14,1
30,entrepreneur,single,secondary,no,yes,no,cellular,oct,other,57,1137,31,1602,1,28,1
31,housemaid,married,secondary,yes,yes,yes,telephone,dec,success,23,2923,1,241,16,30,1
32,student,married,unknown,yes,yes,no,telephone,sep,failure,26,1198,3,587,15,0,1
33,self-employed,divorced,secondary,yes,no,yes,cellular,feb,unknown,20,3390,1,1020,14,19,1
34,technician,married,unknown,yes,yes,yes,unknown,jul,success,73,6904,22,93,1,1,1
35,management,married,tertiary,yes,no,yes,unknown,jul,unknown,24,-601,16,390,21,10,0
36,management,divorced,unknown,yes,no,yes,cellular,nov,failure,80,6362,6,240,30,10,0
37,management,divorced,secondary,no,no,no,unknown,sep,failure,61,2158,17,26,24,7,0
38,technician,divorced,tertiary,yes,no,no,unknown,dec,unknown,65,598,16,544,2,18,1
39,management,divorced,primary,yes,yes,no,cellular,jan,failure,21,1919,21,1440,2,21,1
40,unknown,divorced,secondary,no,no,no,cellular,jun,other,26,226,22,1174,9,7,1
41,unknown,divorced,primary,yes,no,no,unknown,feb,failure,83,12356,18,789,10,37,0
42,blue-collar,divorced,unknown,no,no,yes,telephone,dec,unknown,20,2436,15,1275,26,10,1
43,management,married,secondary,no,no,yes,cellular,jun,unknown,26,3848,6,522,24,1,0
44,blue-collar,single,unknown,no,no,no,unknown,feb,success,31,1012,8,1106,11,6,1
45,unemployed,divorced,unknown,no,no,no,telephone,jun,unknown,53,2550,16,945,31,8,0
46,unknown,married,unknown,no,yes,no,unknown,dec,unknown,88,2880,8,1000,5,8,1
47,admin.,single,unknown,no,yes,no,telephone,may,other,50,-92,25,376,28,11,0
