id,workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
0, Self_emp_inc, HS_grad, Wife, Asian_Pac_Islander, Female, South,35<x<53,21174<x<274186,4<x<8,25<x<50,1
1, Federal_gov, Doctorate, Unmarried, Black, Female, China,x>71,21174<x<274186,4<x<8,1<x<25,1
2, Self_emp_inc, 9th, Husband, Asian_Pac_Islander, Female, Poland,17<x<35,21174<x<274186,8<x<12,x>74,1
3, Local_gov, 10th, Wife, Black, Female, Japan,x>71,21174<x<274186,4<x<8,25<x<50,1
4, State_gov, Assoc_acdm, Husband, White, Male, Philippines,35<x<53,21174<x<274186,1<x<4,25<x<50,1
5, Self_emp_inc, Preschool, Own_child, Amer_Indian_Eskimo, Female, England,53<x<71,274186<x<527198,1<x<4,25<x<50,1
6, Self_emp_not_inc, 1st_4th, Other_relative, Black, Female, Canada,35<x<53,21174<x<274186,8<x<12,1<x<25,1
7, Private, Bachelors, Husband, White, Female, Portugal,17<x<35,21174<x<274186,x>12,50<x<74,1
8, Local_gov, 5th_6th, Not_in_family, Black, Male, Taiwan,35<x<53,21174<x<274186,1<x<4,50<x<74,1
9, Self_emp_not_inc, 5th_6th, Other_relative, Amer_Indian_Eskimo, Male, Jamaica,17<x<35,21174<x<274186,1<x<4,1<x<25,1
10, Local_gov, 10th, Other_relative, Amer_Indian_Eskimo, Male, United_States,x>71,21174<x<274186,4<x<8,50<x<74,1
11, Local_gov, Some_college, Unmarried, Black, Female, Japan,17<x<35,21174<x<274186,4<x<8,1<x<25,1
12, Self_emp_inc, Assoc_acdm, Husband, Black, Female, El_Salvador,35<x<53,21174<x<274186,x>12,1<x<25,1
13, Self_emp_not_inc, 9th, Not_in_family, Other, Male, Thailand,35<x<53,274186<x<527198,1<x<4,50<x<74,1
14, Self_emp_not_inc, Some_college, Not_in_family, Other, Male, Columbia,17<x<35,21174<x<274186,1<x<4,50<x<74,1
15, Private, Masters, Other_relative, Black, Male, France,x>71,21174<x<274186,1<x<4,x>74,1
16, Self_emp_not_inc, Assoc_acdm, Other_relative, Other, Female, El_Salvador,x>71,21174<x<274186,x>12,25<x<50,1
17, State_gov, 5th_6th, Other_relative, Black, Female, United_States,x>71,274186<x<527198,4<x<8,25<x<50,1
18, Self_emp_not_inc, Assoc_voc, Unmarried, Asian_Pac_Islander, Female, China,35<x<53,21174<x<274186,1<x<4,25<x<50,1
19, Private, Bachelors, Husband, Other, Male, Germany,35<x<53,21174<x<274186,4<x<8,50<x<74,1
20, State_gov, Masters, Husband, Amer_Indian_Eskimo, Male, Dominican_Republic,53<x<71,274186<x<527198,x<1,1<x<25,1
21, Private, Doctorate, Other_relative, White, Female, France,35<x<53,21174<x<274186,x>12,50<x<74,1
22, Private, Assoc_voc, Unmarried, Amer_Indian_Eskimo, Male, Jamaica,35<x<53,21174<x<274186,1<x<4,25<x<50,1
23, Federal_gov, Some_college, Not_in_family, Amer_Indian_Eskimo, Female, Ecuador,35<x<53,21174<x<274186,1<x<4,1<x<25,1
24, State_gov, Assoc_voc, Not_in_family, Amer_Indian_Eskimo, Female, Cuba,x>71,274186<x<527198,x<1,25<x<50,1
25, Private, 12th, Other_relative, Asian_Pac_Islander, Male, Philippines,35<x<53,21174<x<274186,4<x<8,1<x<25,1
26, Private, Doctorate, Own_child, White, Female, South,35<x<53,21174<x<274186,x>12,1<x<25,1
27, Local_gov, Assoc_acdm, Not_in_family, Black, Male, Canada,35<x<53,21174<x<274186,x<1,1<x<25,1
28, Federal_gov, 10th, Husband, White, Male, China,17<x<35,274186<x<527198,1<x<4,50<x<74,1
29, Private, 12th, Husband, Other, Female, Cuba,x>71,274186<x<527198,x>12,1<x<25,1
30, Private, 12th, Unmarried, White, Male, El_Salvador,35<x<53,21174<x<274186,4<x<8,50<x<74,1
31, Federal_gov, 10th, Not_in_family, Asian_Pac_Islander, Male, Laos,17<x<35,21174<x<274186,4<x<8,25<x<50,1
