id,workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
0, Self_emp_inc, HS_grad, Wife, Asian_Pac_Islander, Female, South,49,133937,8,35,1
1, Federal_gov, Doctorate, Unmarried, Black, Female, China,77,99146,8,25,1
2, Self_emp_inc, 9th, Husband, Asian_Pac_Islander, Female, Poland,28,80914,11,80,1
3, Local_gov, 10th, Wife, Black, Female, Japan,81,262749,7,34,1
4, State_gov, Assoc_acdm, Husband, White, Male, Philippines,46,149865,2,42,1
5, Self_emp_inc, Preschool, Own_child, Amer_Indian_Eskimo, Female, England,65,398473,3,34,1
6, Self_emp_not_inc, 1st_4th, Other_relative, Black, Female, Canada,50,247564,9,10,1
7, Private, Bachelors, Husband, White, Female, Portugal,23,205019,14,52,1
8, Local_gov, 5th_6th, Not_in_family, Black, Male, Taiwan,40,156764,4,64,1
9, Self_emp_not_inc, 5th_6th, Other_relative, Amer_Indian_Eskimo, Male, Jamaica,19,205019,3,18,1
10, Local_gov, 10th, Other_relative, Amer_Indian_Eskimo, Male, United_States,90,114580,6,70,1
11, Local_gov, Some_college, Unmarried, Black, Female, Japan,30,50356,8,18,1
12, Self_emp_inc, Assoc_acdm, Husband, Black, Female, El_Salvador,45,248145,15,10,1
13, Self_emp_not_inc, 9th, Not_in_family, Other, Male, Thailand,50,411797,4,65,1
14, Self_emp_not_inc, Some_college, Not_in_family, Other, Male, Columbia,28,87418,2,58,1
15, Private, Masters, Other_relative, Black, Male, France,90,110866,4,80,1
16, Self_emp_not_inc, Assoc_acdm, Other_relative, Other, Female, El_Salvador,78,118494,14,42,1
17, State_gov, 5th_6th, Other_relative, Black, Female, United_States,79,276515,7,41,1
18, Self_emp_not_inc, Assoc_voc, Unmarried, Asian_Pac_Islander, Female, China,39,70100,2,43,1
19, Private, Bachelors, Husband, Other, Male, Germany,47,226267,6,70,1
20, State_gov, Masters, Husband, Amer_Indian_Eskimo, Male, Dominican_Republic,67,343121,1,25,1
21, Private, Doctorate, Other_relative, White, Female, France,41,70100,13,56,1
22, Private, Assoc_voc, Unmarried, Amer_Indian_Eskimo, Male, Jamaica,39,51835,2,47,1
23, Federal_gov, Some_college, Not_in_family, Amer_Indian_Eskimo, Female, Ecuador,44,227689,3,14,1
24, State_gov, Assoc_voc, Not_in_family, Amer_Indian_Eskimo, Female, Cuba,78,279196,1,45,1
25, Private, 12th, Other_relative, Asian_Pac_Islander, Male, Philippines,41,82465,7,19,1
26, Private, Doctorate, Own_child, White, Female, South,42,217961,14,2,1
27, Local_gov, Assoc_acdm, Not_in_family, Black, Male, Canada,47,196001,1,19,1
28, Federal_gov, 10th, Husband, White, Male, China,27,289980,2,72,1
29, Private, 12th, Husband, Other, Female, Cuba,73,433665,14,15,1
30, Private, 12th, Unmarried, White, Male, El_Salvador,46,118500,7,55,1
31, Federal_gov, 10th, Not_in_family, Asian_Pac_Islander, Male, Laos,31,151408,6,38,1
32, State_gov, Prof_school, Other_relative, Asian_Pac_Islander, Male, India,36,298785,5,37,1
33, Private, 12th, Own_child, White, Male, Laos,44,214399,7,41,1
34, Private, 9th, Other_relative, Asian_Pac_Islander, Male, Mexico,78,212960,10,72,1
35, Private, 11th, Not_in_family, White, Male, United_States,18,213921,12,18,1
36, Self_emp_not_inc, 5th_6th, Other_relative, Amer_Indian_Eskimo, Male, India,35,160187,15,10,1
37, Self_emp_not_inc, 10th, Husband, Other, Female, Thailand,49,377701,8,30,1
38, Local_gov, Preschool, Wife, White, Male, Canada,21,271466,6,25,1
39, Private, 12th, Husband, White, Male, Mexico,19,289984,15,75,1
40, Federal_gov, Masters, Husband, Amer_Indian_Eskimo, Male, Laos,72,256649,16,5,1
41, Private, 5th_6th, Own_child, Amer_Indian_Eskimo, Female, France,41,132879,5,1,1
42, Private, 9th, Husband, White, Male, Puerto_Rico,31,174575,1,99,1
43, State_gov, 11th, Unmarried, Other, Female, El_Salvador,67,199915,6,10,1
44, Self_emp_inc, 11th, Wife, White, Female, Taiwan,26,128354,15,72,1
45, Self_emp_not_inc, Prof_school, Unmarried, Black, Female, Guatemala,74,231193,5,12,1
46, Local_gov, 5th_6th, Unmarried, Asian_Pac_Islander, Female, Poland,79,209370,5,1,1
47, Private, Prof_school, Not_in_family, Black, Female, Jamaica,37,94638,16,54,1
48, State_gov, 7th_8th, Husband, Other, Female, France,22,56795,1,28,1
49, Local_gov, Assoc_acdm, Husband, Asian_Pac_Islander, Male, Germany,46,51290,5,5,1
50, State_gov, Assoc_voc, Own_child, Other, Female, Laos,54,420537,8,24,1
51, State_gov, Some_college, Not_in_family, White, Female, Italy,55,301606,8,52,1
52, State_gov, HS_grad, Wife, Black, Female, Jamaica,28,74631,15,70,1
53, State_gov, Doctorate, Own_child, White, Male, Taiwan,63,445382,15,98,0
