,antecedent,pd,cls,conf_pd,conf_pnd,risk_dif,elift,sup_pd,sup_pnd
2036,"['hours_per_week=1<x<25', 'native_country= Poland']",sex= Female,class=1,0.8333333333333334,0.9333333333333333,-0.09999999999999998,0.8928571428571429,5.0,14.0
1436,"['age=35<x<53', 'race= Asian_Pac_Islander', 'workcla= Self_emp_not_inc']",sex= Female,class=1,0.8333333333333334,0.9333333333333333,-0.09999999999999998,0.8928571428571429,5.0,14.0
1872,"['age=17<x<35', 'fnlwgt=394288<x<580845']",sex= Female,class=1,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9090909090909092,5.0,11.0
1112,"['fnlwgt=207731<x<394288', 'age=35<x<53', 'race= Asian_Pac_Islander']",sex= Female,class=1,0.875,0.9565217391304348,-0.08152173913043481,0.9147727272727273,7.0,22.0
1493,"['age=35<x<53', 'education_num=x>12', 'workcla= Self_emp_not_inc']",sex= Female,class=1,0.8571428571428571,0.9333333333333333,-0.07619047619047625,0.9183673469387754,6.0,14.0
1147,"['education_num=1<x<4', 'hours_per_week=x>74']",sex= Female,class=1,0.8571428571428571,0.9285714285714286,-0.07142857142857151,0.923076923076923,6.0,13.0
1910,"['workcla= Private', 'education_num=x<1']",sex= Female,class=1,0.8333333333333334,0.9,-0.06666666666666665,0.9259259259259259,5.0,9.0
1891,"['age=35<x<53', 'native_country= United_States']",sex= Female,class=1,0.8571428571428571,0.9230769230769231,-0.06593406593406603,0.9285714285714285,6.0,12.0
647,"['age=53<x<71', 'race= White', 'workcla= Private']",sex= Female,class=1,0.875,0.9375,-0.0625,0.9333333333333333,7.0,15.0
1666,"['education_num=1<x<4', 'relationship= Husband']",sex= Female,class=1,0.9090909090909091,0.967741935483871,-0.058651026392961936,0.9393939393939393,10.0,30.0
1437,"['fnlwgt=207731<x<394288', 'race= Asian_Pac_Islander', 'workcla= Self_emp_not_inc']",sex= Female,class=1,0.875,0.9333333333333333,-0.05833333333333335,0.9375,7.0,14.0
654,"['race= White', 'relationship= Wife', 'workcla= Private']",sex= Female,class=1,0.875,0.9285714285714286,-0.0535714285714286,0.9423076923076923,7.0,13.0
