workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
 Private, 9th, Other_relative, Black, Male, United_States,53<x<71,394288<x<580845,x>12,1<x<25,1
 Self_emp_inc, Prof_school, Own_child, Amer_Indian_Eskimo, Female, France,17<x<35,207731<x<394288,x>12,25<x<50,1
 Federal_gov, 1st_4th, Not_in_family, Other, Female, Haiti,53<x<71,207731<x<394288,8<x<12,x>74,1
 State_gov, Assoc_voc, Unmarried, Other, Male, China,x>71,21174<x<207731,x<1,1<x<25,1
 Federal_gov, 1st_4th, Husband, Black, Female, Poland,x>71,21174<x<207731,x>12,1<x<25,1
 State_gov, Preschool, Wife, Black, Female, United_States,35<x<53,21174<x<207731,8<x<12,25<x<50,1
 Self_emp_not_inc, Preschool, Unmarried, White, Female, Mexico,17<x<35,207731<x<394288,1<x<4,25<x<50,1
 State_gov, Some_college, Unmarried, Black, Male, Philippines,x>71,x>580845,4<x<8,50<x<74,1
 State_gov, 10th, Other_relative, Black, Female, Guatemala,53<x<71,207731<x<394288,x>12,1<x<25,1
 Federal_gov, 9th, Other_relative, White, Male, Cambodia,x>71,207731<x<394288,x>12,25<x<50,1
 Federal_gov, HS_grad, Not_in_family, White, Male, Honduras,35<x<53,207731<x<394288,4<x<8,25<x<50,1
 Self_emp_not_inc, Prof_school, Other_relative, White, Male, El_Salvador,53<x<71,21174<x<207731,x>12,25<x<50,1
 Federal_gov, Doctorate, Husband, Other, Male, Cambodia,17<x<35,21174<x<207731,x<1,25<x<50,1
 Local_gov, 10th, Not_in_family, Asian_Pac_Islander, Male, Japan,17<x<35,21174<x<207731,4<x<8,1<x<25,1
 Self_emp_not_inc, Prof_school, Own_child, Black, Female, Italy,53<x<71,21174<x<207731,1<x<4,25<x<50,1
 State_gov, HS_grad, Other_relative, Asian_Pac_Islander, Male, Columbia,35<x<53,21174<x<207731,x>12,25<x<50,1
 Self_emp_not_inc, Some_college, Own_child, Black, Female, Jamaica,35<x<53,394288<x<580845,1<x<4,25<x<50,1
 Federal_gov, 5th_6th, Unmarried, Amer_Indian_Eskimo, Male, South,53<x<71,21174<x<207731,x>12,25<x<50,1
 Self_emp_inc, 5th_6th, Husband, Other, Female, El_Salvador,35<x<53,394288<x<580845,x>12,1<x<25,1
 Self_emp_inc, 1st_4th, Own_child, White, Female, India,35<x<53,21174<x<207731,x>12,50<x<74,1
 Federal_gov, 12th, Wife, White, Female, Yugoslavia,35<x<53,207731<x<394288,x>12,1<x<25,1
 State_gov, Doctorate, Other_relative, Black, Male, France,35<x<53,207731<x<394288,8<x<12,25<x<50,1
 Local_gov, Doctorate, Not_in_family, Other, Male, Cambodia,53<x<71,207731<x<394288,8<x<12,50<x<74,1
 Self_emp_not_inc, HS_grad, Unmarried, White, Male, Iran,35<x<53,21174<x<207731,8<x<12,25<x<50,1
