,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
198,"['euribor3m=0.634<x<1.634', 'age=57<x<77', 'duration=x<0']",marital=divorced,class=no,0.625,0.8260869565217391,0.756578947368421,5.0,19.0
412,"['previous=1<x<3', 'education=basic.4y']",marital=divorced,class=no,0.6666666666666666,0.8780487804878049,0.7592592592592592,8.0,36.0
424,"['age=x>77', 'month=dec']",marital=divorced,class=no,0.625,0.7931034482758621,0.7880434782608695,5.0,23.0
419,"['day_of_week=tue', 'education=basic.4y']",marital=divorced,class=no,0.6666666666666666,0.8333333333333334,0.7999999999999999,6.0,20.0
498,"['euribor3m=0.634<x<1.634', 'age=57<x<77', 'day_of_week=thu']",marital=divorced,class=no,0.625,0.7777777777777778,0.8035714285714286,5.0,14.0
180,"['age=x>77', 'job=services']",marital=divorced,class=no,0.75,0.9285714285714286,0.8076923076923077,6.0,26.0
544,"['education=basic.4y', 'job=retired']",marital=divorced,class=no,0.625,0.7647058823529411,0.8173076923076924,5.0,13.0
467,"['euribor3m=0.634<x<1.634', 'previous=1<x<3', 'age=17<x<37']",marital=divorced,class=no,0.7142857142857143,0.8636363636363636,0.8270676691729323,5.0,19.0
26,"['euribor3m=0.634<x<1.634', 'duration=x<0', 'previous=1<x<3']",marital=divorced,class=no,0.7777777777777778,0.9354838709677419,0.8314176245210728,7.0,29.0
506,"['duration=x<0', 'previous=1<x<3', 'day_of_week=thu']",marital=divorced,class=no,0.7142857142857143,0.8571428571428571,0.8333333333333334,5.0,12.0
367,"['euribor3m=0.634<x<1.634', 'job=technician']",marital=divorced,class=no,0.7777777777777778,0.9333333333333333,0.8333333333333334,7.0,28.0
76,"['day_of_week=thu', 'month=aug']",marital=divorced,class=no,0.7692307692307693,0.9166666666666666,0.8391608391608393,10.0,33.0
695,"['day_of_week=thu', 'education=professional.course']",marital=divorced,class=no,0.75,0.8888888888888888,0.84375,6.0,24.0
86,"['euribor3m=0.634<x<1.634', 'previous=0<x<1', 'month=aug']",marital=divorced,class=no,0.7142857142857143,0.8461538461538461,0.8441558441558442,5.0,11.0
505,"['age=57<x<77', 'previous=1<x<3', 'day_of_week=thu']",marital=divorced,class=no,0.7,0.8235294117647058,0.85,7.0,14.0
502,"['euribor3m=0.634<x<1.634', 'duration=x<0', 'day_of_week=thu']",marital=divorced,class=no,0.7142857142857143,0.8333333333333334,0.8571428571428571,5.0,10.0
791,"['day_of_week=thu', 'job=blue-collar']",marital=divorced,class=no,0.7142857142857143,0.8333333333333334,0.8571428571428571,5.0,15.0
423,"['duration=x<0', 'month=dec']",marital=divorced,class=no,0.7272727272727273,0.8461538461538461,0.859504132231405,8.0,22.0
647,"['pdays=x>749', 'age=x>77', 'day_of_week=tue']",marital=divorced,class=no,0.7142857142857143,0.8235294117647058,0.8673469387755103,5.0,14.0
699,"['previous=1<x<3', 'education=professional.course']",marital=divorced,class=no,0.8333333333333334,0.96,0.8680555555555556,5.0,24.0
368,"['duration=x<0', 'job=technician']",marital=divorced,class=no,0.8333333333333334,0.9565217391304348,0.8712121212121212,5.0,22.0
501,"['age=57<x<77', 'duration=x<0', 'day_of_week=thu']",marital=divorced,class=no,0.5555555555555556,0.6363636363636364,0.873015873015873,5.0,7.0
35,"['euribor3m=0.634<x<1.634', 'previous=1<x<3', 'day_of_week=fri']",marital=divorced,class=no,0.8333333333333334,0.95,0.8771929824561404,5.0,19.0
433,"['day_of_week=fri', 'month=dec']",marital=divorced,class=no,0.8333333333333334,0.95,0.8771929824561404,5.0,19.0
500,"['duration=x<0', 'day_of_week=thu']",marital=divorced,class=no,0.8,0.9111111111111111,0.878048780487805,16.0,41.0
404,"['age=x>77', 'education=basic.4y']",marital=divorced,class=no,0.8181818181818182,0.9310344827586207,0.8787878787878789,9.0,27.0
496,"['age=57<x<77', 'day_of_week=thu']",marital=divorced,class=no,0.75,0.8524590163934426,0.8798076923076924,18.0,52.0
72,"['euribor3m=0.634<x<1.634', 'month=aug']",marital=divorced,class=no,0.7857142857142857,0.8918918918918919,0.8809523809523809,11.0,33.0
184,"['day_of_week=tue', 'job=services']",marital=divorced,class=no,0.8333333333333334,0.9444444444444444,0.8823529411764707,5.0,17.0
672,"['duration=x<0', 'age=37<x<57', 'day_of_week=tue']",marital=divorced,class=no,0.8333333333333334,0.9375,0.888888888888889,5.0,15.0
136,"['age=57<x<77', 'previous=1<x<3', 'duration=0<x<1229']",marital=divorced,class=no,0.8333333333333334,0.9375,0.888888888888889,5.0,15.0
147,"['pdays=x<0', 'age=17<x<37', 'duration=0<x<1229']",marital=divorced,class=no,0.8333333333333334,0.9375,0.888888888888889,5.0,15.0
736,"['day_of_week=wed', 'education=basic.6y']",marital=divorced,class=no,0.7777777777777778,0.8717948717948718,0.8921568627450981,7.0,34.0
758,"['euribor3m=0.634<x<1.634', 'month=sep']",marital=divorced,class=no,0.8,0.896551724137931,0.8923076923076924,8.0,26.0
135,"['euribor3m=0.634<x<1.634', 'previous=1<x<3', 'duration=0<x<1229']",marital=divorced,class=no,0.7142857142857143,0.8,0.8928571428571428,5.0,16.0
770,"['education=illiterate', 'month=sep']",marital=divorced,class=no,0.8333333333333334,0.9333333333333333,0.8928571428571429,5.0,14.0
197,"['age=57<x<77', 'duration=x<0']",marital=divorced,class=no,0.75,0.8387096774193549,0.8942307692307692,15.0,52.0
828,"['education=basic.4y', 'job=unemployed']",marital=divorced,class=no,0.8333333333333334,0.9285714285714286,0.8974358974358975,5.0,13.0
528,"['age=57<x<77', 'duration=1229<x<2459', 'day_of_week=thu']",marital=divorced,class=no,0.8333333333333334,0.9285714285714286,0.8974358974358975,5.0,13.0
760,"['pdays=x<0', 'previous=1<x<3', 'month=sep']",marital=divorced,class=no,0.8333333333333334,0.9285714285714286,0.8974358974358975,5.0,13.0
563,"['pdays=x>749', 'education=illiterate']",marital=divorced,class=no,0.8571428571428571,0.9545454545454546,0.8979591836734693,12.0,42.0
396,"['pdays=x>749', 'previous=3<x<5', 'age=x>77']",marital=divorced,class=no,0.8571428571428571,0.9545454545454546,0.8979591836734693,6.0,21.0
786,"['duration=x<0', 'job=blue-collar']",marital=divorced,class=no,0.7777777777777778,0.8636363636363636,0.9005847953216374,7.0,19.0
194,"['euribor3m=0.634<x<1.634', 'duration=x<0']",marital=divorced,class=no,0.8214285714285714,0.9102564102564102,0.9024144869215291,23.0,71.0
417,"['pdays=x>749', 'duration=1229<x<2459', 'education=basic.4y']",marital=divorced,class=no,0.8333333333333334,0.9230769230769231,0.9027777777777778,5.0,12.0
15,"['age=57<x<77', 'previous=1<x<3']",marital=divorced,class=no,0.8095238095238095,0.8955223880597015,0.903968253968254,17.0,60.0
357,"['previous=0<x<1', 'month=mar']",marital=divorced,class=no,0.8333333333333334,0.92,0.9057971014492754,5.0,23.0
435,"['pdays=x>749', 'month=dec']",marital=divorced,class=no,0.8333333333333334,0.9166666666666666,0.9090909090909092,10.0,33.0
45,"['duration=x<0', 'previous=0<x<1', 'day_of_week=fri']",marital=divorced,class=no,0.8333333333333334,0.9166666666666666,0.9090909090909092,5.0,11.0
164,"['duration=x<0', 'previous=3<x<5', 'education=basic.9y']",marital=divorced,class=no,0.8333333333333334,0.9166666666666666,0.9090909090909092,5.0,11.0
653,"['previous=3<x<5', 'age=x>77', 'day_of_week=tue']",marital=divorced,class=no,0.8571428571428571,0.9411764705882353,0.9107142857142857,6.0,16.0
464,"['euribor3m=0.634<x<1.634', 'duration=x<0', 'age=17<x<37']",marital=divorced,class=no,0.8571428571428571,0.9375,0.9142857142857143,6.0,15.0
405,"['pdays=x>749', 'age=x>77', 'education=basic.4y']",marital=divorced,class=no,0.8333333333333334,0.9090909090909091,0.9166666666666667,5.0,10.0
575,"['duration=x<0', 'day_of_week=thu', 'education=illiterate']",marital=divorced,class=no,0.8333333333333334,0.9090909090909091,0.9166666666666667,5.0,10.0
652,"['duration=1229<x<2459', 'age=x>77', 'day_of_week=tue']",marital=divorced,class=no,0.8571428571428571,0.9333333333333333,0.9183673469387754,6.0,14.0
