,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
423,"['poutcome=success', 'duration=1229<x<2459']",marital=divorced,class=yes,0.17142857142857143,0.3626373626373626,0.4727272727272728,6.0,33.0
0,['pdays=x>749'],marital=divorced,class=yes,0.058823529411764705,0.12312312312312312,0.4777618364418938,7.0,41.0
1221,['month=nov'],marital=divorced,class=yes,0.17857142857142858,0.3333333333333333,0.5357142857142858,5.0,36.0
3,"['pdays=x>749', 'euribor3m=0.634<x<1.634']",marital=divorced,class=yes,0.11363636363636363,0.2066115702479339,0.5499999999999999,5.0,25.0
96,"['pdays=0<x<249', 'age=17<x<37']",marital=divorced,class=yes,0.19230769230769232,0.3493975903614458,0.5503978779840849,5.0,29.0
1106,"['duration=1229<x<2459', 'day_of_week=tue']",marital=divorced,class=yes,0.23809523809523808,0.43137254901960786,0.5519480519480519,5.0,22.0
640,"['duration=1229<x<2459', 'previous=0<x<1']",marital=divorced,class=yes,0.2222222222222222,0.39344262295081966,0.5648148148148148,6.0,24.0
743,"['duration=1229<x<2459', 'day_of_week=fri']",marital=divorced,class=yes,0.21739130434782608,0.3793103448275862,0.5731225296442688,5.0,22.0
460,"['previous=x<0', 'age=37<x<57']",marital=divorced,class=yes,0.25,0.4,0.625,7.0,26.0
1737,"['poutcome=failure', 'day_of_week=mon']",marital=divorced,class=yes,0.20689655172413793,0.3188405797101449,0.6489028213166145,6.0,22.0
1147,"['previous=1<x<3', 'day_of_week=tue']",marital=divorced,class=yes,0.3125,0.4782608695652174,0.6534090909090909,5.0,22.0
2042,"['day_of_week=thu', 'month=may']",marital=divorced,class=no,0.5,0.7619047619047619,0.65625,5.0,16.0
1133,"['previous=0<x<1', 'day_of_week=tue']",marital=divorced,class=yes,0.22727272727272727,0.34615384615384615,0.6565656565656566,5.0,18.0
1081,"['age=57<x<77', 'day_of_week=tue']",marital=divorced,class=yes,0.3125,0.475,0.6578947368421053,5.0,19.0
1743,"['previous=x<0', 'day_of_week=mon']",marital=divorced,class=yes,0.24,0.359375,0.6678260869565217,6.0,23.0
1316,"['pdays=x<0', 'education=high.school']",marital=divorced,class=yes,0.42857142857142855,0.6415094339622641,0.6680672268907563,6.0,34.0
76,['age=17<x<37'],marital=divorced,class=yes,0.20512820512820512,0.29880478087649404,0.6864957264957264,16.0,75.0
1760,"['age=57<x<77', 'day_of_week=mon']",marital=divorced,class=yes,0.22580645161290322,0.32857142857142857,0.6872370266479664,7.0,23.0
1266,['euribor3m=x>3.634'],marital=divorced,class=yes,0.05042016806722689,0.07317073170731707,0.689075630252101,6.0,24.0
1975,['job=management'],marital=divorced,class=yes,0.2962962962962963,0.42718446601941745,0.6936026936026936,8.0,44.0
782,"['euribor3m=0.634<x<1.634', 'education=basic.4y']",marital=divorced,class=yes,0.35294117647058826,0.5087719298245614,0.6937119675456389,6.0,29.0
621,"['euribor3m=0.634<x<1.634', 'previous=0<x<1']",marital=divorced,class=yes,0.3333333333333333,0.47619047619047616,0.7,9.0,40.0
316,"['day_of_week=mon', 'job=student']",marital=divorced,class=yes,0.5,0.7083333333333334,0.7058823529411764,5.0,17.0
1171,"['previous=0<x<1', 'education=basic.9y']",marital=divorced,class=yes,0.35294117647058826,0.5,0.7058823529411765,6.0,19.0
652,"['age=17<x<37', 'previous=0<x<1']",marital=divorced,class=yes,0.20833333333333334,0.29411764705882354,0.7083333333333334,5.0,20.0
692,"['euribor3m=0.634<x<1.634', 'day_of_week=fri']",marital=divorced,class=yes,0.4230769230769231,0.5972222222222222,0.7084078711985689,11.0,43.0
929,"['pdays=x<0', 'month=apr']",marital=divorced,class=yes,0.4117647058823529,0.5789473684210527,0.7112299465240641,7.0,22.0
1034,"['poutcome=success', 'duration=0<x<1229']",marital=divorced,class=yes,0.30434782608695654,0.4268292682926829,0.7130434782608697,7.0,35.0
1163,"['duration=1229<x<2459', 'education=basic.9y']",marital=divorced,class=yes,0.3125,0.4375,0.7142857142857143,5.0,14.0
448,"['poutcome=success', 'euribor3m=0.634<x<1.634', 'age=37<x<57']",marital=divorced,class=yes,0.35714285714285715,0.5,0.7142857142857143,5.0,13.0
163,"['euribor3m=0.634<x<1.634', 'age=x>77', 'duration=x<0']",marital=divorced,class=yes,0.5,0.6956521739130435,0.71875,5.0,16.0
2021,"['pdays=0<x<249', 'poutcome=failure', 'month=may']",marital=divorced,class=no,0.5555555555555556,0.7647058823529411,0.7264957264957266,5.0,13.0
1874,['month=oct'],marital=divorced,class=yes,0.22727272727272727,0.3116883116883117,0.7291666666666666,5.0,24.0
777,['education=basic.4y'],marital=divorced,class=yes,0.2916666666666667,0.4,0.7291666666666666,14.0,62.0
1091,"['euribor3m=0.634<x<1.634', 'day_of_week=tue']",marital=divorced,class=no,0.2631578947368421,0.36065573770491804,0.7296650717703349,5.0,22.0
1011,"['pdays=0<x<249', 'euribor3m=0.634<x<1.634', 'age=57<x<77']",marital=divorced,class=yes,0.5555555555555556,0.76,0.7309941520467836,5.0,19.0
901,"['euribor3m=0.634<x<1.634', 'month=apr']",marital=divorced,class=yes,0.4444444444444444,0.6060606060606061,0.7333333333333333,8.0,20.0
662,"['age=57<x<77', 'previous=0<x<1']",marital=divorced,class=yes,0.2962962962962963,0.4032258064516129,0.7348148148148148,8.0,25.0
1572,"['poutcome=failure', 'day_of_week=wed']",marital=divorced,class=yes,0.3333333333333333,0.4528301886792453,0.736111111111111,5.0,24.0
1457,"['poutcome=failure', 'age=x>77']",marital=divorced,class=yes,0.36363636363636365,0.4925373134328358,0.7382920110192838,8.0,33.0
404,"['euribor3m=0.634<x<1.634', 'previous=x<0', 'duration=1229<x<2459']",marital=divorced,class=yes,0.45454545454545453,0.6153846153846154,0.7386363636363635,5.0,16.0
1519,"['poutcome=failure', 'previous=1<x<3']",marital=divorced,class=yes,0.1875,0.2535211267605634,0.7395833333333334,6.0,18.0
39,"['euribor3m=0.634<x<1.634', 'previous=3<x<5']",marital=divorced,class=no,0.3125,0.4222222222222222,0.7401315789473685,10.0,38.0
416,['duration=1229<x<2459'],marital=divorced,class=yes,0.29896907216494845,0.403921568627451,0.740166149534581,29.0,103.0
1029,"['age=57<x<77', 'duration=0<x<1229']",marital=divorced,class=yes,0.2608695652173913,0.352112676056338,0.7408695652173913,6.0,25.0
1324,"['previous=0<x<1', 'education=high.school']",marital=divorced,class=yes,0.4117647058823529,0.5555555555555556,0.7411764705882352,7.0,20.0
78,"['poutcome=success', 'age=17<x<37']",marital=divorced,class=yes,0.25,0.3372093023255814,0.7413793103448276,6.0,29.0
365,"['euribor3m=0.634<x<1.634', 'poutcome=failure', 'previous=x<0']",marital=divorced,class=yes,0.45454545454545453,0.6129032258064516,0.7416267942583732,5.0,19.0
1365,"['previous=3<x<5', 'education=high.school']",marital=divorced,class=no,0.46153846153846156,0.6216216216216216,0.7424749163879599,6.0,23.0
285,"['duration=1229<x<2459', 'education=basic.6y']",marital=divorced,class=yes,0.29411764705882354,0.3953488372093023,0.7439446366782008,5.0,17.0
1049,"['pdays=0<x<249', 'duration=0<x<1229']",marital=divorced,class=yes,0.34375,0.46153846153846156,0.7447916666666666,11.0,42.0
435,"['age=x>77', 'duration=1229<x<2459']",marital=divorced,class=yes,0.35,0.4696969696969697,0.7451612903225806,7.0,31.0
1122,"['age=17<x<37', 'day_of_week=tue']",marital=divorced,class=yes,0.2631578947368421,0.35294117647058826,0.7456140350877192,5.0,18.0
615,['previous=0<x<1'],marital=divorced,class=yes,0.26436781609195403,0.3541666666666667,0.7464503042596349,23.0,85.0
45,"['pdays=0<x<249', 'poutcome=failure', 'previous=3<x<5']",marital=divorced,class=no,0.38461538461538464,0.5142857142857142,0.747863247863248,5.0,18.0
984,"['duration=1229<x<2459', 'age=57<x<77']",marital=divorced,class=yes,0.3448275862068966,0.4603174603174603,0.7491082045184305,10.0,29.0
1794,"['pdays=x<0', 'day_of_week=mon']",marital=divorced,class=yes,0.36,0.4794520547945205,0.7508571428571429,9.0,35.0
146,"['poutcome=success', 'duration=x<0']",marital=divorced,class=no,0.4827586206896552,0.6428571428571429,0.7509578544061303,14.0,54.0
314,['job=student'],marital=divorced,class=yes,0.4074074074074074,0.5411764705882353,0.7528180354267311,11.0,46.0
1286,"['previous=3<x<5', 'duration=2459<x<3688']",marital=divorced,class=yes,0.35,0.4626865671641791,0.7564516129032257,7.0,31.0
260,"['euribor3m=0.634<x<1.634', 'education=basic.6y']",marital=divorced,class=yes,0.42857142857142855,0.5652173913043478,0.7582417582417582,6.0,26.0
947,"['pdays=x<0', 'age=57<x<77']",marital=divorced,class=yes,0.4375,0.5764705882352941,0.7589285714285715,14.0,49.0
387,"['pdays=x<0', 'duration=1229<x<2459']",marital=divorced,class=yes,0.4,0.5257731958762887,0.7607843137254902,12.0,51.0
1721,"['day_of_week=tue', 'job=technician']",marital=divorced,class=yes,0.5555555555555556,0.7272727272727273,0.763888888888889,5.0,16.0
155,"['age=37<x<57', 'duration=x<0']",marital=divorced,class=no,0.47058823529411764,0.6153846153846154,0.7647058823529411,8.0,32.0
1059,"['previous=x<0', 'duration=0<x<1229']",marital=divorced,class=yes,0.32,0.4177215189873418,0.7660606060606061,8.0,33.0
936,"['age=57<x<77', 'month=apr']",marital=divorced,class=yes,0.38461538461538464,0.5,0.7692307692307693,5.0,16.0
1001,"['duration=2459<x<3688', 'age=57<x<77']",marital=divorced,class=yes,0.4117647058823529,0.5344827586206896,0.7703984819734345,7.0,31.0
1079,"['previous=3<x<5', 'day_of_week=tue']",marital=divorced,class=no,0.35714285714285715,0.4634146341463415,0.7706766917293233,5.0,19.0
