gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,raisedhands,VisITedResources,AnnouncementsView,Discussion,class
F,KW,venzuela,MiddleSchool,G-05,C,Spanish,F,Father,No,Bad,Under-7,0<x<25,49<x<74,0<x<24,x>74,2
F,Morocco,Iraq,lowerlevel,G-05,B,Biology,S,Father,Yes,Good,Under-7,25<x<50,49<x<74,x>73,1<x<25,2
M,USA,Morocco,MiddleSchool,G-12,C,Biology,F,Mum,No,Bad,Above-7,x>75,0<x<24,x>73,1<x<25,1
F,Egypt,Jordan,HighSchool,G-02,A,Arabic,F,Mum,No,Bad,Under-7,0<x<25,49<x<74,x>73,1<x<25,2
F,SaudiArabia,Egypt,MiddleSchool,G-02,A,Arabic,F,Mum,Yes,Bad,Above-7,x>75,24<x<49,x>73,x>74,1
M,Syria,lebanon,lowerlevel,G-02,B,Science,F,Mum,Yes,Good,Above-7,50<x<75,0<x<24,49<x<73,x>74,1
M,Iran,Lybia,MiddleSchool,G-10,B,Math,F,Father,No,Good,Above-7,0<x<25,49<x<74,49<x<73,50<x<74,2
F,lebanon,lebanon,MiddleSchool,G-12,A,Chemistry,S,Father,No,Bad,Above-7,0<x<25,24<x<49,x>73,x>74,1
F,SaudiArabia,Lybia,HighSchool,G-09,C,Arabic,S,Mum,No,Good,Under-7,x>75,49<x<74,24<x<49,25<x<50,0
M,Syria,USA,lowerlevel,G-11,B,Chemistry,S,Mum,No,Good,Above-7,x<0,49<x<74,24<x<49,25<x<50,1
F,Tunis,KuwaIT,HighSchool,G-04,C,Arabic,S,Mum,No,Bad,Above-7,25<x<50,0<x<24,x>73,50<x<74,1
F,venzuela,venzuela,lowerlevel,G-06,A,Chemistry,S,Father,Yes,Good,Under-7,50<x<75,x>74,0<x<24,25<x<50,0
F,Lybia,KuwaIT,HighSchool,G-05,C,History,S,Mum,No,Bad,Under-7,0<x<25,0<x<24,0<x<24,50<x<74,0
M,KW,SaudiArabia,lowerlevel,G-05,A,English,F,Father,No,Good,Above-7,50<x<75,0<x<24,49<x<73,50<x<74,1
M,USA,Palestine,lowerlevel,G-09,C,Math,F,Mum,Yes,Bad,Under-7,0<x<25,x>74,x>73,50<x<74,0
F,USA,Palestine,lowerlevel,G-12,B,Math,F,Father,No,Good,Under-7,0<x<25,x>74,24<x<49,1<x<25,2
F,Tunis,Iran,MiddleSchool,G-04,A,Spanish,F,Mum,No,Good,Under-7,0<x<25,24<x<49,0<x<24,1<x<25,2
F,Tunis,Tunis,lowerlevel,G-11,C,English,F,Father,No,Good,Under-7,50<x<75,49<x<74,49<x<73,50<x<74,2
M,Iraq,Lybia,HighSchool,G-07,A,Chemistry,F,Father,No,Bad,Above-7,x>75,x>74,24<x<49,25<x<50,2
M,Egypt,lebanon,lowerlevel,G-12,C,Quran,S,Father,No,Bad,Above-7,0<x<25,49<x<74,24<x<49,50<x<74,1
F,Tunis,Syria,HighSchool,G-12,B,Math,F,Mum,Yes,Bad,Under-7,25<x<50,0<x<24,x>73,50<x<74,2
F,Iran,KuwaIT,lowerlevel,G-06,C,Spanish,F,Mum,Yes,Good,Above-7,0<x<25,49<x<74,49<x<73,25<x<50,2
