id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,pdays,previous,class
0,admin.,divorced,primary,no,yes,no,unknown,jul,other,x>75,-1944<x<18843,1<x<8,971<x<1941,1<x<16,212<x<426,0<x<14,yes
1,entrepreneur,divorced,primary,no,yes,no,telephone,apr,failure,x>75,-1944<x<18843,1<x<8,2<x<971,16<x<32,212<x<426,0<x<14,no
2,admin.,divorced,primary,no,no,yes,telephone,jun,other,x>75,-1944<x<18843,16<x<23,2<x<971,16<x<32,212<x<426,0<x<14,yes
3,admin.,divorced,unknown,yes,no,no,telephone,jun,failure,56<x<75,-1944<x<18843,x<8,2<x<971,1<x<16,-1<x<212,29<x<43,yes
4,student,married,unknown,yes,no,yes,telephone,jul,success,x>75,-1944<x<18843,8<x<16,971<x<1941,1<x<16,212<x<426,14<x<29,no
5,unknown,single,tertiary,no,no,yes,cellular,sep,failure,56<x<75,-1944<x<18843,8<x<16,2<x<971,1<x<16,426<x<640,0<x<14,yes
6,unemployed,divorced,primary,yes,yes,no,telephone,apr,failure,37<x<56,-1944<x<18843,x>23,2<x<971,1<x<16,212<x<426,x<14,no
7,management,single,tertiary,yes,yes,yes,unknown,mar,unknown,56<x<75,-1944<x<18843,16<x<23,2<x<971,1<x<16,-1<x<212,14<x<29,no
8,management,married,tertiary,yes,no,no,telephone,jul,success,37<x<56,-1944<x<18843,1<x<8,2<x<971,16<x<32,212<x<426,14<x<29,yes
9,blue-collar,divorced,tertiary,yes,yes,yes,unknown,jun,success,56<x<75,-1944<x<18843,1<x<8,971<x<1941,32<x<47,-1<x<212,0<x<14,yes
10,housemaid,divorced,secondary,no,no,yes,cellular,jan,success,56<x<75,-1944<x<18843,x>23,2<x<971,1<x<16,426<x<640,0<x<14,no
11,technician,single,unknown,no,yes,yes,telephone,apr,failure,x>75,18843<x<39630,x>23,2<x<971,16<x<32,212<x<426,14<x<29,yes
12,unemployed,married,unknown,yes,yes,no,unknown,mar,unknown,37<x<56,-1944<x<18843,x>23,2<x<971,1<x<16,426<x<640,14<x<29,no
13,admin.,single,unknown,no,yes,yes,unknown,apr,other,18<x<37,-1944<x<18843,1<x<8,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
