id,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,pdays,previous,class
0,student,married,tertiary,yes,yes,no,telephone,aug,failure,18<x<37,-2712<x<18267,x>23,2<x<971,16<x<32,-1<x<212,14<x<29,no
1,blue-collar,divorced,secondary,no,yes,yes,telephone,jan,success,37<x<56,-2712<x<18267,8<x<16,971<x<1941,16<x<32,212<x<426,0<x<14,yes
2,blue-collar,divorced,primary,no,yes,no,cellular,dec,other,18<x<37,-2712<x<18267,1<x<8,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
3,student,divorced,primary,no,yes,no,unknown,may,unknown,18<x<37,-2712<x<18267,x>23,2<x<971,x<16,-1<x<212,14<x<29,no
4,unemployed,divorced,secondary,no,yes,no,unknown,sep,success,37<x<56,-2712<x<18267,8<x<16,2<x<971,16<x<32,212<x<426,0<x<14,no
5,unemployed,married,tertiary,yes,yes,no,telephone,jan,other,56<x<75,-2712<x<18267,8<x<16,2<x<971,16<x<32,-1<x<212,14<x<29,no
6,student,divorced,primary,yes,no,yes,cellular,aug,success,x<37,-2712<x<18267,8<x<16,971<x<1941,16<x<32,x>640,14<x<29,yes
7,unemployed,divorced,tertiary,no,no,no,unknown,mar,other,18<x<37,-2712<x<18267,16<x<23,971<x<1941,16<x<32,426<x<640,0<x<14,yes
8,management,divorced,unknown,no,no,yes,telephone,dec,other,37<x<56,x<18267,16<x<23,2<x<971,16<x<32,212<x<426,14<x<29,no
9,student,divorced,tertiary,no,no,no,cellular,mar,success,56<x<75,-2712<x<18267,1<x<8,971<x<1941,1<x<16,212<x<426,0<x<14,yes
10,technician,married,unknown,yes,yes,no,cellular,sep,unknown,x>75,-2712<x<18267,1<x<8,2<x<971,16<x<32,x>640,14<x<29,no
11,blue-collar,single,unknown,yes,no,no,telephone,sep,unknown,x<37,-2712<x<18267,1<x<8,2<x<971,x>47,x<212,0<x<14,no
12,blue-collar,single,secondary,no,yes,no,cellular,jul,failure,56<x<75,-2712<x<18267,16<x<23,2<x<971,1<x<16,426<x<640,14<x<29,yes
13,services,married,tertiary,no,yes,yes,cellular,apr,success,37<x<56,-2712<x<18267,1<x<8,2<x<971,1<x<16,212<x<426,14<x<29,no
14,entrepreneur,divorced,tertiary,yes,no,yes,cellular,sep,failure,37<x<56,-2712<x<18267,16<x<23,2<x<971,1<x<16,-1<x<212,0<x<14,yes
15,unknown,single,primary,yes,yes,no,cellular,sep,unknown,x>75,-2712<x<18267,1<x<8,2<x<971,32<x<47,-1<x<212,14<x<29,yes
16,retired,married,secondary,yes,yes,yes,telephone,may,success,56<x<75,-2712<x<18267,1<x<8,2<x<971,16<x<32,212<x<426,14<x<29,no
17,services,single,secondary,yes,yes,yes,unknown,dec,success,37<x<56,-2712<x<18267,1<x<8,971<x<1941,16<x<32,-1<x<212,0<x<14,yes
18,blue-collar,single,unknown,no,no,yes,unknown,apr,unknown,56<x<75,-2712<x<18267,x>23,971<x<1941,16<x<32,-1<x<212,29<x<43,yes
19,admin.,married,primary,no,no,no,telephone,nov,failure,18<x<37,-2712<x<18267,8<x<16,971<x<1941,1<x<16,-1<x<212,0<x<14,yes
20,unknown,divorced,unknown,no,no,no,cellular,feb,other,37<x<56,-2712<x<18267,1<x<8,2<x<971,1<x<16,212<x<426,0<x<14,yes
21,student,married,tertiary,no,yes,no,telephone,feb,success,18<x<37,-2712<x<18267,16<x<23,2<x<971,1<x<16,212<x<426,0<x<14,yes
22,self-employed,married,tertiary,yes,yes,no,unknown,nov,success,56<x<75,-2712<x<18267,8<x<16,1941<x<2911,1<x<16,-1<x<212,14<x<29,yes
23,blue-collar,single,tertiary,no,no,no,unknown,oct,unknown,37<x<56,-2712<x<18267,x>23,971<x<1941,16<x<32,212<x<426,14<x<29,yes
24,admin.,married,primary,no,yes,yes,cellular,mar,failure,37<x<56,-2712<x<18267,16<x<23,2<x<971,1<x<16,-1<x<212,0<x<14,no
