workcla,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
 State_gov, Doctorate, Not_in_family, Asian_Pac_Islander, Male, Italy,17<x<35,21174<x<274186,8<x<12,25<x<50,1
 Private, Masters, Wife, Other, Female, Puerto_Rico,17<x<35,21174<x<274186,1<x<4,x<1,1
 Self_emp_not_inc, 12th, Unmarried, Black, Female, Yugoslavia,17<x<35,21174<x<274186,8<x<12,1<x<25,1
 State_gov, Assoc_acdm, Own_child, Black, Female, Mexico,53<x<71,21174<x<274186,8<x<12,x>74,1
 Federal_gov, Bachelors, Not_in_family, Black, Male, Puerto_Rico,x>71,21174<x<274186,8<x<12,x<1,1
 Self_emp_inc, Prof_school, Unmarried, Asian_Pac_Islander, Male, Portugal,35<x<53,274186<x<527198,4<x<8,1<x<25,1
 Private, 7th_8th, Not_in_family, White, Male, Thailand,53<x<71,21174<x<274186,8<x<12,25<x<50,1
 Local_gov, Prof_school, Unmarried, White, Male, Yugoslavia,17<x<35,21174<x<274186,x>12,x<1,1
 Federal_gov, Preschool, Not_in_family, Black, Male, Canada,35<x<53,21174<x<274186,x>12,1<x<25,1
 Federal_gov, Bachelors, Husband, Amer_Indian_Eskimo, Male, Canada,53<x<71,21174<x<274186,1<x<4,25<x<50,1
 Private, Masters, Husband, White, Female, Taiwan,17<x<35,21174<x<274186,8<x<12,1<x<25,1
 Local_gov, Prof_school, Wife, Asian_Pac_Islander, Male, Guatemala,53<x<71,21174<x<274186,4<x<8,1<x<25,1
 Local_gov, 5th_6th, Husband, Other, Female, South,x>71,274186<x<527198,4<x<8,25<x<50,1
 State_gov, HS_grad, Husband, Other, Female, Philippines,53<x<71,274186<x<527198,1<x<4,1<x<25,1
 Self_emp_not_inc, 11th, Husband, Black, Male, Canada,53<x<71,21174<x<274186,1<x<4,1<x<25,1
 State_gov, Preschool, Own_child, Amer_Indian_Eskimo, Male, United_States,17<x<35,21174<x<274186,1<x<4,1<x<25,1
 Self_emp_inc, 9th, Other_relative, Asian_Pac_Islander, Female, Ecuador,53<x<71,21174<x<274186,4<x<8,25<x<50,1
 Federal_gov, Assoc_voc, Other_relative, White, Female, Portugal,53<x<71,274186<x<527198,4<x<8,25<x<50,1
 State_gov, Preschool, Husband, Asian_Pac_Islander, Male, Columbia,x>71,274186<x<527198,x>12,50<x<74,1
 Self_emp_not_inc, Assoc_voc, Not_in_family, Black, Male, Dominican_Republic,x>71,21174<x<274186,4<x<8,25<x<50,1
 Self_emp_not_inc, HS_grad, Own_child, Asian_Pac_Islander, Female, Haiti,x<17,21174<x<274186,8<x<12,25<x<50,1
 Private, 12th, Wife, Asian_Pac_Islander, Female, Yugoslavia,x>71,21174<x<274186,x>12,1<x<25,1
 Local_gov, Assoc_voc, Unmarried, White, Female, Mexico,17<x<35,21174<x<274186,x>12,50<x<74,1
 Local_gov, Preschool, Own_child, Black, Male, Iran,x>71,21174<x<274186,4<x<8,50<x<74,1
 Federal_gov, 11th, Unmarried, Amer_Indian_Eskimo, Female, Puerto_Rico,17<x<35,21174<x<274186,4<x<8,1<x<25,1
 Private, Masters, Other_relative, Asian_Pac_Islander, Female, France,17<x<35,274186<x<527198,8<x<12,25<x<50,1
 Self_emp_inc, Some_college, Other_relative, Asian_Pac_Islander, Male, United_States,35<x<53,21174<x<274186,x>12,50<x<74,1
 Self_emp_not_inc, 9th, Wife, Asian_Pac_Islander, Female, United_States,17<x<35,21174<x<274186,8<x<12,25<x<50,1
 Local_gov, Assoc_acdm, Own_child, Asian_Pac_Islander, Female, Portugal,53<x<71,21174<x<274186,1<x<4,1<x<25,1
 Self_emp_not_inc, Some_college, Unmarried, Black, Female, Dominican_Republic,35<x<53,21174<x<274186,1<x<4,x<1,1
 Federal_gov, Assoc_acdm, Own_child, Asian_Pac_Islander, Male, Thailand,35<x<53,21174<x<274186,8<x<12,25<x<50,1
 Self_emp_inc, 5th_6th, Husband, White, Female, Germany,17<x<35,274186<x<527198,8<x<12,50<x<74,1
 Federal_gov, Assoc_voc, Husband, Asian_Pac_Islander, Female, Italy,x>71,21174<x<274186,8<x<12,1<x<25,1
 State_gov, 5th_6th, Unmarried, White, Male, Honduras,35<x<53,21174<x<274186,x>12,25<x<50,1
 Local_gov, HS_grad, Not_in_family, Other, Male, Jamaica,35<x<53,21174<x<274186,x>12,1<x<25,1
 Private, Preschool, Unmarried, Black, Male, Columbia,17<x<35,274186<x<527198,4<x<8,1<x<25,1
 Self_emp_not_inc, 10th, Other_relative, Other, Female, Honduras,17<x<35,21174<x<274186,4<x<8,50<x<74,1
 Local_gov, 11th, Not_in_family, Other, Male, Cambodia,17<x<35,21174<x<274186,x>12,25<x<50,1
 Self_emp_not_inc, Assoc_acdm, Husband, Amer_Indian_Eskimo, Female, India,17<x<35,21174<x<274186,x>12,50<x<74,1
 Local_gov, 11th, Husband, White, Female, India,17<x<35,21174<x<274186,1<x<4,25<x<50,1
 Federal_gov, 12th, Not_in_family, White, Male, South,35<x<53,21174<x<274186,x>12,1<x<25,1
 Local_gov, Bachelors, Other_relative, Other, Male, Ecuador,17<x<35,527198<x<780210,4<x<8,1<x<25,1
 Self_emp_inc, Assoc_voc, Husband, Black, Female, Poland,x>71,21174<x<274186,x>12,50<x<74,1
 Federal_gov, 9th, Wife, White, Male, Cuba,53<x<71,21174<x<274186,4<x<8,1<x<25,1
 Self_emp_not_inc, Doctorate, Husband, Asian_Pac_Islander, Male, Iran,17<x<35,21174<x<274186,x<1,1<x<25,1
 State_gov, Bachelors, Wife, White, Male, Mexico,17<x<35,21174<x<274186,x>12,25<x<50,1
 Private, 11th, Own_child, Amer_Indian_Eskimo, Female, Mexico,53<x<71,21174<x<274186,x>12,25<x<50,1
 Self_emp_not_inc, Bachelors, Other_relative, Asian_Pac_Islander, Male, Japan,53<x<71,21174<x<274186,x>12,50<x<74,1
 Self_emp_not_inc, Prof_school, Own_child, Asian_Pac_Islander, Male, France,17<x<35,21174<x<274186,4<x<8,x>74,1
 Self_emp_inc, Prof_school, Not_in_family, Other, Male, Ecuador,53<x<71,274186<x<527198,x>12,25<x<50,1
 Local_gov, 5th_6th, Husband, Other, Male, South,53<x<71,21174<x<274186,1<x<4,50<x<74,1
 Self_emp_not_inc, Doctorate, Own_child, Amer_Indian_Eskimo, Female, China,35<x<53,21174<x<274186,1<x<4,1<x<25,1
 Self_emp_inc, 10th, Not_in_family, White, Female, Yugoslavia,35<x<53,21174<x<274186,x>12,1<x<25,1
 Self_emp_inc, Assoc_voc, Wife, Amer_Indian_Eskimo, Male, Taiwan,35<x<53,21174<x<274186,1<x<4,x>74,1
 Local_gov, Masters, Unmarried, White, Female, Iran,17<x<35,21174<x<274186,8<x<12,x>74,1
 State_gov, HS_grad, Own_child, Black, Male, Cambodia,x>71,21174<x<274186,x>12,50<x<74,1
 Self_emp_inc, 11th, Unmarried, White, Female, Haiti,53<x<71,21174<x<274186,x>12,1<x<25,1
 Local_gov, Doctorate, Husband, Asian_Pac_Islander, Male, Philippines,35<x<53,21174<x<274186,4<x<8,25<x<50,1
 Local_gov, 5th_6th, Own_child, White, Male, Yugoslavia,53<x<71,21174<x<274186,4<x<8,25<x<50,1
 Local_gov, 11th, Other_relative, Other, Male, Yugoslavia,35<x<53,274186<x<527198,x>12,1<x<25,1
 State_gov, Bachelors, Husband, Other, Female, India,53<x<71,21174<x<274186,1<x<4,1<x<25,1
 Self_emp_inc, Masters, Husband, Amer_Indian_Eskimo, Female, Germany,17<x<35,21174<x<274186,1<x<4,25<x<50,1
 Federal_gov, 10th, Unmarried, White, Female, Haiti,17<x<35,21174<x<274186,8<x<12,25<x<50,1
 Local_gov, Some_college, Own_child, Amer_Indian_Eskimo, Female, Cuba,53<x<71,274186<x<527198,x>12,1<x<25,1
 Federal_gov, Some_college, Wife, Asian_Pac_Islander, Female, Iran,x>71,274186<x<527198,8<x<12,1<x<25,1
 Self_emp_not_inc, 1st_4th, Not_in_family, Amer_Indian_Eskimo, Female, India,x>71,21174<x<274186,4<x<8,50<x<74,1
 Self_emp_inc, 12th, Unmarried, Amer_Indian_Eskimo, Male, Poland,35<x<53,21174<x<274186,8<x<12,1<x<25,1
 Federal_gov, 7th_8th, Unmarried, Other, Male, El_Salvador,17<x<35,274186<x<527198,x<1,25<x<50,1
 Federal_gov, 5th_6th, Not_in_family, White, Male, Puerto_Rico,35<x<53,21174<x<274186,8<x<12,x>74,1
 Federal_gov, Masters, Own_child, Other, Male, Jamaica,17<x<35,21174<x<274186,8<x<12,1<x<25,1
 Federal_gov, 7th_8th, Own_child, Black, Female, Mexico,x>71,21174<x<274186,1<x<4,1<x<25,1
 Local_gov, 10th, Unmarried, Amer_Indian_Eskimo, Female, Mexico,53<x<71,21174<x<274186,8<x<12,25<x<50,1
 Local_gov, 1st_4th, Wife, Black, Female, England,35<x<53,21174<x<274186,4<x<8,50<x<74,1
 Self_emp_inc, 10th, Husband, Black, Female, Iran,35<x<53,21174<x<274186,4<x<8,1<x<25,1
 State_gov, Preschool, Unmarried, Amer_Indian_Eskimo, Male, Columbia,53<x<71,21174<x<274186,4<x<8,25<x<50,1
 State_gov, Prof_school, Own_child, Black, Male, Poland,53<x<71,21174<x<274186,4<x<8,50<x<74,1
 Self_emp_inc, Assoc_voc, Not_in_family, White, Male, Mexico,53<x<71,21174<x<274186,8<x<12,1<x<25,1
 Federal_gov, HS_grad, Other_relative, Black, Male, Thailand,17<x<35,21174<x<274186,1<x<4,1<x<25,1
 Self_emp_inc, 9th, Husband, Other, Female, Cuba,35<x<53,21174<x<274186,x>12,25<x<50,1
 State_gov, 10th, Unmarried, Black, Female, Canada,17<x<35,274186<x<527198,4<x<8,50<x<74,1
