id,workclass,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
0, Local_gov, 9th, Unmarried, Black, Male, Iran,53<x<71,274186<x<527198,1<x<4,1<x<25,LOW
1, Private, Bachelors, Other_relative, Black, Male, South,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
2, Local_gov, 7th_8th, Unmarried, White, Female, England,17<x<35,21174<x<274186,8<x<12,50<x<74,LOW
3, State_gov, Preschool, Not_in_family, Other, Male, Germany,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
4, Local_gov, Doctorate, Husband, Black, Male, Taiwan,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
5, State_gov, Masters, Unmarried, White, Female, United_States,35<x<53,21174<x<274186,8<x<12,50<x<74,LOW
6, Local_gov, HS_grad, Husband, Other, Male, Cambodia,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
7, Local_gov, 1st_4th, Other_relative, Other, Male, France,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
8, Federal_gov, Preschool, Other_relative, Other, Male, South,35<x<53,21174<x<274186,x>12,1<x<25,LOW
9, Self_emp_not_inc, Some_college, Husband, Amer_Indian_Eskimo, Female, France,35<x<53,274186<x<527198,x>12,50<x<74,HIGH
10, Local_gov, Masters, Wife, Other, Male, El_Salvador,53<x<71,21174<x<274186,x<4,50<x<74,LOW
11, Federal_gov, Assoc_voc, Other_relative, Amer_Indian_Eskimo, Female, Laos,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
12, Private, HS_grad, Wife, Black, Male, El_Salvador,17<x<35,21174<x<274186,x>12,1<x<25,LOW
13, Federal_gov, 11th, Husband, White, Male, England,35<x<53,21174<x<274186,8<x<12,25<x<50,LOW
14, Local_gov, 11th, Unmarried, Asian_Pac_Islander, Female, Columbia,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
15, Self_emp_not_inc, Assoc_voc, Own_child, Asian_Pac_Islander, Male, Cuba,53<x<71,21174<x<274186,x>12,25<x<50,LOW
16, State_gov, 11th, Unmarried, Other, Male, Dominican_Republic,x>71,21174<x<274186,1<x<4,50<x<74,LOW
17, Federal_gov, Masters, Own_child, White, Male, Canada,x>71,21174<x<274186,x>12,1<x<25,LOW
18, Local_gov, Doctorate, Husband, Other, Female, Jamaica,17<x<35,21174<x<274186,4<x<8,x>74,LOW
19, Self_emp_not_inc, Prof_school, Own_child, Asian_Pac_Islander, Male, India,53<x<71,21174<x<274186,x>12,50<x<74,LOW
20, Local_gov, 7th_8th, Own_child, Other, Female, South,53<x<71,21174<x<274186,4<x<8,x>74,LOW
21, Self_emp_inc, Bachelors, Unmarried, Other, Male, Ecuador,35<x<53,21174<x<274186,4<x<8,x>74,LOW
22, Private, Doctorate, Other_relative, Black, Female, Jamaica,x<35,274186<x<527198,1<x<4,25<x<50,LOW
23, Private, Bachelors, Unmarried, Black, Male, Honduras,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
24, Self_emp_not_inc, 7th_8th, Husband, Other, Male, India,35<x<53,21174<x<274186,x>12,25<x<50,HIGH
25, State_gov, Assoc_acdm, Wife, Asian_Pac_Islander, Male, Germany,x>71,21174<x<274186,1<x<4,50<x<74,LOW
26, Self_emp_inc, 9th, Other_relative, Amer_Indian_Eskimo, Male, Portugal,17<x<35,21174<x<274186,x>12,50<x<74,LOW
27, State_gov, Masters, Own_child, Black, Female, Guatemala,53<x<71,274186<x<527198,x>12,25<x<50,LOW
28, Self_emp_not_inc, 11th, Unmarried, Amer_Indian_Eskimo, Female, Dominican_Republic,53<x<71,21174<x<274186,4<x<8,50<x<74,LOW
29, State_gov, Prof_school, Unmarried, Other, Male, Ecuador,x>71,21174<x<274186,x<4,1<x<25,LOW
30, State_gov, 11th, Other_relative, Amer_Indian_Eskimo, Male, Jamaica,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
31, Local_gov, 11th, Own_child, Black, Female, Laos,17<x<35,21174<x<274186,x>12,25<x<50,LOW
32, Federal_gov, Prof_school, Wife, Other, Male, India,35<x<53,274186<x<527198,x>12,1<x<25,LOW
33, State_gov, 1st_4th, Other_relative, Asian_Pac_Islander, Male, Puerto_Rico,35<x<53,21174<x<274186,1<x<4,25<x<50,LOW
34, Federal_gov, 5th_6th, Wife, Other, Male, Germany,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
35, Private, Masters, Other_relative, Other, Male, Mexico,35<x<53,21174<x<274186,8<x<12,25<x<50,LOW
36, Federal_gov, Assoc_voc, Unmarried, Amer_Indian_Eskimo, Female, Taiwan,x>71,274186<x<527198,x>12,25<x<50,HIGH
37, Private, Bachelors, Unmarried, Amer_Indian_Eskimo, Male, Haiti,17<x<35,21174<x<274186,x>12,25<x<50,LOW
38, Federal_gov, 9th, Unmarried, Other, Male, Italy,53<x<71,527198<x<780210,4<x<8,50<x<74,LOW
39, State_gov, Bachelors, Own_child, Amer_Indian_Eskimo, Female, Guatemala,53<x<71,x>780210,4<x<8,1<x<25,LOW
40, Private, 11th, Not_in_family, Other, Male, El_Salvador,35<x<53,21174<x<274186,x>12,1<x<25,LOW
41, State_gov, Assoc_acdm, Husband, Black, Male, Philippines,x>71,21174<x<274186,4<x<8,25<x<50,LOW
42, State_gov, Doctorate, Not_in_family, Black, Male, Columbia,53<x<71,21174<x<274186,x<4,1<x<25,LOW
43, Local_gov, 11th, Unmarried, Asian_Pac_Islander, Male, Guatemala,x>71,274186<x<527198,1<x<4,x>74,LOW
44, State_gov, 5th_6th, Other_relative, Black, Male, Poland,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
45, Self_emp_not_inc, Preschool, Other_relative, Black, Female, France,53<x<71,21174<x<274186,x>12,25<x<50,LOW
46, State_gov, Assoc_voc, Wife, Other, Female, Cuba,53<x<71,21174<x<274186,x>12,1<x<25,LOW
47, Self_emp_inc, Preschool, Other_relative, White, Male, Taiwan,35<x<53,21174<x<274186,x>12,25<x<50,LOW
48, Local_gov, 9th, Wife, Other, Female, El_Salvador,35<x<53,21174<x<274186,x>12,1<x<25,LOW
49, State_gov, HS_grad, Own_child, Other, Female, United_States,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
50, Private, Prof_school, Husband, Asian_Pac_Islander, Male, United_States,x>71,21174<x<274186,x>12,25<x<50,HIGH
51, Local_gov, Doctorate, Not_in_family, Asian_Pac_Islander, Female, Germany,x<35,21174<x<274186,4<x<8,1<x<25,LOW
52, Self_emp_not_inc, HS_grad, Husband, Black, Male, France,17<x<35,21174<x<274186,1<x<4,25<x<50,LOW
53, State_gov, Doctorate, Own_child, Black, Male, Mexico,53<x<71,21174<x<274186,x>12,50<x<74,LOW
54, Federal_gov, Preschool, Unmarried, White, Female, Poland,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
55, Local_gov, Assoc_acdm, Not_in_family, Asian_Pac_Islander, Male, Ecuador,17<x<35,21174<x<274186,x<4,25<x<50,LOW
56, Self_emp_not_inc, 9th, Unmarried, Black, Female, Columbia,35<x<53,21174<x<274186,4<x<8,50<x<74,LOW
57, Federal_gov, Masters, Own_child, Asian_Pac_Islander, Male, South,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
58, Local_gov, 11th, Husband, Amer_Indian_Eskimo, Male, Cambodia,35<x<53,21174<x<274186,x<4,1<x<25,LOW
59, Self_emp_not_inc, Bachelors, Not_in_family, Amer_Indian_Eskimo, Male, Puerto_Rico,17<x<35,274186<x<527198,1<x<4,x>74,LOW
60, Federal_gov, Some_college, Not_in_family, White, Female, India,x<35,21174<x<274186,1<x<4,x>74,LOW
61, Self_emp_not_inc, Preschool, Husband, Amer_Indian_Eskimo, Male, Honduras,35<x<53,274186<x<527198,x>12,1<x<25,LOW
62, Local_gov, Bachelors, Husband, Other, Female, Columbia,35<x<53,21174<x<274186,x>12,25<x<50,HIGH
63, Federal_gov, Assoc_voc, Wife, Black, Female, Taiwan,17<x<35,21174<x<274186,8<x<12,25<x<50,HIGH
64, Federal_gov, Prof_school, Not_in_family, Other, Male, Columbia,53<x<71,21174<x<274186,x<4,x>74,LOW
65, State_gov, 7th_8th, Other_relative, White, Female, Canada,17<x<35,21174<x<274186,8<x<12,50<x<74,LOW
66, Local_gov, 10th, Other_relative, White, Male, Cambodia,17<x<35,21174<x<274186,x>12,25<x<50,LOW
67, Self_emp_not_inc, Doctorate, Not_in_family, White, Male, Cambodia,17<x<35,274186<x<527198,x>12,1<x<25,LOW
68, Local_gov, 10th, Husband, Black, Female, Yugoslavia,17<x<35,21174<x<274186,x>12,50<x<74,LOW
69, Self_emp_not_inc, Assoc_voc, Own_child, Black, Female, Cuba,53<x<71,21174<x<274186,1<x<4,1<x<25,LOW
70, Self_emp_inc, Masters, Unmarried, Other, Male, Guatemala,53<x<71,21174<x<274186,1<x<4,1<x<25,LOW
71, Self_emp_inc, Assoc_voc, Wife, Amer_Indian_Eskimo, Female, Laos,35<x<53,21174<x<274186,4<x<8,50<x<74,LOW
72, Self_emp_inc, 1st_4th, Own_child, Black, Male, Cambodia,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
73, Self_emp_not_inc, Bachelors, Not_in_family, White, Male, Haiti,35<x<53,274186<x<527198,x>12,1<x<25,LOW
74, State_gov, Prof_school, Husband, Amer_Indian_Eskimo, Male, Thailand,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
75, Local_gov, Prof_school, Unmarried, Other, Female, Japan,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
76, State_gov, 11th, Not_in_family, Other, Female, France,53<x<71,21174<x<274186,x>12,1<x<25,LOW
77, Federal_gov, 7th_8th, Own_child, White, Male, Poland,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
78, Self_emp_not_inc, 5th_6th, Unmarried, Amer_Indian_Eskimo, Male, Italy,35<x<53,21174<x<274186,x>12,1<x<25,LOW
79, Self_emp_not_inc, 11th, Wife, Black, Male, South,x>71,21174<x<274186,x>12,1<x<25,LOW
80, Federal_gov, Preschool, Other_relative, Other, Male, Dominican_Republic,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
81, Private, 1st_4th, Other_relative, Black, Female, Mexico,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
82, Self_emp_not_inc, HS_grad, Not_in_family, Asian_Pac_Islander, Male, Yugoslavia,17<x<35,21174<x<274186,x>12,50<x<74,HIGH
83, Private, 5th_6th, Not_in_family, Asian_Pac_Islander, Female, Laos,17<x<35,21174<x<274186,8<x<12,x>74,LOW
84, State_gov, HS_grad, Other_relative, Asian_Pac_Islander, Male, France,35<x<53,21174<x<274186,x>12,1<x<25,LOW
85, Federal_gov, Bachelors, Other_relative, Asian_Pac_Islander, Female, El_Salvador,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
86, Self_emp_not_inc, Assoc_acdm, Husband, White, Male, Poland,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
87, Self_emp_not_inc, 10th, Husband, Black, Male, Mexico,17<x<35,274186<x<527198,4<x<8,1<x<25,LOW
88, Federal_gov, 1st_4th, Not_in_family, Amer_Indian_Eskimo, Male, Philippines,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
89, State_gov, 5th_6th, Other_relative, White, Male, Jamaica,35<x<53,274186<x<527198,x>12,50<x<74,LOW
90, Federal_gov, 5th_6th, Other_relative, Black, Male, El_Salvador,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
91, Self_emp_not_inc, Some_college, Husband, Asian_Pac_Islander, Female, Mexico,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
92, Self_emp_inc, Doctorate, Husband, Asian_Pac_Islander, Male, Poland,35<x<53,21174<x<274186,x>12,x>74,HIGH
93, Self_emp_inc, Preschool, Own_child, White, Male, Cambodia,53<x<71,21174<x<274186,x>12,25<x<50,LOW
