id,RevolvingUtilizationOfUnsecuredLines,DebtRatio,Unnamed: 0,age,NumberOfTime30-59DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,class
0,0.302227225,0.376462354,x>1807,57<x<75,0<x<24,1<x<15897,23<x<34,0<x<24,8<x<12,0<x<24,x>6,NO
1,0.750873672,0.431368631,1205<x<1807,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,x<4,x<24,0<x<2,NO
2,0.405183973,0.203310743,1205<x<1807,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,2<x<4,NO
3,0.7595623159999999,0.327049414,x>1807,21<x<39,0<x<24,1<x<15897,11<x<23,x>73,4<x<8,x<24,2<x<4,NO
4,0.017927435,0.236573549,603<x<1205,21<x<39,0<x<24,1<x<15897,23<x<34,x>73,0<x<4,0<x<24,2<x<4,NO
5,0.520689428,2.219737309,603<x<1205,x>75,0<x<24,1<x<15897,23<x<34,x>73,4<x<8,x>73,2<x<4,NO
6,0.07303712700000001,0.248187953,603<x<1205,21<x<39,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,x>6,NO
7,0.116676791,0.476704659,2<x<603,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,8<x<12,0<x<24,x>6,NO
8,0.905403469,0.544228523,x>1807,39<x<57,x>73,1<x<15897,11<x<23,x<24,4<x<8,0<x<24,2<x<4,NO
9,0.012538557,0.011761247,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,0<x<4,x>73,0<x<2,NO
10,0.004544478,0.255594705,603<x<1205,x>75,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,x>6,NO
11,0.514708735,0.634727545,2<x<603,x>75,0<x<24,1<x<15897,23<x<34,x<24,x<4,x>73,x>6,YES
12,0.507497501,0.598583235,603<x<1205,39<x<57,0<x<24,1<x<15897,11<x<23,0<x<24,4<x<8,0<x<24,4<x<6,YES
13,0.127159603,0.242281682,x>1807,x>75,0<x<24,1<x<15897,11<x<23,x>73,4<x<8,x>73,x>6,NO
14,0.15167492400000002,11311.0,2<x<603,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,x>12,x<24,4<x<6,NO
15,0.492643999,0.269341332,2<x<603,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,4<x<8,0<x<24,2<x<4,NO
16,0.046710961,0.266909775,603<x<1205,21<x<39,x<24,1<x<15897,0<x<11,x<24,4<x<8,x>73,4<x<6,NO
17,0.951598654,0.073147745,2<x<603,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,x>6,NO
18,0.456195677,0.068935962,1205<x<1807,39<x<57,0<x<24,1<x<15897,23<x<34,0<x<24,0<x<4,x>73,0<x<2,NO
19,0.6964116709999999,0.113421853,603<x<1205,57<x<75,0<x<24,1<x<15897,11<x<23,0<x<24,x>12,x>73,x>6,NO
20,0.510293034,0.218658598,2<x<603,39<x<57,0<x<24,1<x<15897,11<x<23,x<24,4<x<8,0<x<24,x>6,NO
21,0.623875225,0.060705974,603<x<1205,x>75,0<x<24,1<x<15897,0<x<11,0<x<24,0<x<4,0<x<24,2<x<4,NO
22,0.288011315,0.19089626,1205<x<1807,21<x<39,0<x<24,1<x<15897,11<x<23,x<24,x<4,0<x<24,4<x<6,NO
23,0.960431398,0.215576215,603<x<1205,39<x<57,x>73,1<x<15897,11<x<23,x<24,8<x<12,0<x<24,2<x<4,NO
24,0.654211301,0.16443713599999998,x>1807,21<x<39,0<x<24,1<x<15897,0<x<11,x>73,0<x<4,0<x<24,x>6,NO
25,0.7201901340000001,0.49910018,x>1807,57<x<75,0<x<24,1<x<15897,0<x<11,0<x<24,4<x<8,0<x<24,0<x<2,NO
26,0.30698663800000003,1.3949671769999998,603<x<1205,21<x<39,0<x<24,1<x<15897,23<x<34,0<x<24,8<x<12,x>73,4<x<6,NO
27,0.677295454,0.414148447,1205<x<1807,39<x<57,0<x<24,1<x<15897,0<x<11,0<x<24,x>12,0<x<24,x<2,NO
28,0.5794275720000001,0.23319682,x>1807,57<x<75,0<x<24,1<x<15897,11<x<23,x>73,x>12,0<x<24,0<x<2,NO
