,age,workcla,fnlwgt,education,education_num,relationship,race,sex,hours_per_week,native_country,class
0,35<x<53, State_gov,21174<x<274186, Bachelors,x>12, Not_in_family, White, Male,25<x<50, United_States,LOW
1,35<x<53, Self_emp_not_inc,21174<x<274186, Bachelors,x>12, Husband, White, Male,1<x<25, United_States,LOW
2,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
3,35<x<53, Private,21174<x<274186, 11th,4<x<8, Husband, Black, Male,25<x<50, United_States,LOW
4,17<x<35, Private,274186<x<527198, Bachelors,x>12, Wife, Black, Female,25<x<50, Cuba,LOW
5,35<x<53, Private,274186<x<527198, Masters,x>12, Wife, White, Female,25<x<50, United_States,LOW
6,35<x<53, Private,21174<x<274186, 9th,4<x<8, Not_in_family, Black, Female,1<x<25, Jamaica,LOW
7,35<x<53, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
8,17<x<35, Private,21174<x<274186, Masters,x>12, Not_in_family, White, Female,25<x<50, United_States,HIGH
9,35<x<53, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
10,35<x<53, Private,274186<x<527198, Some_college,8<x<12, Husband, Black, Male,x>74, United_States,HIGH
11,17<x<35, State_gov,21174<x<274186, Bachelors,x>12, Husband, Asian_Pac_Islander, Male,25<x<50, India,HIGH
12,17<x<35, Private,21174<x<274186, Bachelors,x>12, Own_child, White, Female,25<x<50, United_States,LOW
13,17<x<35, Private,21174<x<274186, Assoc_acdm,8<x<12, Not_in_family, Black, Male,25<x<50, United_States,LOW
14,17<x<35, Private,21174<x<274186, 7th_8th,1<x<4, Husband, Amer_Indian_Eskimo, Male,25<x<50, Mexico,LOW
15,17<x<35, Self_emp_not_inc,21174<x<274186, HS_grad,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
16,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Male,25<x<50, United_States,LOW
17,35<x<53, Private,21174<x<274186, 11th,4<x<8, Husband, White, Male,25<x<50, United_States,LOW
18,35<x<53, Self_emp_not_inc,274186<x<527198, Masters,x>12, Unmarried, White, Female,25<x<50, United_States,HIGH
19,35<x<53, Private,21174<x<274186, Doctorate,x>12, Husband, White, Male,50<x<74, United_States,HIGH
20,53<x<71, Private,274186<x<527198, HS_grad,8<x<12, Unmarried, Black, Female,1<x<25, United_States,LOW
21,17<x<35, Federal_gov,21174<x<274186, 9th,4<x<8, Husband, Black, Male,25<x<50, United_States,LOW
22,35<x<53, Private,21174<x<274186, 11th,4<x<8, Husband, White, Male,25<x<50, United_States,LOW
23,53<x<71, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Female,25<x<50, United_States,LOW
24,53<x<71, Local_gov,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,HIGH
25,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
26,35<x<53, Private,274186<x<527198, HS_grad,8<x<12, Not_in_family, White, Male,x>74, United_States,LOW
27,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
28,17<x<35, Local_gov,21174<x<274186, Assoc_acdm,8<x<12, Not_in_family, White, Male,50<x<74, United_States,LOW
29,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, Black, Male,25<x<50, United_States,LOW
30,35<x<53, Private,274186<x<527198, Bachelors,x>12, Own_child, White, Male,25<x<50, United_States,LOW
31,17<x<35, Federal_gov,21174<x<274186, Some_college,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
32,17<x<35, State_gov,274186<x<527198, Some_college,8<x<12, Husband, Black, Male,1<x<25, United_States,LOW
33,35<x<53, Private,21174<x<274186, 11th,4<x<8, Unmarried, White, Male,25<x<50, Puerto_Rico,LOW
34,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
35,17<x<35, Private,527198<x<780210, HS_grad,8<x<12, Wife, White, Female,1<x<25, United_States,LOW
36,35<x<53, Self_emp_not_inc,21174<x<274186, Assoc_acdm,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
37,17<x<35, Private,274186<x<527198, 9th,4<x<8, Husband, White, Male,25<x<50, United_States,LOW
38,35<x<53, Self_emp_not_inc,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,LOW
39,17<x<35, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,LOW
40,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Unmarried, White, Female,25<x<50, United_States,LOW
41,17<x<35, Private,274186<x<527198, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
42,53<x<71, Federal_gov,274186<x<527198, Bachelors,x>12, Husband, Black, Male,25<x<50, United_States,HIGH
43,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
44,35<x<53, Private,21174<x<274186, Masters,x>12, Unmarried, White, Female,25<x<50, United_States,LOW
45,35<x<53, State_gov,21174<x<274186, Assoc_voc,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
46,17<x<35, Private,21174<x<274186, Assoc_voc,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
47,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Wife, Other, Female,25<x<50, United_States,LOW
48,35<x<53, Private,21174<x<274186, Prof_school,x>12, Wife, White, Female,50<x<74, Honduras,HIGH
49,35<x<53, Federal_gov,21174<x<274186, Bachelors,x>12, Not_in_family, White, Male,50<x<74, United_States,HIGH
50,35<x<53, Self_emp_inc,21174<x<274186, HS_grad,8<x<12, Not_in_family, White, Male,50<x<74, United_States,LOW
51,35<x<53, Private,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
52,35<x<53, Private,21174<x<274186, 5th_6th,1<x<4, Husband, White, Male,25<x<50, Mexico,LOW
53,17<x<35, Private,21174<x<274186, Assoc_voc,8<x<12, Husband, White, Male,25<x<50, Puerto_Rico,LOW
54,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
55,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
56,17<x<35, Private,21174<x<274186, Bachelors,x>12, Husband, White, Male,25<x<50, United_States,LOW
57,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
58,35<x<53, Private,21174<x<274186, Doctorate,x>12, Husband, White, Male,25<x<50, United_States,HIGH
59,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,50<x<74, United_States,LOW
60,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
61,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Female,25<x<50, United_States,LOW
62,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Wife, White, Female,25<x<50, United_States,HIGH
63,35<x<53, Self_emp_inc,21174<x<274186, Some_college,8<x<12, Husband, White, Male,25<x<50, United_States,HIGH
64,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Own_child, White, Male,25<x<50, United_States,LOW
65,17<x<35, Private,274186<x<527198, Bachelors,x>12, Own_child, Black, Female,25<x<50, United_States,LOW
66,17<x<35, Self_emp_not_inc,21174<x<274186, Bachelors,x>12, Husband, White, Male,50<x<74, United_States,HIGH
67,17<x<35, Private,21174<x<274186, Some_college,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
68,x>71, Private,21174<x<274186, Some_college,8<x<12, Other_relative, White, Male,1<x<25, United_States,LOW
69,17<x<35, Private,21174<x<274186, HS_grad,8<x<12, Own_child, White, Male,25<x<50, Mexico,LOW
70,35<x<53, Private,21174<x<274186, Assoc_acdm,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
71,17<x<35, Private,274186<x<527198, 11th,4<x<8, Own_child, White, Female,1<x<25, United_States,LOW
72,17<x<35, Local_gov,21174<x<274186, 7th_8th,1<x<4, Husband, White, Male,25<x<50, United_States,LOW
73,17<x<35, Private,274186<x<527198, HS_grad,8<x<12, Not_in_family, White, Male,25<x<50, United_States,LOW
74,35<x<53, Private,274186<x<527198, Bachelors,x>12, Husband, White, Male,25<x<50, Cuba,LOW
75,35<x<53, Private,21174<x<274186, HS_grad,8<x<12, Wife, White, Female,25<x<50, United_States,LOW
76,53<x<71, Private,21174<x<274186, HS_grad,8<x<12, Husband, White, Male,25<x<50, United_States,LOW
