gender,Grade,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,class
M,4,F,Father,15,16,2,20,Under-7,1
M,4,F,Father,20,20,3,25,Under-7,1
M,4,F,Father,10,7,0,30,Above-7,0
M,4,F,Father,30,25,5,35,Above-7,0
M,4,F,Father,40,50,12,50,Above-7,1
F,4,F,Father,42,30,13,70,Above-7,1
M,7,F,Father,35,12,0,17,Above-7,0
M,7,F,Father,50,10,15,22,Under-7,1
F,7,F,Father,12,21,16,50,Under-7,1
F,7,F,Father,70,80,25,70,Under-7,1
M,7,F,Father,50,88,30,80,Under-7,1
M,7,F,Father,19,6,19,12,Under-7,1
M,4,F,Father,5,1,0,11,Above-7,0
M,8,F,Father,20,14,12,19,Above-7,0
F,8,F,Mum,62,70,44,60,Above-7,1
F,6,F,Father,30,40,22,66,Under-7,1
M,7,F,Father,36,30,20,80,Above-7,1
M,7,F,Father,55,13,35,90,Above-7,1
F,7,F,Mum,69,15,36,96,Under-7,1
M,7,F,Mum,70,50,40,99,Under-7,1
F,7,F,Father,60,60,33,90,Above-7,1
F,7,F,Father,10,12,4,80,Under-7,1
M,7,F,Father,15,21,2,90,Under-7,1
M,7,F,Father,2,0,2,50,Above-7,0
M,7,F,Father,0,2,3,70,Above-7,0
M,7,F,Father,8,7,30,40,Above-7,0
M,7,F,Father,19,19,25,40,Under-7,1
M,8,F,Father,25,15,12,33,Above-7,0
M,8,F,Father,75,85,52,43,Under-7,1
F,8,F,Father,30,90,33,35,Under-7,1
F,8,F,Father,35,80,50,70,Under-7,1
M,7,F,Father,4,5,40,16,Above-7,0
F,7,F,Father,2,19,10,50,Above-7,0
M,5,F,Father,8,22,9,40,Above-7,0
M,7,F,Father,12,11,8,40,Above-7,0
M,7,F,Father,10,12,17,30,Above-7,0
M,7,F,Mum,8,6,4,22,Above-7,0
F,7,F,Father,45,54,26,90,Under-7,1
M,6,F,Father,0,0,0,4,Above-7,0
F,7,F,Father,50,90,37,70,Under-7,1
F,7,F,Father,14,13,3,70,Above-7,0
M,7,F,Father,19,20,16,50,Under-7,1
M,9,F,Father,10,12,7,33,Above-7,0
F,9,F,Father,30,35,28,90,Under-7,1
F,9,F,Father,33,33,30,90,Under-7,1
M,7,F,Father,20,12,15,70,Above-7,0
M,5,F,Father,7,10,1,30,Above-7,0
F,12,F,Mum,70,4,39,90,Under-7,1
F,12,F,Mum,13,80,40,88,Under-7,1
F,12,F,Father,29,39,50,77,Under-7,1
F,12,F,Father,20,14,12,70,Above-7,0
M,12,F,Father,39,15,16,50,Above-7,0
F,12,F,Father,55,90,16,40,Under-7,1
F,11,F,Mum,49,70,19,75,Under-7,1
M,12,F,Mum,12,50,8,30,Above-7,0
M,7,F,Father,16,14,6,20,Above-7,0
M,8,F,Father,19,5,4,1,Above-7,0
M,7,F,Father,5,2,6,5,Above-7,0
M,7,F,Father,28,60,19,50,Under-7,1
F,7,F,Father,27,22,22,40,Under-7,1
F,5,F,Mum,21,10,28,20,Above-7,0
M,10,F,Father,50,70,32,40,Under-7,1
M,10,F,Mum,80,90,70,80,Under-7,1
M,10,F,Father,17,13,16,12,Under-7,1
M,10,F,Father,0,5,7,2,Above-7,0
M,12,F,Father,13,5,18,19,Above-7,0
F,12,F,Father,25,10,19,30,Above-7,1
F,12,F,Mum,65,75,23,80,Under-7,1
F,12,F,Mum,70,69,35,30,Under-7,1
M,7,F,Father,39,40,11,33,Under-7,1
M,7,F,Father,22,30,10,12,Above-7,0
M,7,F,Father,29,22,9,20,Under-7,1
M,7,F,Father,11,2,2,8,Under-7,0
F,7,F,Father,19,30,26,19,Above-7,1
M,7,F,Father,12,0,6,13,Under-7,0
M,7,F,Mum,50,90,29,60,Under-7,1
M,9,F,Mum,15,70,37,44,Under-7,1
M,9,F,Father,20,80,33,33,Under-7,1
M,11,F,Father,13,3,11,9,Above-7,0
F,7,F,Mum,80,90,49,55,Under-7,1
M,7,F,Father,8,15,10,40,Under-7,0
M,2,F,Father,8,25,1,70,Above-7,0
M,2,F,Father,7,5,2,80,Above-7,0
M,2,F,Father,7,4,10,50,Above-7,1
M,2,F,Father,50,70,50,10,Above-7,1
M,2,F,Father,1,0,1,12,Above-7,0
M,2,F,Father,70,12,40,50,Under-7,1
M,2,F,Father,19,70,3,50,Under-7,0
F,2,F,Father,3,12,4,33,Under-7,0
M,2,F,Father,5,20,1,50,Above-7,0
M,2,F,Father,4,8,10,60,Above-7,0
M,2,F,Father,80,90,55,19,Under-7,1
F,2,F,Father,50,70,19,15,Under-7,1
M,2,F,Father,55,89,40,40,Under-7,1
F,2,F,Father,80,44,35,10,Above-7,0
F,2,F,Father,100,80,2,70,Under-7,1
F,2,F,Father,14,60,11,75,Under-7,1
F,2,F,Father,6,2,38,12,Under-7,1
F,2,F,Father,10,3,0,30,Under-7,1
M,2,F,Father,50,7,9,50,Above-7,1
M,2,F,Father,50,90,40,90,Under-7,1
F,2,F,Mum,70,92,50,7,Under-7,1
F,2,F,Father,2,6,2,8,Above-7,0
M,2,F,Father,1,7,6,10,Above-7,0
M,2,F,Father,0,12,3,3,Above-7,1
F,2,F,Father,0,0,5,80,Above-7,0
F,2,F,Father,12,26,7,40,Under-7,1
M,2,F,Father,70,90,41,33,Under-7,1
M,2,F,Father,7,12,5,3,Above-7,1
M,2,F,Father,90,70,30,14,Under-7,1
F,2,F,Mum,70,88,55,40,Under-7,1
M,2,F,Father,77,80,51,80,Under-7,1
M,2,F,Father,2,5,3,50,Above-7,0
M,2,F,Father,25,27,0,69,Above-7,0
M,2,F,Father,11,2,0,50,Above-7,0
M,2,F,Father,0,8,11,70,Above-7,0
F,2,F,Mum,77,80,12,19,Above-7,1
F,2,F,Mum,25,29,40,17,Under-7,1
F,2,F,Mum,24,35,23,22,Above-7,1
M,2,F,Father,60,60,3,60,Under-7,1
M,2,F,Mum,21,12,0,50,Under-7,1
M,2,F,Mum,0,4,8,30,Above-7,0
F,2,F,Father,66,90,55,12,Above-7,1
F,2,F,Father,70,98,7,5,Under-7,1
M,2,F,Father,0,6,4,15,Under-7,0
M,2,F,Father,12,30,0,17,Above-7,0
F,2,F,Father,2,9,7,55,Under-7,1
M,2,F,Father,55,33,6,9,Above-7,0
M,2,F,Father,12,10,20,16,Under-7,0
M,2,F,Father,70,90,2,2,Under-7,0
F,2,F,Father,7,9,5,30,Above-7,0
M,2,F,Father,80,42,20,50,Under-7,1
M,2,S,Father,0,3,10,3,Above-7,0
M,2,S,Father,12,60,0,70,Above-7,0
